"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","row_id"
"KAI RUSSELL","KENNESAW",35,100,"A","ED",2026,"C-USA",92.8,74.8,92.1,81.6,1,2,3,2,0,0,1,3,1,0,0,1,0,0,0,2,0,6,0,14,0.143,0.214,17.9,15,3,0,0.2,0,6,0,0,0,0,0,0,0,0,39.6,0,0,0.167,0,0,1,0,1,0,0,0,0,0,5,0,31,9,0,2,0,0,0,1,2,0,3,0,0,9,9,0,4,0,"G5",198,198
"MARIO THOMPSON","DOMINION",52,84.4,"A","ED",2026,"Sun Belt",76.8,74.9,71.5,85.2,0,4,7,1,0,2,1,4,0,0,0,0,0,1,0,0,4,6,4,11,0,0.364,22.7,31,1.8,0.129,0.129,4,10,1,0.5,4,4,0,0,0,0,56.3,0.4,0,0.7,0,0,1,0,3,0,0,0,0,2,6,0,0,11,0.083,4,5,1,0.111,5,3,1,2,0,0,12,12,1,1,0,"G5",70,70
"CALEB SANDSTROM","APP STATE",39,75.65,"B","ED",2026,"Sun Belt",90,72.2,86,60,0,3,2,1,0,0,3,4,2,0,0,0,0,0,0,1,0,3,0,26,0.192,0.154,9.6,12,1,0,0.167,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,5,0.167,3,1,0,0.2,1,3,1,1,0,0,6,6,0,0,0,"G5",68,68
"IBRAHIM DIAWARA","COAST CAR",49,74.12,"B","ED",2026,"Sun Belt",71.9,67.6,63.5,62.5,0,3,4,2,0,0,1,3,0,0,0,0,0,1,0,1,0,4,1,28,0.071,0.107,8.9,21,4,0.048,0.095,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,0,3,1,0,0,2,3,0,3,1,0,9,9,0,2,0,"G5",132,132
"DJIBRIL RAHMAN","S DIEGO ST",44,70.42,"B","ED",2026,"Pac-12",72.6,70.5,67.2,60,0,2,4,2,0,0,0,2,1,0,0,0,0,0,0,0,0,6,1,17,0.176,0.118,11.8,26,2,0.039,0.115,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6,0,2,2,0,0,2,2,0,2,0,0,6,6,0,0,0,"G5",90,90
"LANCE WILLIAMS","LA LAFAYET",41,70.01,"B","ED",2026,"Sun Belt",72.2,61.8,73.3,NA,0,1,0,2,0,0,3,5,1,0,0,0,0,0,0,2,1,0,1,24,0.125,0.208,14.6,17,0,0.059,0.059,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,0,1,0,0,0,0,1,0,0,0,0,3,3,0,0,0,"G5",98,98
"JEREMIAH TUIILEILA","S JOSE ST",46,69.81,"B","ED",2026,"MWC",83.6,75.6,79.6,NA,0,2,3,0,0,0,5,5,2,0,0,0,0,2,0,0,0,4,1,23,0.304,0.217,10.9,23,1,0.043,0.217,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,5,0,2,3,2,0,3,2,0,0,0,0,5,5,0,0,0,"G5",182,182
"NOAH MATTHEWS","DELAWARE",36,68.09,"B","ED",2026,"C-USA",68.8,66.5,64.6,60,0,0,6,2,0,1,1,4,0,0,0,0,0,0,0,1,0,4,1,21,0.143,0.191,14.3,15,2.67,0.067,0.133,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,6,0,0,3,0,0,3,0,0,3,0,0,6,6,0,1,0,"G5",50,50
"MATTHEW STENBROTEN","N DAK ST",39,66.69,"B","ED",2026,"MWC",90.2,76.8,88.7,NA,0,0,4,0,0,1,2,3,1,0,0,0,0,4,0,0,0,3,0,20,0.2,0.15,7.5,19,-1,0,0.211,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,4,0,0,4,4,0,4,0,0,0,0,0,4,4,0,0,0,"G5",159,159
"DYLAN HAMPSTEN","FRESNO ST",48,66.36,"B","ED",2026,"Pac-12",74.4,80.6,62.9,60,0,3,2,1,0,0,1,2,2,0,0,0,0,1,0,0,0,2,0,34,0.118,0.059,4.4,14,0,0,0.357,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,5,0,3,1,1,0,1,2,0,1,0,0,5,5,1,0,0,"G5",85,85
