"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"JUSTIN POWE","TROY",52,100,"A"
"ARMORION SMITH","TOLEDO",57,94.3,"A"
"JAYON HARVEY","JAMES MAD",58,94.11,"A"
"KEVIN ADAMS III","TULANE",36,93.11,"A"
"CJ MCBEAN","NEW MEXICO",35,92.71,"A"
"JUSTIN TAYLOR","C MICHIGAN",56,90.25,"A"
"BO SIMPSON-NEALY","FAU",66,89.93,"A"
"JAYLEN LEWIS","W KENTUCKY",67,89.22,"A"
"COLLIN JACOB","LA LAFAYET",55,82.47,"A"
"KOA AKUI","RICE",50,79.41,"B"
"JOSH HUNTER","S DIEGO ST",63,77.52,"B"
"FIVE HAMILTON","ARK STATE",60,77.35,"B"
"JEREMIAH JORDAN","UAB",73,76.99,"B"
"NATE ROBINSON JR.","UTSA",29,76.47,"B"
"JONES THOMAS","WYOMING",66,76.41,"B"
"TRAVIS ANDERSON","BOISE ST",52,75.66,"B"
"JAMARION KEYES","TROY",42,75.51,"B"
"TULI TAGOVAILOA-AMOSA","S JOSE ST",69,74.96,"B"
"DONOVAN FARIA","GA STATE",38,74.17,"B"
"BISHOP TURNER","NEVADA",53,73.41,"B"
"ZACH WILLIAMS","TULSA",42,72.73,"B"
"AJ BROWN","RICE",65,71.72,"B"
"RYAN NOLAN","TEXAS ST",79,71.69,"B"
"MARIO EASTERLY","DOMINION",72,70.34,"B"
"JT HASKINS","OHIO",42,69.92,"B"
"TAYLEN EADY","N DAK ST",33,68.66,"B"
"AMARI WALLACE","SACRAMENTO",47,68.48,"B"
"SAM FONGANG","LA TECH",39,68.38,"B"
"AYDEN DUNCANSON","E CAROLINA",22,68.24,"B"
"DYLAN SMITH","MEMPHIS",39,68.19,"B"
"TAEDEN ROGERS","LA TECH",50,67.98,"B"
"DARNELL WILLIAMS","UTEP",27,67.73,"B"
"DAEH MCCULLOUGH","W MICHIGAN",31,67.48,"B"
"MORVEN JOSEPH","JVILLE ST",21,67.02,"B"
"BROOKLYN CHEEK","WYOMING",65,66.07,"B"
"CHRIS TOOLEY III","FAU",53,65.77,"B"
"BOOGSIE SILVERA","SACRAMENTO",60,65.76,"B"
"DAEVON ILES","DOMINION",33,65.69,"B"
"ANTONIO SMITH","MO STATE",28,65.03,"B"
"TERRENTE HINTON","MARSHALL",42,64.26,"B"
"DAYTIONE SMITH","MARSHALL",56,64.17,"B"
"JACKQUINTIN BAL","WASH STATE",21,63.94,"B"
"DJ WALKER","OHIO",68,62.92,"B"
"MO CONTEH","TOLEDO",20,62.91,"B"
"CAMERON UPSHAW JR.","UTSA",46,62.74,"B"
"LARRY TURNER-GOODEN","NEVADA",48,62.27,"B"
"DEVIN HENDERSON","APP STATE",52,61.44,"B"
"DARIUS GIVANCE","N DAK ST",37,61.38,"B"
"DOUG NELSON","TROY",33,61.16,"B"
"CALEB NIX","JVILLE ST",73,60.99,"B"
"MJ MOULTRIE II","LA TECH",25,60.33,"B"
"D.J. MOORE","S ALABAMA",32,59.64,"C"
"JASON MARSHALL","E MICHIGAN",52,59.48,"C"
"JEREMIAH BERNARD","WASH STATE",33,59.44,"C"
"KYLE HALL","BOISE ST",52,59.14,"C"
"AMARIAN LOUIS","W MICHIGAN",19,59.11,"C"
"JO'TAVION PIERCE","UAB",69,59,"C"
"JUSTIN BROWN","W KENTUCKY",46,58.92,"C"
"JOSHUA MOORE","TULANE",27,58.91,"C"
"STERLING SMITH","BALL ST",57,58.71,"C"
