"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Total.Tackles","Assistant","Stops","Run.Tackle.for.Losss.or.No.Gain","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Pass.Plays","Average.Depth.of.Tackle","Missed.Tackles.on.Run.Plays","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Pass.Rush.Productivity","Unblocked.Pass.Rush","Average.Depth.of.Target.per.Coverage","Assist.on.Pass.Plays","Yards.per.Reception.Allowed","Sacks","Pursuit.Pressure","Pass.Break.Up","Hits","Drops...Off.Targets.Receptions.Forced","Beaten.Defender","Plays.of.15..Yards.Allowed","Forced.Fumble","Lined.up.in.Press.Coverage","Pass.Tackle.for.Loss.or.No.Gain","Fumble.Recovery","Interceptions","Dropped.Int","Touchdowns.Allowed","Batted.Passes","Missed.Tackle.Percentage","Run.Stop","Pass.Stop","Tackle.for.Loss.or.No.Gain","Hurries","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact"
"CONOR MCPHERSON","LA LAFAYET",60,100,"A",72.2,80.3,84.9,51.6,13,4,7,3,3,0,0.8,1,97.9,1.61,30,0,6.5,1,9,1,1,0,1,1,0,1,0,NA,0,0,0,0,0,0,0.071,4,3,3,0,2,4,5,3,3,5,0.833,45,3,0,0,0,0.036,0,0.5,0,7.5,0,0.111,0,14,0,7
"KOLBE FIELDS","LA TECH",45,95.72,"A",87.1,68.7,63.9,91,12,4,7,2,3,0,1.5,1,95.8,1.5,16.7,0,3.3,1,7,1,0,0,0,0,0,0,1,NA,1,0,0,0,0,0,0.077,3,4,3,0,1,4,3,1,2,3,1,21,0,0,0,0,0,0,0,0,7,0,0.125,0,13,0,9
"SIONE HALA","S DIEGO ST",50,94.02,"A",90.1,87.3,NA,79.4,12,4,4,1,4,0,3.75,0,51.3,1,NA,1,2.4,0,9.5,0,0,2,0,0,0,0,0,NA,0,0,0,0,0,0,0,4,0,1,1,1,4,1,0,2,2,0.4,19,0,2,0,0,0,0,0,0,3.8,0.4,0,0,12,0,7
"JADON MAYFIELD","LA TECH",33,88.23,"A",85.3,68.1,74.1,84.3,10,3,7,1,2,0,1,0,79.2,0.18,25,0,-1.5,1,1,1,1,0,0,0,0,0,0,NA,1,1,0,0,0,0,0,4,3,2,0,1,3,2,0,4,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,10,0,7
"JACKSON FORREST","DOMINION",43,87.28,"A",76.5,62.2,80.5,71.2,9,2,5,2,2,0,3.33,0,79.2,0.14,6.3,1,-8,0,1,1,2,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,4,1,2,2,3,2,4,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,9,0,7
"JARED LLOYD","MO STATE",68,87.04,"A",66.2,83.9,66.4,42.2,13,4,7,2,4,0,3.89,1,102.1,1.57,12.5,0,5.5,0,12,0,1,0,0,1,0,1,0,NA,0,0,0,0,0,1,0.071,7,0,2,1,1,4,8,4,1,3,0.75,36,3,0,0,0,0.043,0,0.75,0,9,0,0.071,0,14,0,9
"ASHER CUNNINGHAM","UTAH ST",59,85.15,"A",79.8,72.5,67.4,77.5,8,1,6,1,1,0,2.5,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,NA,0,0,0,0,0,0,0,5,1,1,2,3,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,6
"ZAVIER HAMILTON","USF",39,85.01,"A",73.9,74.3,66.2,66.2,5,1,3,3,0,0,-1.33,0,91,1.33,37.5,2,5.3,1,12,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,3,0,3,4,4,1,3,2,2,2,0.667,24,2,1,0,0,0,0,0.667,0,8,0.333,0,0,5,0,5
"JUSTYCE BETTS","W MICHIGAN",16,84.88,"A",85.5,90.1,57.7,60.3,6,2,4,2,2,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,3,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
"DONELIUS JOHNSON","AKRON",44,83.09,"A",77.2,74.1,58.8,72.8,14,4,4,1,4,0,4.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0.067,3,1,2,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,0,15,0,7
"WALKER O'STEEN","JVILLE ST",49,82.96,"A",80.8,70.8,62.8,80.1,13,4,4,1,3,1,5,0,97.9,0.65,6.3,0,0,1,7.5,0,1,1,1,0,0,0,0,NA,0,0,0,1,0,0,0.133,1,3,1,2,3,4,3,2,4,2,1,15,1,1,0,2,0,1,0.5,0,7.5,0.5,0,0.143,15,0,7
"NAKIAN JACKSON","JAMES MAD",67,80.83,"A",72.4,65.4,59.5,76,14,5,6,0,5,0,5,3,0,0,12.5,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.176,4,2,0,2,2,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,16,0,9
"TYWON CHRISTOPHER","KENNESAW",64,79.76,"B",63.6,76.9,65.9,55.2,11,3,5,2,1,0,3.25,0,89.6,0.34,0,0,0,2,5.5,0,1,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,3,2,3,1,1,3,5,3,2,2,1,11,0,0,0,2,0,1,0,0,5.5,0,0,0,11,0,8
"KADIN SCHMITZ","CHARLOTTE",63,78.3,"B",57.7,61.6,63,53.7,11,4,5,3,2,0,3.6,1,101.8,2.11,8.3,0,1.9,2,9.8,0,0,1,0,0,0,1,0,NA,0,0,0,0,0,0,0.083,4,1,3,1,1,4,8,4,2,6,0.857,59,3,1,0,0,0.036,0,0.429,0,8.4,0.143,0.125,0,12,0,6
"GARY RUTHERFORD","WYOMING",44,78.11,"B",77.7,79.5,59,60.8,11,6,1,0,6,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9
"TERRENCE COOKS II","TEXAS ST",51,77.85,"B",71.7,76.4,51.3,69.4,10,5,5,1,3,1,0.33,0,93.1,0.79,5.6,0,4,2,6.3,0,1,0,0,0,0,1,0,NA,1,0,0,0,0,0,0.091,3,2,2,1,1,5,3,2,3,3,1,19,0,0,0,0,0.042,0,0,0,6.3,0,0,0.2,11,0,5
"K'VION THUNDERBIRD","FRESNO ST",64,76.03,"B",79.9,73.7,74.2,75.1,10,4,4,0,3,0,2,2,91.7,0.16,25,0,6,1,6,2,2,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.167,2,2,0,0,2,4,2,0,3,1,1,6,0,0,0.5,0,0,0,0,0,6,0,0.25,0,12,0,4
"DAX COLLINS","TULSA",35,73.71,"B",85.7,82.4,63.6,74.4,4,3,1,0,3,0,2,0,39.6,0,8.3,0,8,0,0,0,0,1,0,2,0,0,0,NA,0,0,0,1,0,0,0,1,0,0,1,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.333,0,0,4,0,2
"DERRELL FARRAR","LIBERTY",40,73.66,"B",71.7,79.2,41.2,70.3,7,6,1,1,5,2,-2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,NA,0,0,0,0,0,0,0.222,1,0,1,1,1,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,9,0,3
"CASHMIRE LEWIS","BOWL GREEN",27,73.54,"B",67.3,59.6,73.7,63.4,6,1,3,1,1,0,5,0,0,0,50,1,0,0,0,1,2,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,2,1,2,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4
"JAYDON HOOD","GA STATE",57,73.37,"B",57.2,61.6,59.7,51,13,3,5,2,3,0,6.1,2,56.3,-0.07,0,0,1.5,0,-1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.133,5,0,2,0,0,3,7,1,0,1,0.5,-1,0,1,0,1,0,0.5,0,0,-0.5,0.5,0.133,0,15,0,7
"DARION WHITE","UTSA",46,73.37,"B",75.6,69.7,70.7,69.7,7,4,0,0,2,0,0,1,0,0,30,2,0,3,0,0,2,0,1,0,0,0,0,NA,0,0,0,0,0,0,0.125,0,0,0,3,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,8,0,4
"AYDEN JONES","TEXAS ST",41,72.82,"B",91.2,85.9,53.7,90.7,6,2,3,1,1,1,3.33,0,56.3,0,0,0,-2.5,1,0,0,0,1,0,0,0,0,1,NA,0,0,0,0,0,0,0.143,2,1,1,0,0,2,1,1,2,1,0.5,0,0,1,0,0,0,0,0,0,0,0.5,0,0.333,7,0,3
