"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"JACOB JEUDY","BALL ST",29,29,1,68.39,"B"
"JONATHAN HARDER","TOLEDO",75,37.5,2,68.05,"B"
"KEON JOHNSON","N TEXAS",137,68.5,2,68.02,"B"
"GRIFFIN HART","JAMES MAD",34,34,1,67.87,"B"
"ZACH SMITH","COLO STATE",136,68,2,67.79,"B"
"AMARE TAASE","UNLV",125,62.5,2,67.38,"B"
"DUSTYN MORELL","KENT STATE",116,58,2,67.32,"B"
"ETHAN NEWMAN","NEVADA",129,64.5,2,67.2,"B"
"DOM SILVIA","CHARLOTTE",77,38.5,2,67.08,"B"
"ALEX BIRCHMEIER","LIBERTY",99,49.5,2,66.96,"B"
"ROBBY MARTIN","MARSHALL",117,58.5,2,66.94,"B"
"DENNIS STREY JR.","E MICHIGAN",53,53,1,66.41,"B-"
"LUKE MOISE","NEW MEX ST",86,43,2,66.36,"B-"
"PARKER MITCHELL","MEMPHIS",72,36,2,66.16,"B-"
"NOEL PORTNJAGIN","JAMES MAD",25,25,1,66.13,"B-"
"MISAEL SANDOVAL","BALL ST",136,68,2,66.09,"B-"
"GRACESON SPANN","SM HOUSTON",138,69,2,65.92,"B-"
"LUKE SKARTVEDT","N ILLINOIS",127,63.5,2,65.84,"B-"
"DENARIS DEROSA JR.","HAWAII",72,72,1,65.75,"B-"
"LOGAN SCRIVNER","MO STATE",54,54,1,65.61,"B-"
"AMARIE ARCHER","AKRON",43,43,1,65.6,"B-"
"TAVO MOTU'APUAKA","UTAH ST",149,74.5,2,65.25,"B-"
"ADRIAN CRESPIN","MIDDLE TN",32,32,1,65.23,"B-"
"GRAYSON MAINS","TEMPLE",113,56.5,2,65.13,"B-"
"ROGER CARREON","BOISE ST",142,71,2,64.74,"B-"
"JAKOBY ISOM","LA LAFAYET",35,35,1,64.69,"B-"
"VINCENT FIACABLE","FAU",170,85,2,64.6,"B-"
"SETH WILFRED","UTAH ST",153,76.5,2,64.59,"B-"
"ANTONIO TRIPP JR.","FIU",155,77.5,2,64.49,"B-"
"PATRICK VALENT","RICE",104,52,2,64.39,"B-"
"ETHAN WILLIAMS","GA SOUTHRN",112,56,2,64.2,"B-"
"MATTHEW NEHF","C MICHIGAN",34,34,1,64,"B-"
