"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level","Catch_Rate","Yards_Per_Tgt","Tgt_Per_Snap"
"REED HARRIS","ARIZONA ST",39,100,"A",3,"WR",2026,"Big 12",88.8,10,38,9,12,10,208,20.8,2,7,0,0,0,10,2,2,90,9,19,1,5.47,13.4,6,1,1,0,"16.70%",158.3,0.132,0.316,0.25,0.833,"P4",0.833333333333333,17.3333333333333,0.31578947368421
"COLLIN DIXON","ILLINOIS",44,96,"A",17,"WR",2026,"Big Ten",88.1,13,40,10,18,11,166,15.1,3,8,0,0,0,11,4,2,56,5.1,16,0.5,4.15,14.4,4,1,1,0,"22.20%",107.9,0.075,0.45,0.278,0.611,"P4",0.611111111111111,9.22222222222222,0.45
"JOSEPH WILLIAMS","COLORADO",70,86.96,"A",8,"WR",2026,"Big 12",89.6,4,11,3,4,4,123,30.8,2,4,0,0,0,4,0,0,68,17,58,0,11.18,14.5,3,1,1,0,"0.00%",158.3,0.273,0.364,0.25,1,"P4",1,30.75,0.363636363636364
"KJ DUFF","RUTGERS",62,85.63,"A",8,"WR",2026,"Big Ten",84.9,10,32,14,11,8,137,17.1,2,8,0,0,0,9,3,2,38,4.8,9,0.667,4.28,12.6,3,1,0.889,0,"27.30%",116.3,0.031,0.344,0.091,0.727,"P4",0.727272727272727,12.4545454545455,0.34375
"NA'EEM ABDUL-RAHIM GLADDING","MARYLAND",50,82.54,"A",1,"WR",2026,"Big Ten",74.5,9,43,25,11,8,130,16.3,1,4,0,0,0,8,4,2,81,10.1,41,0.5,3.02,7.9,2,2,1,0,"36.40%",142.2,0.023,0.256,0.091,0.727,"P4",0.727272727272727,11.8181818181818,0.255813953488372
"CHARLIE BECKER","INDIANA",42,80.49,"A",80,"WR",2026,"Big Ten",80.9,3,15,8,3,3,81,27,3,3,0,0,0,3,1,1,32,10.7,29,1,5.4,16.7,2,1,1,0,"33.30%",158.3,0,0.2,0.333,1,"P4",1,27,0.2
"JEREMIAH SMITH","OHIO STATE",36,78.2,"B",4,"WR",2026,"Big Ten",81.5,13,37,21,16,8,164,20.5,1,7,1,0,0,9,4,1,46,5.8,14,0.25,4.43,15,4,0,0.889,0.111,"25.00%",81.3,0.162,0.432,0.313,0.5,"P4",0.5,10.25,0.432432432432432
"DEANDRE MOORE JR.","COLORADO",70,70.96,"B",3,"WR",2026,"Big 12",83.6,3,12,3,5,4,107,26.8,1,3,0,0,0,4,0,0,70,17.5,13,0,8.92,13,2,0,1,0,"0.00%",158.3,0.333,0.417,0.4,0.8,"P4",0.8,21.4,0.416666666666667
"MALACHI TONEY","MIAMI FL",51,70.53,"B",1,"WR",2026,"ACC",88.9,5,13,7,4,4,96,24,1,4,0,0,0,4,1,1,18,4.5,10,1,7.38,20.3,2,0,1,0,"25.00%",158.3,0.308,0.308,0.5,1,"P4",1,24,0.307692307692308
"LAWAYNE MCCOY","LOUISVILLE",65,68.24,"B",7,"WR",2026,"ACC",75.4,3,22,7,3,3,102,34,1,2,0,0,0,3,0,0,42,14,4,0,4.64,20,2,2,1,0,"0.00%",158.3,0,0.136,0.667,1,"P4",1,34,0.136363636363636
"JACORY BARNEY JR.","NEBRASKA",62,67.18,"B",2,"WR",2026,"Big Ten",73.5,8,27,1,11,8,115,14.4,2,5,0,0,0,9,1,0,32,4,19,0,4.26,14.3,2,2,0.889,0,"9.10%",108,0.037,0.407,0.273,0.727,"P4",0.727272727272727,10.4545454545455,0.407407407407407
"WYATT YOUNG","OKLA STATE",44,67.03,"B",10,"WR",2026,"Big 12",74.3,6,27,3,6,5,121,24.2,1,4,0,0,0,5,1,1,33,6.6,9,1,4.48,16.3,4,0,1,0,"16.70%",158.3,0.222,0.222,0.333,0.833,"P4",0.833333333333333,20.1666666666667,0.222222222222222
"DALLAS WILSON","FLORIDA",38,66.81,"B",6,"WR",2026,"SEC",89,6,15,1,7,5,104,20.8,1,5,0,0,0,5,0,0,43,8.6,22,0,6.93,16.4,3,1,1,0,"0.00%",153.3,0.067,0.467,0.429,0.714,"P4",0.714285714285714,14.8571428571429,0.466666666666667
"DONOVAN OLUGBODE","MISSOURI",30,66.01,"B",1,"WR",2026,"SEC",69.1,7,26,9,8,6,121,20.2,1,4,2,0,0,8,1,1,64,10.7,4,1,4.65,8.6,2,0,0.75,0.25,"12.50%",156.3,0,0.308,0,0.75,"P4",0.75,15.125,0.307692307692308
"T.J. MOORE","CLEMSON",40,65.62,"B",1,"WR",2026,"ACC",69.8,8,45,15,12,7,103,14.7,1,4,0,0,0,7,2,0,71,10.1,41,0,2.29,12.5,2,3,1,0,"16.70%",114.2,0.044,0.267,0.167,0.583,"P4",0.583333333333333,8.58333333333333,0.266666666666667
"CAYDEN LEE","MISSOURI",30,64.52,"B",19,"WR",2026,"SEC",80.5,6,27,5,9,6,120,20,1,6,0,0,0,6,0,0,14,2.3,1,0,4.44,17.7,5,0,1,0,"0.00%",146.8,0.296,0.333,0.556,0.667,"P4",0.666666666666667,13.3333333333333,0.333333333333333
"CHRIS DURR JR.","MARYLAND",39,64.13,"B",13,"WR",2026,"Big Ten",83.3,10,37,2,12,10,103,10.3,1,5,0,0,0,10,1,0,56,5.6,29,0,2.78,5.3,4,5,1,0,"8.30%",130.2,0.216,0.324,0.083,0.833,"P4",0.833333333333333,8.58333333333333,0.324324324324324
"DAWSON POUGH","BOSTON COL",46,62.34,"B",3,"WR",2026,"ACC",62.7,3,37,9,5,4,106,26.5,1,3,0,0,0,4,0,0,69,17.3,5,0,2.86,11,2,0,1,0,"0.00%",158.3,0.054,0.135,0.2,0.8,"P4",0.8,21.2,0.135135135135135
"YANNICK SMITH","SMU",55,60.25,"B",3,"WR",2026,"ACC",63.5,1,15,5,1,1,44,44,1,1,0,0,0,1,0,0,27,27,11,0,2.93,17,1,2,1,0,"0.00%",158.3,0,0.067,0,1,"P4",1,44,0.0666666666666667
"NIK MCMILLAN","KANSAS",28,59.42,"C",5,"WR",2026,"Big 12",72,3,32,11,8,3,88,29.3,1,2,0,0,0,3,2,1,11,3.7,2,0.5,2.75,23,3,0,1,0,"25.00%",118.8,0,0.25,0.5,0.375,"P4",0.375,11,0.25
"JONAH BURTON","DUKE",36,58.86,"C",6,"WR",2026,"ACC",80.7,3,15,1,4,4,76,19,1,2,0,0,0,4,1,1,24,6,15,1,5.07,14.3,2,1,1,0,"25.00%",158.3,0.2,0.267,0.25,1,"P4",1,19,0.266666666666667
"JOSH MANNING","KANSAS ST",45,58.62,"C",5,"WR",2026,"Big 12",66.7,7,38,4,12,10,97,9.7,1,4,0,0,0,10,0,0,59,5.9,27,0,2.55,4.5,1,3,1,0,"0.00%",128.1,0.105,0.316,0.083,0.833,"P4",0.833333333333333,8.08333333333333,0.31578947368421
"ANTHONY EVANS III","MISS STATE",42,58.57,"C",3,"WR",2026,"SEC",74.7,8,34,3,12,7,121,17.3,1,4,0,0,0,7,2,0,52,7.4,23,0,3.56,10.6,3,0,1,0,"16.70%",120.5,0.294,0.353,0.167,0.583,"P4",0.583333333333333,10.0833333333333,0.352941176470588
"KOBY YOUNG","HOUSTON",65,57.97,"C",2,"WR",2026,"Big 12",73.1,3,14,5,3,3,54,18,2,2,0,0,0,3,0,0,26,8.7,7,0,3.86,10.7,1,1,1,0,"0.00%",158.3,0.071,0.214,0.333,1,"P4",1,18,0.214285714285714
"SOMOURIAN WINGO","MIAMI FL",15,57.96,"C",12,"WR",2026,"ACC",74,3,11,2,2,2,59,29.5,1,2,0,0,0,2,1,1,1,0.5,-1,1,5.36,29,1,0,1,0,"50.00%",158.3,0.091,0.182,0.5,1,"P4",1,29.5,0.181818181818182
"TRE RICHARDSON","LOUISVILLE",60,57.77,"C",0,"WR",2026,"ACC",87.7,7,18,0,7,7,98,14,0,4,0,0,0,7,0,0,79,11.3,37,0,5.44,2.7,3,5,1,0,"0.00%",118.8,0.389,0.389,0.143,1,"P4",1,14,0.388888888888889
"JV GIBSON","CINCINNATI",39,56.49,"C",11,"WR",2026,"Big 12",72.1,5,25,2,6,5,79,15.8,1,3,0,0,0,5,1,1,28,5.6,24,1,3.16,11.3,1,1,1,0,"16.70%",158.3,0,0.24,0.167,0.833,"P4",0.833333333333333,13.1666666666667,0.24
"EVAN STEWART","OREGON",58,56.13,"C",7,"WR",2026,"Big Ten",67.6,5,34,2,7,4,78,19.5,1,3,0,0,0,4,1,0,29,7.3,26,0,2.29,13.1,3,4,1,0,"14.30%",135.7,0.206,0.206,0.286,0.571,"P4",0.571428571428571,11.1428571428571,0.205882352941176
"CHASE SOWELL","PENN STATE",36,55.83,"C",0,"WR",2026,"Big Ten",74.8,7,24,2,8,6,76,12.7,1,4,0,0,0,7,2,0,45,7.5,17,0,3.17,13.3,3,2,0.857,0,"25.00%",143.8,0.042,0.333,0.25,0.75,"P4",0.75,9.5,0.333333333333333
"VERNELL BROWN III","FLORIDA",40,55.33,"C",1,"WR",2026,"SEC",77.2,3,14,2,4,3,43,14.3,1,2,0,0,0,3,0,0,54,18,21,0,3.07,10,1,5,1,0,"0.00%",149,0.214,0.286,0.25,0.75,"P4",0.75,10.75,0.285714285714286
"MALACHI HENRY","CINCINNATI",28,55.16,"C",9,"WR",2026,"Big 12",76.9,4,14,3,3,3,87,29,0,3,0,0,0,3,1,1,11,3.7,8,1,6.21,25.3,2,0,1,0,"33.30%",118.8,0,0.214,0.333,1,"P4",1,29,0.214285714285714
"TONY DIAZ","IOWA",46,52.99,"C",14,"WR",2026,"Big Ten",70.5,6,32,7,12,8,95,11.9,0,4,0,0,0,8,3,2,23,2.9,11,0.667,2.97,14.3,2,0,1,0,"25.00%",90.6,0.125,0.375,0.333,0.667,"P4",0.666666666666667,7.91666666666667,0.375
