"Name","Team","SNAPS","Composite_Score","Player_Grade"
"DRAKE METCALF","VIRGINIA",37,100,"A"
"RYAN RODRIGUEZ","MIAMI FL",34,81.27,"A"
"CHRISTO KELLY","N CAROLINA",42,78.75,"B"
"DOMINICK GIUDICE","MISSOURI",69,71.7,"B"
"RHYS WOODROW","MIAMI FL",39,71.44,"B"
"MARK NABOU JR.","TEXAS A&M",58,70.8,"B"
"JUSTIN EVANS","NEBRASKA",56,69.88,"B"
"TOBIAS RAYMOND","USC",68,67.16,"B"
"TARAN TYO","CINCINNATI",56,66.23,"B"
"BRAELIN MOORE","LSU",77,62.18,"B"
"DYLAN VILLAROUEL","KANSAS ST",69,61.83,"B"
"TERRENCE SALAMI","RUTGERS",70,61.37,"B"
"JAHEIM BUCHANON","TCU",69,61.2,"B"
"JAKE RENFRO","ILLINOIS",73,61.07,"B"
"CAEL WINTER","IOWA",60,59.7,"C"
"TANA ALO-TUPUOLA","ARIZONA ST",61,59.55,"C"
"SAM PENDLETON","TENNESSEE",68,58.98,"C"
"SHERIDAN WILSON","TEXAS TECH",78,58.8,"C"
"TOMMY RICARD","VA TECH",88,57.62,"C"
"BRAY LYNCH","INDIANA",48,55.49,"C"
"WES KING","W VIRGINIA",32,53.48,"C"
"IAPANI LALOULU","OREGON",61,52.91,"C"
"SEAN KINNEY","COLORADO",63,52.43,"C"
"MICHAEL HERSHEY","MARYLAND",76,51.44,"C"
"TRENT FRALEY","MICH STATE",62,50.66,"C"
"EVAN WIBBERLEY","LOUISVILLE",56,50.13,"C"
"COLE BEST","AUBURN",73,49.43,"C"
"ASHTON BEERS","MINNESOTA",69,48.21,"C"
"BRYCEN SANDERS","OLE MISS",53,47.66,"C"
"CANON BOONE","MISS STATE",75,47.42,"C"
"JAKE GUARNERA","MICHIGAN",63,47.36,"C"
"BOAZ STANLEY","PURDUE",86,46.17,"C"
"DJ WILLIAMS","BOSTON COL",62,45.18,"C"
"RYAN CARRETTA","PITTSBURGH",74,45.07,"C"
"JAMESON RIGGS","GA TECH",69,44.7,"C"
"HARRIS SEWELL","CLEMSON",79,44.06,"C"
"COLETON PRICE","KENTUCKY",64,43.51,"C"
"WILL WAY","WAKE",70,43.04,"C"
"RACIN DELGATTY","ALABAMA",68,42.22,"C"
"BASTIAN SWINNEY","CAL",64,41.41,"C"
"ALEX HARRISON","UTAH",54,40.64,"C"
"KASEN CARPENTER","KANSAS",70,40.55,"C"
"ZACH HENNING","ARIZONA",67,40.26,"C"
"BRUCE MITCHELL","BYU",60,39.49,"D"
"CARTER MILLER","S CAROLINA",43,38.76,"D"
"LYNDON COOPER","VANDERBILT",69,38.75,"D"
"RILEY ROBELL","UCLA",57,37.94,"D"
"HARRISON MOORE","FLORIDA",45,37.86,"D"
"KOLT DIETERICH","WASHINGTON",75,37.14,"D"
"BRADEN SMITH","IOWA STATE",53,37.08,"D"
"JAKE MAIKKULA","OKLAHOMA",65,33.84,"D"
"CARSON HINZMAN","OHIO STATE",65,31.12,"D"
"TYLER MERCER","OKLA STATE",83,29.9,"D"
"MATT CRAYCRAFT","DUKE",60,28.78,"D"
"CADEN KITLER","ARKANSAS",75,24.96,"D"
"CONNOR ROBERTSON","TEXAS",80,20.44,"D"
"NOAH BEST","OKLAHOMA",65,20.15,"D"
"JOE CRUZ","SYRACUSE",91,17.28,"F"
"AUSTIN KAWECKI","WISCONSIN",47,15.69,"F"
"BROCK RIKER","PENN STATE",59,14.4,"F"
"CONNOR MEADOWS","UCF",57,0,"F"
