"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"KEVIN JENNINGS","SMU",69,100,"A"
"JADEN CRAIG","TCU",NA,89.2,"A"
"DARIAN MENSAH","MIAMI FL",54,83.36,"A"
"JULIAN LEWIS","COLORADO",78,81.45,"A"
"GUNNER STOCKTON","GEORGIA",25,76.98,"B"
"CJ BAILEY","NC STATE",NA,75.58,"B"
"LINCOLN KIENHOLZ","LOUISVILLE",70,75.17,"B"
"JC FRENCH IV","CINCINNATI",60,72,"B"
"ROCCO BECHT","PENN STATE",38,69.48,"B"
"ANTHONY COLANDREA","NEBRASKA",74,68.93,"B"
"AUSTIN SIMMONS","MISSOURI",37,66.26,"B"
"MALIK WASHINGTON","MARYLAND",55,64.48,"B"
"SAM LEAVITT","LSU",69,63.66,"B"
"BYRUM BROWN","AUBURN",77,61.19,"B"
"TRINIDAD CHAMBLISS","OLE MISS",81,60.59,"B"
"BILLY EDWARDS JR.","N CAROLINA",NA,60.56,"B"
"JAYDEN MAIAVA","USC",52,57.58,"C"
"DREW MESTEMAKER","OKLA STATE",91,56.96,"C"
"CUTTER BOLEY","ARIZONA ST",45,56.84,"C"
"BEAU PRIBULA","VIRGINIA",NA,56.2,"C"
"DEVON DAMPIER","UTAH",45,53.3,"C"
"KATIN HOUSER","ILLINOIS",44,51.81,"C"
"AARON PHILO","FLORIDA",49,51.54,"C"
"TY HAWKINS","SMU",NA,51.2,"C"
"WALKER EGET","DUKE",73,50.47,"C"
"KAMARIO TAYLOR","MISS STATE",52,50.37,"C"
"BEAR BACHMEIER","BYU",45,49.45,"C"
"ETHAN GRUNKEMEYER","VA TECH",38,48.82,"C"
"JARON-KEAWE SAGAPOLUTELE","CAL",86,48.62,"C"
"JOSH HOOVER","INDIANA",47,48.59,"C"
"MASON MCKENZIE","BOSTON COL",77,47.98,"C"
"STEVE ANGELI","SYRACUSE",65,47.4,"C"
"RYAN BROWNE","PURDUE",57,45.41,"C"
"GIO LOPEZ","WAKE",62,44.86,"C"
"NATE BENNETT","BAYLOR",NA,42.01,"C"
"NOAH FIFITA","ARIZONA",53,40.09,"C"
"ALESSIO MILIVOJEVIC","MICH STATE",87,38.02,"D"
"JULIAN SAYIN","OHIO STATE",47,36.99,"D"
"JARED CURTIS","VANDERBILT",18,36,"D"
"CONNER WEIGMAN","HOUSTON",75,35.98,"D"
"DANTE MOORE","OREGON",64,34.98,"D"
"FAIZON BRANDON","TENNESSEE",53,33.79,"D"
"ARCH MANNING","TEXAS",52,33.64,"D"
"KEELON RUSSELL","ALABAMA",76,32.97,"D"
"MARCEL REED","TEXAS A&M",73,32.36,"D"
"DEMOND WILLIAMS JR.","WASHINGTON",68,30.77,"D"
"BRYCE UNDERWOOD","MICHIGAN",52,29.74,"D"
"MASON HEINTSCHEL","PITTSBURGH",70,29.59,"D"
"DRAKE LINDSEY","MINNESOTA",49,28.72,"D"
"COLTON JOSEPH","WISCONSIN",61,27.59,"D"
"AJ SURACE","RUTGERS",11,27.52,"D"
"HANK BROWN","IOWA",36,27.01,"D"
"AVERY JOHNSON","KANSAS ST",46,26.05,"D"
"ISAIAH MARSHALL","KANSAS",59,25.62,"D"
"LANORRIS SELLERS","S CAROLINA",43,25.15,"D"
"TRAMELL JONES JR.","FLORIDA",20,23.9,"D"
"NICO IAMALEAVA","UCLA",53,23.79,"D"
"ALONZA BARNETT III","UCF",42,23.61,"D"
"WILL HAMMOND","TEXAS TECH",72,23.14,"D"
"TAIT REYNOLDS","CLEMSON",16,22.01,"D"
"JAYLEN RAYNOR","IOWA STATE",49,19,"F"
"JOHN MATEER","OKLAHOMA",42,18.31,"F"
"AJ HILL","ARKANSAS",NA,17.23,"F"
"ALBERTO MENDOZA","GA TECH",57,16.73,"F"
"KJ JACKSON","ARKANSAS",89,7.22,"F"
"KENNY MINCHEY","KENTUCKY",58,0,"F"
