"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"MONROE MILLS","VIRGINIA",31,100,"A"
"JON ADAIR","VIRGINIA",29,98.75,"A"
"LUKE WORK","MISSOURI",69,98.2,"A"
"MCKALE BOLEY","VIRGINIA",30,91.98,"A"
"ELIJAH PAIGE","USC",68,88.61,"A"
"SAMSON OKUNLOLA","MIAMI FL",34,86.94,"A"
"JUDEA MILON","CINCINNATI",56,79.92,"B"
"WITTEN VAN HOY","TCU",35,77.31,"B"
"CAYDEN GREEN","MISSOURI",69,77.16,"B"
"TEAGUE ANDERSEN","NC STATE",50,75.91,"B"
"BRYCE LOVETT","FLORIDA",43,75.61,"B"
"JIMARION MCCRIMON","NC STATE",45,74.87,"B"
"MATTHEW MCCOY","MIAMI FL",34,73.28,"B"
"ZAC CLARKE","CINCINNATI",27,72.27,"B"
"TREVOR GOOSBY","TEXAS",80,70.57,"B"
"HOWARD SAMPSON","TEXAS TECH",79,70.32,"B"
"JACOB HAWKS","MIAMI FL",25,69.94,"B"
"JAMAL MERIWEATHER","MIAMI FL",25,69.68,"B"
"MALACHI GOODMAN","PENN STATE",59,68.29,"B"
"KILIAN REGISTE","TCU",44,67.78,"B"
"ELIJAH PRITCHETT","NEBRASKA",39,67.53,"B"
"CAMERON GORIN","LOUISVILLE",43,67.48,"B"
"LANCE ROBINSON","LOUISVILLE",56,67.15,"B"
"JAKHEEM SHUMPERT-PERKINS","MISS STATE",75,66.94,"B"
"NOLAN LATULIPPE","CINCINNATI",27,64.28,"B"
"CARTER SMITH","INDIANA",48,64.19,"B"
"JUSTIN TAUANUU","USC",68,63.95,"B"
"BEN MURAWSKI","MICH STATE",43,63.74,"B"
"MALIK AGBO","W VIRGINIA",25,63.45,"B"
"TYLER NEEDHAM","RUTGERS",70,63.19,"B"
"WILSON ZIERER","AUBURN",59,63.13,"B"
"DAVID SANDERS JR.","TENNESSEE",68,62.96,"B"
"JORDAN SEATON","LSU",77,61.82,"B"
"NATHAN KNAPIK","ILLINOIS",73,61.8,"B"
"KRISTIAN PHILLIPS","BOSTON COL",62,61.68,"B"
"BEN TAYLOR-WHITFIELD","TCU",61,61.68,"B"
"KEVIN BROWN","W VIRGINIA",32,61.62,"B"
"MAASAI KING","IOWA STATE",53,61.17,"B"
"NICK DEL GRANDE","DUKE",60,61.15,"B"
"EMEKA UGORJI","FLORIDA",34,60.96,"B"
"JAYLEN GILCHRIST","MARYLAND",43,59.88,"C"
"JORDAN HALL","N CAROLINA",42,58.84,"C"
"CEDRIC JEFFERSON","UTAH",54,58.66,"C"
"EKENE OGBOKO","GEORGIA",46,58.59,"C"
"JACKSON LLOYD","ALABAMA",68,58.47,"C"
"ZEREOUE WILLIAMS","UTAH",54,58.42,"C"
"DARIUS GRAY","S CAROLINA",65,58.25,"C"
"WILKIN FORMBY","TEXAS A&M",58,57.95,"C"
"MILES MCVAY","MISS STATE",55,57.92,"C"
"CONNOR HOWES","OLE MISS",45,57.73,"C"
"BO HUGHLEY","COLORADO",62,57.3,"C"
"RYAN BAER","PITTSBURGH",74,57.22,"C"
"KEVIN HEYWOOD","WISCONSIN",47,57.02,"C"
"MOSHOOD GIWA","RUTGERS",46,56.94,"C"
"TREVOR LAUCK","IOWA",60,56.48,"C"
