"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade"
"TREY'DEZ GREEN","LSU",69,100,"A"
"LUKE REYNOLDS","VA TECH",27,97.65,"A"
"ROCKY BEERS","OKLAHOMA",29,86.41,"A"
"JALEEL SKINNER","LOUISVILLE",50,82.87,"A"
"MARK BOWMAN","USC",45,79.71,"B"
"JAYVONTAY CONNER","VANDERBILT",28,79.08,"B"
"BENJAMIN BRAHMER","PENN STATE",25,77.11,"B"
"NOAH BENNEE","UTAH",32,76.9,"B"
"WILLIE RODRIGUEZ","KENTUCKY",35,63.78,"B"
"DAUNTE BACHEYIE","SYRACUSE",17,63.56,"B"
"KEVIN ROCHE JR.","GA TECH",45,58.29,"C"
"BRETT NORFLEET","MISSOURI",19,44.9,"C"
"JAYDEN SAVOURY","MICH STATE",39,44.77,"C"
"JEREMIAH HASLEY","DUKE",75,44.45,"C"
"THEO MELIN OHRSTROM","SMU",43,44.23,"C"
"RYAN WARD","W VIRGINIA",30,42.88,"C"
"BARON NAONE","WASHINGTON",41,39.9,"D"
"WALKER LYONS","BYU",33,39.38,"D"
"MATT LUDWIG","TEXAS TECH",15,38.67,"D"
"TY LOCKWOOD","ARKANSAS",41,38.52,"D"
"MARSHALL PRITCHETT","ALABAMA",34,36.59,"D"
"MASON MINI","CAL",83,35.86,"D"
"CARSON BRUHN","KANSAS",37,35.16,"D"
"MASON WILLIAMS","OHIO STATE",23,33.94,"D"
"LUKE HARPRING","FLORIDA",23,33.58,"D"
"PATRICK OVERMYER","HOUSTON",73,33.47,"D"
"EMAREE WINSTON","TEXAS",28,31.48,"D"
"DYLAN WADE","UCF",32,29.54,"D"
"WILL LOERZEL","WAKE",29,28.89,"D"
"COLE RUSK","ARIZONA",32,27.78,"D"
"DJ VONNAHME","IOWA",35,27.33,"D"
"JA'RICOUS HAIRSTON","VA TECH",26,26.47,"D"
"ETHAN DAVIS","TENNESSEE",12,26.21,"D"
"SHANE KING","ARIZONA",28,25.88,"D"
"VINCE BENETTI","IOWA STATE",35,25.77,"D"
"HENRY BOYER","KENTUCKY",43,25.57,"D"
"LUKE LINDENMEYER","NEBRASKA",55,24.99,"D"
"KHAMARI ANDERSON","ARIZONA ST",19,24.24,"D"
"CARSON KOLB","OKLA STATE",60,23.97,"D"
"CHARLIE WILLIAMS","COLORADO",64,22.97,"D"
"DORIAN FLEMING","MARYLAND",11,22.87,"D"
"CHRIS CORBO","GA TECH",29,22.44,"D"
"ELYISS WILLIAMS","GEORGIA",14,22.05,"D"
"DECKER DEGRAAF","WASHINGTON",42,21.27,"D"
"ETHAN BARBOUR","GEORGIA",14,20.59,"D"
"LUCA PUCCINELLI","PURDUE",14,20.39,"D"
"PRESTON HOWARD","MARYLAND",41,20.25,"D"
"BRADY HUNT","S CAROLINA",22,20.15,"D"
"GEORGE BURHENN","PURDUE",37,20.03,"D"
"PIERCE WALSH","MINNESOTA",24,19.93,"F"
"HARRISON SAINT GERMAIN","VA TECH",18,19.76,"F"
"NATE ROBERTS","OHIO STATE",24,19.55,"F"
"BRADY CLOUGH","BOSTON COL",47,19.43,"F"
"ARLIS BOARDINGHAM","AUBURN",23,18.87,"F"
"JALEN HOFFMAN","MICHIGAN",38,18.75,"F"
"RANDY PITTMAN JR.","SMU",44,18.64,"F"
"GAVIN GROVER","CINCINNATI",41,17.88,"F"
"TONY LIVINGSTON","BAYLOR",20,17.87,"F"
"DAVIN STOFFEL","ILLINOIS",11,17.21,"F"
"TAIMANE PURCELL","CAL",32,17.06,"F"
"LYVIEL WATERS","CINCINNATI",33,16.63,"F"
"ELIJAH LAGG","PITTSBURGH",36,16.38,"F"
