"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade"
"TRAYLON RAY","OLE MISS",20,28.19,"D"
"JORDAN CLAY","WASHINGTON",12,28.15,"D"
"LARENZO FENNER","CINCINNATI",23,28.14,"D"
"EUGENE HILTON JR.","WISCONSIN",17,28.07,"D"
"BRANDON WHITE","KANSAS ST",23,28.06,"D"
"FREDRICK MOORE","MICH STATE",73,28,"D"
"LOTZEIR BROOKS","ALABAMA",37,27.88,"D"
"BRANDON INNISS","OHIO STATE",24,27.61,"D"
"BRYANT WESCO JR.","CLEMSON",41,27.19,"D"
"JOURDIN HOUSTON","RUTGERS",42,26.85,"D"
"WINSTON WATKINS JR.","LSU",68,26.69,"D"
"TREYSHUN HURRY","LOUISVILLE",70,26.33,"D"
"BRADEN PEGAN","UTAH",45,25.8,"D"
"DAVION BROWN","VA TECH",28,25.17,"D"
"NIC ANDERSON","KENTUCKY",35,25.06,"D"
"CREED WHITTEMORE","UTAH",21,24.7,"D"
"KESHAUN SINGLETON","AUBURN",76,24.55,"D"
"CADE WOLFORD","CINCINNATI",20,24.54,"D"
"NYCK HARBOR","S CAROLINA",32,24.13,"D"
"JAMARI HAWKINS","ARKANSAS",29,24.05,"D"
"CENSERE LEE","PITTSBURGH",41,23.85,"D"
"BEN BLACK III","RUTGERS",35,23.73,"D"
"KAM SHANKS","WAKE",24,23.51,"D"
"JEREMIAH MCCLELLAN","OREGON",63,23.43,"D"
"KAHLEIL JACKSON","FLORIDA",25,22.86,"D"
"RICKY JOHNSON","UTAH",39,22.31,"D"
"ISAIAH SATEGNA III","OKLAHOMA",20,21.9,"D"
"TYSEER DENMARK","VA TECH",16,21.55,"D"
"JOSH DERRY","UCF",29,21.45,"D"
"ANTONIO JORDAN","ARKANSAS",14,21.37,"D"
"NAESHAUN MONTGOMERY","MISSOURI",59,21.34,"D"
"RODNEY BULLARD JR.","MICH STATE",73,21.33,"D"
"DANNY SCUDERO","COLORADO",13,21.26,"D"
"LOUIS BROWN IV","BAYLOR",100,20.98,"D"
"ISIAH CANION","GEORGIA",23,20.95,"D"
"BRAYDEN TRIMBLE","ILLINOIS",29,20.87,"D"
"JORDAN KING","CAL",35,20.7,"D"
"CHRIS LAWSON","WASHINGTON",56,20.67,"D"
"OMARION MILLER","ARIZONA ST",36,20.22,"D"
"MICAH HUDSON","TEXAS TECH",47,20.21,"D"
"ANDREW MARSH","MICHIGAN",45,20.09,"D"
"TRE SPIVEY","ARIZONA",37,19.83,"F"
"CHRIS HUNTER III","ARIZONA",36,19.29,"F"
"ISAIAH JOHNSON","CINCINNATI",24,19.24,"F"
"JORDAN ALLEN","GA TECH",45,19.14,"F"
"MIKE MATTHEWS","TENNESSEE",44,18.39,"F"
"MALIK KNIGHT","PITTSBURGH",44,17.55,"F"
"NITRO TUGGLE","S CAROLINA",17,16.86,"F"
"COREY SIMMS","USC",35,16.78,"F"
"GIYAHNI KONTOSIS","CINCINNATI",20,16.55,"F"
"JARON TIBBS","KANSAS ST",44,16.54,"F"
"JOHNATHAN MONTAGUE JR.","BOSTON COL",17,15.25,"F"
"MARQUIS JOHNSON","MISS STATE",40,15.04,"F"
"DEVIN MCCUIN","OHIO STATE",37,14.9,"F"
"TONY KINSLER","PITTSBURGH",30,14.89,"F"
"CHRISHON MCCRAY","MICH STATE",69,14.8,"F"
"CJ BROWN","ARKANSAS",53,14.64,"F"
"DARIUS JOHNSON","SYRACUSE",31,14.38,"F"
"RAIDEN VINES-BRIGHT","ARIZONA ST",40,14.35,"F"
"JOJO PHILLIPS","BYU",30,13.59,"F"
"MARLION JACKSON","VA TECH",19,12.97,"F"
"MICAH MAYS JR.","FLORIDA",26,12.84,"F"
"TRISTEN BROWN","VANDERBILT",48,12.81,"F"
"JAYCE BROWN","LSU",51,12.66,"F"
"JAVARIUS GREEN","BOSTON COL",51,12.58,"F"
"DJ MILLER","KENTUCKY",33,11.7,"F"
"BRETT ESKILDSEN","PENN STATE",30,11.49,"F"
"MILES COLEMAN","OKLA STATE",54,11.38,"F"
"EVAN JAMES","IOWA",29,11.27,"F"
"NYZIAH HUNTER","NEBRASKA",42,10.54,"F"
"COLE WEAVER","SYRACUSE",36,9.77,"F"
"JACK FOLEY","WAKE",33,9.24,"F"
"DONOVAN MURPH","S CAROLINA",13,9.09,"F"
"JALEN MOSS","ARIZONA ST",28,8.7,"F"
"MAZEO BENNETT JR.","S CAROLINA",29,8.33,"F"
"CARTER PABST","IOWA STATE",13,7.29,"F"
"CALEB GOODIE SR.","MISSOURI",34,6.34,"F"
"TANOOK HINES","USC",25,5.21,"F"
"SHAMAR RIGBY","WISCONSIN",15,5.07,"F"
"ELIJAH THOMAS","OKLAHOMA",12,3.76,"F"
"BRYSON WILLIAMS","MICH STATE",15,2.19,"F"
"DEBRAUN HAMPTON","BAYLOR",15,2.12,"F"
"ISAIAH FUHRMANN","GA TECH",29,1.64,"F"
"VERNON ALLEN III","RUTGERS",27,1.6,"F"
"MALIK ELZY","LSU",15,1.56,"F"
"JARED RICHARDSON","DUKE",57,0,"F"
