"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"FAME IJEBOI","PURDUE",29,100,"A"
"NATE SHEPPARD","DUKE",54,99.5,"A"
"JADAN BAUGH","FLORIDA",25,96.89,"A"
"JAVIAN MALLORY","MIAMI FL",7,90.11,"A"
"DESEAN BISHOP","TENNESSEE",31,88.47,"A"
"TURBO RICHARD","INDIANA",21,87.37,"A"
"CAM EDWARDS","MICH STATE",51,83.76,"A"
"MARK FLETCHER JR.","MIAMI FL",32,78.91,"B"
"JAYDEN SCOTT","NC STATE",NA,77.11,"B"
"KEWAN LACY","OLE MISS",37,75.23,"B"
"JUSTICE HAYNES","GA TECH",40,73.99,"B"
"FLUFF BOTHWELL","MISS STATE",37,73.63,"B"
"ANTWAN RAYMOND","RUTGERS",41,73.37,"B"
"MATT FULLER","S CAROLINA",24,71.96,"B"
"KING MILLER","USC",34,71.34,"B"
"GI'BRAN PAYNE","CINCINNATI",26,70.74,"B"
"MARQUISE DAVIS","LOUISVILLE",NA,68.42,"B"
"XAY DAVIS","VIRGINIA",NA,66.96,"B"
"J'KOBY WILLIAMS","TEXAS TECH",31,64.25,"B"
"WAYSHAWN PARKER","UTAH",36,64.08,"B"
"HOLLYWOOD SMOTHERS","TEXAS",20,64.07,"B"
"LJ MARTIN","BYU",26,62.91,"B"
"BO JACKSON","OHIO STATE",28,62.82,"B"
"MICAH WELCH","COLORADO",24,62.33,"B"
"DANIEL HILL","ALABAMA",30,62.14,"B"
"NOAH VAUGHN","VIRGINIA",NA,59.31,"C"
"RODNEY FIELDS JR.","KANSAS ST",35,59.16,"C"
"CADEN KNIGHTEN","BAYLOR",28,57.34,"C"
"LEE BEEBE JR.","INDIANA",25,56.84,"C"
"OMAR MABSON II","AUBURN",24,56.75,"C"
"CALEB HAWKINS","OKLA STATE",52,56.53,"C"
"DAWSON PENDERGRASS","BAYLOR",61,56.52,"C"
"DAUNE MORRIS","TENNESSEE",10,56.44,"C"
"WAYNE KNIGHT","UCLA",27,56.12,"C"
"ADAM MOHAMMED","CAL",72,55.21,"C"
"NATE FRAZIER","GEORGIA",11,54.84,"C"
"ABU SAMA III","WISCONSIN",31,54.29,"C"
"JEREMY PAYNE","TCU",NA,54.09,"C"
"JAMAL ROBERTS","MISSOURI",31,52.7,"C"
"JAMAL RULE","NEBRASKA",31,52.47,"C"
"IVERSON HOWARD","MARYLAND",25,52.41,"C"
"JOE JACKSON","KANSAS ST",19,51.39,"C"
"KEDRICK REESCANO","ARIZONA",28,48.99,"C"
"JEREMIAH COBB","AUBURN",44,47.54,"C"
"DERRICK MCFALL","SMU",4,47.32,"C"
"ISAIAH MOZEE","NEBRASKA",14,47.32,"C"
"KYSON BROWN","ARIZONA ST",18,46.51,"C"
"CA'LIL VALENTINE","ILLINOIS",23,46.35,"C"
"GIDEON DAVIDSON","CLEMSON",28,45.26,"C"
"DAMON FERGUSON JR.","PITTSBURGH",17,44.81,"C"
"DIERRE HILL JR.","OREGON",35,44.71,"C"
"HARRY DALTON III","MARYLAND",33,44.67,"C"
"DJ BUTLER","HOUSTON",8,44.36,"C"
"MEKHI NELSON","NEBRASKA",28,42.89,"C"
"DILIN JONES","LSU",55,42.03,"C"
"JEFFREY OVERTON JR.","VA TECH",24,41.67,"C"
"ISAAC BROWN","LOUISVILLE",39,40.45,"C"
"CAM COOK","W VIRGINIA",59,40.4,"C"
"JABREE COLEMAN","S CAROLINA",10,40.27,"C"
"MICHAEL TURNER","BAYLOR",12,40.2,"C"
"KAMARI MOULTON","IOWA",30,39.88,"D"
"MAKHI HUGHES","HOUSTON",36,39.65,"D"
"CARSON HANSEN","PENN STATE",24,39.46,"D"
"DEMON JUNE","N CAROLINA",NA,39.44,"D"
"AIDEN FLORA","IOWA STATE",13,38.63,"D"
"MARCELLOUS HAWKINS JR.","VA TECH",27,38.45,"D"
"RALEEK BROWN","TEXAS",32,38.21,"D"
"ZANE SMITH","HOUSTON",NA,37.54,"D"
"CLAY THEVENIN","RUTGERS",23,35.87,"D"
"JU'JUAN JOHNSON","SYRACUSE",NA,34.71,"D"
"WAYMOND JORDAN","USC",25,33.68,"D"
"SAVION HITER","MICHIGAN",9,33.57,"D"
"DEUCE LAWRENCE","WAKE",28,33.43,"D"
"CHRIS JOHNSON JR.","CLEMSON",10,33.34,"D"
"LA'VELL WRIGHT","PITTSBURGH",14,32.98,"D"
"NICK PEAL","GEORGIA",8,32.8,"D"
"MAKHILYN YOUNG","VANDERBILT",31,32.28,"D"
"CJ BAXTER","KENTUCKY",18,30.62,"D"
"JAIVIAN THOMAS","UCLA",13,30.61,"D"
"LLOYD AVANT","OKLAHOMA",25,29.86,"D"
"AIDAN LAUGHERY","ILLINOIS",21,29.01,"D"
"SEDRICK ALEXANDER","VANDERBILT",36,29.01,"D"
"JON DENMAN","TCU",NA,28.94,"D"
"XAI'SHAUN EDWARDS","MISSOURI",17,28.59,"D"
"JORDAN MARSHALL","MICHIGAN",36,28.4,"D"
"JASON PATTERSON","KENTUCKY",18,28.25,"D"
"EVAN DICKENS","BOSTON COL",35,27.87,"D"
"DUKE CLARK","FLORIDA",20,26.33,"D"
"MALACHI HOSLEY","GA TECH",15,25.84,"D"
"DUKE WATSON","UCF",20,24.73,"D"
"JAMES PEOPLES","PENN STATE",14,24.66,"D"
"RUEBEN OWENS II","TEXAS A&M",49,24.48,"D"
"TY CLARK III","WAKE",37,23.79,"D"
"AYO ADEYI","OKLA STATE",22,23.22,"D"
"CJ CAMPBELL","DUKE",28,22.16,"D"
"JAMARION MORROW","TEXAS A&M",19,21.71,"D"
"MARTAVIOUS BOSWELL","W VIRGINIA",NA,21.58,"D"
"BRYSON WASHINGTON","AUBURN",10,20.8,"D"
"CAM SETTLES","ARKANSAS",NA,19.38,"F"
"JORDON DAVISON","OREGON",36,18.85,"F"
"KOLIN WILSON","MISS STATE",18,18.8,"F"
"DARIUS TAYLOR","MINNESOTA",29,18.22,"F"
"DARIUS TAYLOR","MINNESOTA",5,18.22,"F"
"BRYAN JACKSON II","WISCONSIN",NA,17.59,"F"
"JAY HARRIS","KANSAS ST",9,17.37,"F"
"TERRELL WALDEN II","MIAMI FL",NA,16.91,"F"
"ANTHONY WOODS","UCLA",17,15.39,"F"
"CAMERON DICKEY","TEXAS TECH",41,15.32,"F"
"TREY COOLEY","WASHINGTON",8,15.22,"F"
"JAVIN GORDON","TENNESSEE",22,13.85,"F"
"CHRISTIAN CLARK","S CAROLINA",15,12.35,"F"
"YASIN WILLIS","KANSAS",26,12.23,"F"
"BO WALKER","GEORGIA",9,11.52,"F"
"LEKHY THOMPKINS","LOUISVILLE",NA,8.03,"F"
"BRIAN BONNER JR.","WASHINGTON",NA,7.49,"F"
"JAQUAIL SMITH","COLORADO",12,7.28,"F"
"SEAN CUONO","INDIANA",1,6.66,"F"
"SHAVANE ANDERSON JR.","SYRACUSE",18,5.29,"F"
"SUTTON SMITH","ARKANSAS",49,0.54,"F"
"DARIUS MORANT","W VIRGINIA",NA,0,"F"
