"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level"
"TREY'DEZ GREEN","LSU",69,100,"A",7,"TE",2026,"SEC",79.4,11,37,4,9,6,104,17.3,1,5,1,0,0,7,1,0,45,7.5,27,0,2.81,13,5,5,0.857,0.143,"11.10%",103.2,0.081,0.243,0.111,0.667,"P4"
"LUKE REYNOLDS","VA TECH",27,97.65,"A",85,"TE",2026,"ACC",86.5,9,28,5,10,8,108,13.5,2,5,0,0,0,8,2,1,27,3.4,6,0.5,3.86,10.4,4,1,1,0,"20.00%",151.3,0.179,0.357,0,0.8,"P4"
"ROCKY BEERS","OKLAHOMA",29,86.41,"A",81,"TE",2026,"SEC",75,4,36,4,9,6,94,15.7,0,4,0,0,0,6,0,0,56,9.3,27,0,2.61,9.1,3,4,1,0,"0.00%",101.2,0.167,0.25,0.111,0.667,"P4"
"JALEEL SKINNER","LOUISVILLE",50,82.87,"A",88,"TE",2026,"ACC",70.8,5,21,4,5,2,82,41,1,2,1,0,0,3,0,0,81,40.5,45,0,3.9,0.8,1,2,0.667,0.333,"0.00%",127.1,0,0.238,0,0.4,"P4"
"MARK BOWMAN","USC",45,79.71,"B",19,"TE",2026,"Big Ten",90.8,5,20,0,7,6,83,13.8,2,5,0,0,0,6,0,0,43,7.2,13,0,4.15,7.7,2,2,1,0,"0.00%",116.1,0.05,0.35,0,0.857,"P4"
"JAYVONTAY CONNER","VANDERBILT",28,79.08,"B",8,"TE",2026,"SEC",86.3,7,25,1,9,6,87,14.5,0,5,0,0,0,7,2,1,21,3.5,19,0.5,3.48,10.7,2,1,0.857,0,"22.20%",97.9,0.28,0.36,0.222,0.667,"P4"
"BENJAMIN BRAHMER","PENN STATE",25,77.11,"B",18,"TE",2026,"Big Ten",70,6,23,2,6,5,79,15.8,2,3,1,1,0,6,0,0,26,5.2,18,0,3.43,10.3,3,2,0.833,0.167,"0.00%",158.3,0.13,0.261,0.333,0.833,"P4"
"NOAH BENNEE","UTAH",32,76.9,"B",89,"TE",2026,"Big 12",90.7,5,14,0,5,4,113,28.3,1,4,0,0,0,4,0,0,63,15.8,18,0,8.07,11.6,3,0,1,0,"0.00%",158.3,0.143,0.357,0.2,0.8,"P4"
"WILLIE RODRIGUEZ","KENTUCKY",35,63.78,"B",81,"TE",2026,"SEC",65.5,6,29,2,8,8,49,6.1,0,4,0,1,0,8,2,2,15,1.9,5,1,1.69,4.3,1,0,1,0,"25.00%",92.2,0.103,0.276,0,1,"P4"
"DAUNTE BACHEYIE","SYRACUSE",17,63.56,"B",19,"TE",2026,"ACC",75,5,33,0,8,4,74,18.5,1,3,0,0,0,4,4,2,3,0.8,1,0.5,2.24,15,2,0,1,0,"50.00%",82.3,0.091,0.242,0.25,0.5,"P4"
"KEVIN ROCHE JR.","GA TECH",45,58.29,"C",86,"TE",2026,"ACC",76.8,6,27,2,7,6,66,11,0,4,0,0,0,6,1,0,28,4.7,10,0,2.44,6.9,1,1,1,0,"14.30%",106,0.185,0.259,0,0.857,"P4"
"BRETT NORFLEET","MISSOURI",19,44.9,"C",87,"TE",2026,"SEC",55.7,3,13,3,4,3,23,7.7,1,1,1,0,0,4,3,2,3,1,2,0.667,1.77,8,0,0,0.75,0.25,"75.00%",128.1,0.154,0.308,0,0.75,"P4"
"JAYDEN SAVOURY","MICH STATE",39,44.77,"C",31,"TE",2026,"Big Ten",66.4,2,20,1,5,4,63,15.8,0,1,0,0,0,4,0,0,49,12.3,10,0,3.15,4.8,1,1,1,0,"0.00%",118.8,0.1,0.25,0,0.8,"P4"
"JEREMIAH HASLEY","DUKE",75,44.45,"C",85,"TE",2026,"ACC",71.4,2,18,1,4,3,53,17.7,0,2,0,0,0,3,0,0,42,14,15,0,2.94,7.8,1,0,1,0,"0.00%",116.7,0,0.222,0.5,0.75,"P4"
"THEO MELIN OHRSTROM","SMU",43,44.23,"C",18,"TE",2026,"ACC",79.9,3,10,0,3,3,25,8.3,2,2,0,0,0,3,0,0,14,4.7,7,0,2.5,6.3,0,1,1,0,"0.00%",141,0,0.3,0,1,"P4"
"RYAN WARD","W VIRGINIA",30,42.88,"C",84,"TE",2026,"Big 12",92.2,1,1,0,1,1,32,32,1,1,0,0,0,1,0,0,7,7,0,0,32,25,1,0,1,0,"0.00%",158.3,0,1,1,1,"P4"
"BARON NAONE","WASHINGTON",41,39.9,"D",85,"TE",2026,"Big Ten",64.7,2,26,0,3,3,38,12.7,0,2,0,0,0,3,1,1,19,6.3,7,1,1.46,6.3,2,0,1,0,"33.30%",118.8,0,0.115,0,1,"P4"
"WALKER LYONS","BYU",33,39.38,"D",7,"TE",2026,"Big 12",88.8,4,11,2,4,4,43,10.8,0,1,0,0,0,4,0,0,20,5,12,0,3.91,5.8,1,0,1,0,"0.00%",111.5,0.091,0.364,0,1,"P4"
"MATT LUDWIG","TEXAS TECH",15,38.67,"D",5,"TE",2026,"Big 12",70.9,2,14,2,3,3,30,10,1,2,0,0,0,3,0,0,2,0.7,1,0,2.14,12,1,1,1,0,"0.00%",147.9,0.071,0.214,0,1,"P4"
