"Name","Team","Jersey.Number.x","Position","Season","Conference.x","Rush.Grade","Key.Plays.x","Attempts","Rush.Yards","Yards.per.Attempt","Rush.Touchdowns","First.Down.Runs","Fumbles.x","Fumbles.Lost.x","Missed.Tackles.on.Runs","Yards.before.Contact","Yards.before.Contact.per.Attempt","Yards.after.Contact","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Team.Name","Jersey.Number.y","Conference.y","Receiving.Grade","Key.Plays.y","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles.y","Fumbles.Lost.y","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference","Conference_Level","Offensive.Snaps","Composite_Score","Player_Grade"
"SAVION HITER","MICHIGAN",5,"HB",2026,"Big Ten",59.9,3,9,11,1.2,0,0,0,0,4,-2,-0.2,13,1.4,0,0,0.44,0,0.222,"MICHIGAN",5,"Big Ten",91.8,2,7,1,3,3,41,13.7,0,2,0,0,0,3,0,0,26,8.7,3,0,5.86,5,2,1,"100%","0.00%","0.00%",118.8,0.143,0.429,0,"100%","Big Ten","P4",9,33.57,"D"
"DEUCE LAWRENCE","WAKE",22,"HB",2026,"ACC",67.3,5,12,45,3.8,0,2,0,0,2,2,0.2,43,3.6,0,0.167,0.17,1,0.083,"WAKE",22,"ACC",72.4,1,6,0,1,1,12,12,0,1,0,0,0,1,0,0,14,14,3,0,2,-2,0,0,"100%","0.00%","0.00%",116.7,0,0.167,0,"100%","ACC","P4",28,33.43,"D"
"CHRIS JOHNSON JR.","CLEMSON",16,"HB",2026,"ACC",63.6,4,8,58,7.3,0,3,0,0,3,34,4.3,24,3,0,0.375,0.38,3,0,"CLEMSON",16,"ACC",36.8,2,16,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-6,0,0,"0.00%","100%","0.00%",39.6,0.063,0.063,0,"0.00%","ACC","P4",10,33.34,"D"
"LA'VELL WRIGHT","PITTSBURGH",11,"HB",2026,"ACC",59.4,6,13,35,2.7,0,2,0,0,3,5,0.4,30,2.3,0,0.154,0.23,0,0.154,"PITTSBURGH",11,"ACC",64.6,1,10,0,4,2,28,14,0,1,0,0,0,2,0,0,22,11,5,0,2.8,3.3,1,1,"100%","0.00%","0.00%",72.9,0,0.4,0,"50.00%","ACC","P4",14,32.98,"D"
"NICK PEAL","GEORGIA",30,"HB",2026,"SEC",85.4,6,9,41,4.6,0,3,0,0,4,0,0,41,4.6,0,0.333,0.44,1,0,"GEORGIA",30,"SEC",58.6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","SEC","P4",8,32.8,"D"
"MAKHILYN YOUNG","VANDERBILT",22,"HB",2026,"SEC",67.4,3,8,38,4.8,0,3,0,0,1,2,0.3,36,4.5,0,0.375,0.13,2,0.125,"VANDERBILT",22,"SEC",72.1,1,6,0,1,1,9,9,0,0,0,0,0,1,0,0,15,15,13,0,1.5,-6,0,1,"100%","0.00%","0.00%",104.2,0,0.167,0,"100%","SEC","P4",31,32.28,"D"
"CJ BAXTER","KENTUCKY",1,"HB",2026,"SEC",64.9,7,12,54,4.5,0,1,1,0,2,3,0.3,51,4.3,0,0.083,0.17,2,0,"KENTUCKY",1,"SEC",48,3,18,0,3,2,15,7.5,0,0,1,0,0,3,0,0,11,5.5,6,0,0.83,3,0,1,"66.70%","33.30%","0.00%",78.5,0,0.167,0,"66.70%","SEC","P4",18,30.62,"D"
"JAIVIAN THOMAS","UCLA",21,"HB",2026,"Big Ten",75.9,5,7,32,4.6,1,3,0,0,0,19,2.7,13,1.9,0,0.429,0,0,0,"UCLA",21,"Big Ten",76.8,1,9,0,1,1,4,4,0,1,0,0,0,1,0,0,11,11,4,0,0.44,-7,0,0,"100%","0.00%","0.00%",83.3,0.111,0.111,0,"100%","Big Ten","P4",13,30.61,"D"
"LLOYD AVANT","OKLAHOMA",9,"HB",2026,"SEC",67.8,4,9,35,3.9,0,2,0,0,2,19,2.1,16,1.8,0,0.222,0.22,1,0.111,"OKLAHOMA",9,"SEC",60.3,1,16,1,3,3,13,4.3,0,0,0,0,0,3,0,0,7,2.3,4,0,0.81,2,0,0,"100%","0.00%","0.00%",84.7,0,0.188,0,"100%","SEC","P4",25,29.86,"D"
"AIDAN LAUGHERY","ILLINOIS",21,"HB",2026,"Big Ten",66.7,4,11,42,3.8,0,2,0,0,2,2,0.2,40,3.6,0,0.182,0.18,0,0.273,"ILLINOIS",21,"Big Ten",42.2,3,17,0,3,1,6,6,0,0,1,0,0,2,0,0,9,9,6,0,0.35,3.7,0,2,"50.00%","50.00%","0.00%",42.4,0,0.176,0,"33.30%","Big Ten","P4",21,29.01,"D"
