"Name","Team.Name","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"LUKE REYNOLDS","VA TECH",54,27,2,97.02,"A+"
"TREY'DEZ GREEN","LSU",138,69,2,95.75,"A+"
"JALEEL SKINNER","LOUISVILLE",100,50,2,94.67,"A+"
"WILLIE RODRIGUEZ","KENTUCKY",70,35,2,89.44,"A"
"BENJI BLACKBURN","STANFORD",54,54,1,87.47,"A"
"JAMARI JOHNSON","OREGON",60,60,1,86.26,"A-"
"ROCKY BEERS","OKLAHOMA",58,29,2,85.3,"A-"
"CALEB ODOM","OLE MISS",47,47,1,84.95,"A-"
"TERRANCE CARTER JR.","TEXAS TECH",59,59,1,84.41,"A-"
"PATRICK OVERMYER","HOUSTON",146,73,2,81.56,"A-"
"MASON MINI","CAL",164,82,2,78.49,"B+"
"KEVIN ROCHE JR.","GA TECH",90,45,2,78.3,"B+"
"NOAH BENNEE","UTAH",64,32,2,76.93,"B+"
"JAYVONTAY CONNER","VANDERBILT",56,28,2,75.37,"B+"
"RANDY PITTMAN JR.","SMU",88,44,2,74.21,"B+"
"MARK BOWMAN","USC",90,45,2,73.5,"B+"
"BENJAMIN BRAHMER","PENN STATE",50,25,2,69.47,"B"
"DAUNTE BACHEYIE","SYRACUSE",34,17,2,66.71,"B"
"JEREMIAH HASLEY","DUKE",150,75,2,66.56,"B-"
"LUKE DEHNICKE","NWESTERN",39,39,1,65.47,"B-"
"ALEX HONIG","NWESTERN",30,30,1,65.34,"B-"
"MIKKEL SKINNER","KENTUCKY",52,26,2,61.39,"B-"
"WALKER LYONS","BYU",66,33,2,60.22,"B-"
"JAYDEN SAVOURY","MICH STATE",78,39,2,60.03,"B-"
"JA'RICOUS HAIRSTON","VA TECH",52,26,2,57.7,"C+"
"EMAREE WINSTON","TEXAS",56,28,2,56.65,"C+"
"DJ VONNAHME","IOWA",70,35,2,56.43,"C+"
"BARON NAONE","WASHINGTON",82,41,2,55.36,"C+"
"VINCE BENETTI","IOWA STATE",70,35,2,52.57,"C"
"CARSON BRUHN","KANSAS",74,37,2,51.53,"C"
"PIERCE WALSH","MINNESOTA",48,24,2,51.5,"C"
"BRADY CLOUGH","BOSTON COL",94,47,2,50.84,"C"
"BRETT NORFLEET","MISSOURI",38,19,2,50.17,"C"
"GEORGE BURHENN","PURDUE",74,37,2,50.02,"C"
"TY LOCKWOOD","ARKANSAS",81,40.5,2,49.73,"C"
"CHARLIE WILLIAMS","COLORADO",128,64,2,49.31,"C"
"ELIJAH LAGG","PITTSBURGH",72,36,2,49.07,"C"
"HENRY BOYER","KENTUCKY",86,43,2,46.4,"C-"
"LUKE HARPRING","FLORIDA",46,23,2,46.28,"C-"
"DECKER DEGRAAF","WASHINGTON",84,42,2,46.16,"C-"
"GARRETT OAKLEY","KANSAS ST",52,26,2,44.14,"C-"
"LUKE LINDENMEYER","NEBRASKA",110,55,2,43.75,"C-"
