"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"KALEB BEASLEY","LOUISVILLE",95,47.5,2,64.49,"B-"
"DUHRON GOODMAN","IOWA STATE",90,45,2,64.44,"B-"
"LEWIS CARTER","UCF",96,48,2,64.36,"B-"
"TAMARCUS COOLEY","LSU",71,35.5,2,64.35,"B-"
"BRAYLON JOHNSON","WAKE",101,50.5,2,64.01,"B-"
"MARCUS RATCLIFFE","TEXAS A&M",78,39,2,63.95,"B-"
"DAVIEN KERR","SYRACUSE",111,55.5,2,63.89,"B-"
"MYLES TURPIN","WAKE",34,17,2,63.72,"B-"
"CORNELL PERRY","SYRACUSE",26,26,1,63.67,"B-"
"COLBY MCCALISTER","BAYLOR",65,32.5,2,63.61,"B-"
"JORDAN ALLEN","HOUSTON",90,45,2,63.58,"B-"
"KNAHLIJ HARRELL","VA TECH",15,15,1,63.54,"B-"
"RABBIT EVANS","UTAH",97,48.5,2,63.48,"B-"
"DRAKE STUBBS","FLORIDA",32,32,1,63.37,"B-"
"TY BRYANT","KENTUCKY",110,55,2,63.34,"B-"
"KYLIN JACKSON","TCU",16,16,1,63,"B-"
"RANDON FONTENETTE","COLORADO",122,61,2,62.99,"B-"
"RONAN HANAFIN","CLEMSON",104,52,2,62.94,"B-"
"MIGUEL MITCHELL","ARKANSAS",72,36,2,62.9,"B-"
"CARTER STOUTMIRE","ARKANSAS",35,17.5,2,62.88,"B-"
"ADRIAN WILSON","ARIZONA ST",61,30.5,2,62.82,"B-"
"JORDAN DAVIS","BAYLOR",17,17,1,62.74,"B-"
"GAVIN HUNTER","ARIZONA",25,25,1,62.48,"B-"
"MATTHEW JUNG","WISCONSIN",121,60.5,2,62.34,"B-"
"JAY GREEN","STANFORD",60,60,1,62.29,"B-"
"SIMEON CALDWELL","OHIO STATE",24,24,1,62.26,"B-"
"KEON SABB","ALABAMA",75,37.5,2,62.23,"B-"
"BRALAN WOMACK","MISS STATE",23,23,1,62.21,"B-"
"QUINTON HAMMONDS","OKLA STATE",122,61,2,61.98,"B-"
"WESLEY FAIR","KANSAS ST",35,17.5,2,61.9,"B-"
"ALFONZO ALLEN JR.","FLORIDA",60,30,2,61.89,"B-"
"MOSE PHILLIPS III","OKLA STATE",80,40,2,61.88,"B-"
"JACKSON HANCOCK","MISSOURI",18,18,1,61.87,"B-"
"JAYDEN MCGREGORY","MISSOURI",29,29,1,61.77,"B-"
"BRAHEEM LONG JR.","SYRACUSE",116,58,2,61.72,"B-"
"KENNAN PULA","BYU",37,37,1,61.61,"B-"
"PEYTON WOODYARD","OREGON",30,30,1,61.49,"B-"
"SYLVESTER SMITH-REED","AUBURN",82,41,2,61.35,"B-"
"CORTEZ REDDING","MIAMI FL",24,24,1,61.24,"B-"
"DWAYNE MCDOUGLE III","NEBRASKA",87,43.5,2,60.84,"B-"
"EARL LITTLE JR.","OHIO STATE",101,50.5,2,60.82,"B-"
"JARINN KALAMA","BYU",29,29,1,60.81,"B-"
"MATT IRWIN","UCF",18,18,1,60.75,"B-"
"ZION BRANCH","GEORGIA",18,18,1,60.66,"B-"
"BO ONU","BAYLOR",57,28.5,2,60.6,"B-"
"ZETH THUES","ARIZONA ST",20,20,1,60.59,"B-"
"KOBE BLACK","TEXAS",78,39,2,60.55,"B-"
"TYSON FLOWERS","VA TECH",55,27.5,2,60.48,"B-"
"KENDEL DOLBY","MISS STATE",52,26,2,60.45,"B-"
"JORDAN LESTER","TCU",33,33,1,60.38,"B-"
"CHRISTIAN BODNAR","OKLA STATE",44,44,1,60.36,"B-"
"ANQUON FEGANS","AUBURN",53,26.5,2,60.14,"B-"
"JAYLEN MBAKWE","GA TECH",70,70,1,59.97,"C+"
"BRODY MILLER","IOWA STATE",72,36,2,59.94,"C+"
"PEYTON WATERS","N CAROLINA",43,43,1,59.82,"C+"
"COREY MYRICK","CLEMSON",124,62,2,59.76,"C+"
"JAHLEEL CULBREATH","UCF",40,20,2,59.7,"C+"
"TYLER TURNER","BAYLOR",65,32.5,2,56.8,"C+"
"JONAH WILLIAMS","TEXAS",33,33,1,56.75,"C+"
"JAYDEN SHIPPS","MARYLAND",32,32,1,56.68,"C+"
"NAETEN MITCHELL","COLORADO",122,61,2,56.64,"C+"
"MARCUS WILLIAMS","MISS STATE",77,38.5,2,56.62,"C+"
"MARVIN BURKS JR.","WISCONSIN",94,47,2,56.31,"C+"
"NATE TILMON","UTAH",43,21.5,2,55.95,"C+"
"MASON LEWIS","VANDERBILT",16,16,1,55.93,"C+"
"DEMARI HENDERSON","UCF",83,41.5,2,55.68,"C+"
"DEVYN HIDROGO","TCU",18,18,1,55.67,"C+"
"MASON ELLIS","KANSAS",49,24.5,2,55.63,"C+"
"NIKAI MARTINEZ","MICH STATE",98,49,2,55.47,"C+"
"MARCUS UPTON","BOSTON COL",131,65.5,2,55.18,"C+"
"MALCOLM HARTZOG JR.","ARIZONA",101,50.5,2,55.09,"C+"
"JOSHUA PATTERSON","WAKE",19,19,1,54.93,"C+"
"KAHMEL JOHNSON","UCF",22,22,1,54.77,"C+"
"JESSE OFURIE","RUTGERS",55,55,1,54.58,"C+"
"DONTAE CARTER","VANDERBILT",18,18,1,54.52,"C+"
"ERIC WINTERS","AUBURN",129,64.5,2,54.49,"C+"
"EVAN JACKSON","OKLA STATE",38,38,1,54.4,"C+"
"CHARLIE ECKHARDT","STANFORD",63,63,1,54.37,"C+"
"NICK CULL","OLE MISS",55,27.5,2,54.32,"C+"
"CHRIS BRACY","MICHIGAN",125,62.5,2,54.3,"C+"
"PROPHET BROWN","USC",82,41,2,54.27,"C+"
"KAMARI WILSON","W VIRGINIA",91,45.5,2,54.26,"C+"
"J'ZAVIEN CURRENCE","S CAROLINA",35,17.5,2,54.22,"C+"
"LYRIK RAWLS","ARIZONA ST",58,29,2,54.2,"C+"
"DAVON BENJAMIN","OREGON",19,19,1,53.94,"C+"
