"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"AYDAN WEST","MINNESOTA",91,45.5,2,75.96,"B+"
"CHUCK MCDONALD III","ALABAMA",19,19,1,75.91,"B+"
"DEZZ RICKS","TEXAS A&M",71,35.5,2,75.91,"B+"
"JAVAN ROBINSON","WISCONSIN",116,58,2,75.9,"B+"
"ZASHON RICH","KANSAS ST",91,45.5,2,75.62,"B+"
"CHRIS EWALD JR.","MIAMI FL",18,18,1,75.6,"B+"
"DJ WALLER JR.","LOUISVILLE",111,55.5,2,75.35,"B+"
"KK MEIER","CINCINNATI",16,16,1,75.34,"B+"
"KYON LOUD","DUKE",127,63.5,2,75.33,"B+"
"SMILEY BRADFORD","PURDUE",47,47,1,75.32,"B+"
"MILES KHATRI","W VIRGINIA",15,15,1,75.3,"B+"
"ZABIEN BROWN","ALABAMA",91,45.5,2,75.23,"B+"
"CHRISTIAN BODNAR","OKLA STATE",59,59,1,75.14,"B+"
"KENTON DOPSON III","N CAROLINA",18,18,1,75.14,"B+"
"TY REDMOND","TENNESSEE",94,47,2,75.07,"B+"
"KAYLIB SINGLETON","MISS STATE",42,42,1,74.96,"B+"
"JALEN TODD","KANSAS",79,39.5,2,74.89,"B+"
"JAMES CHENAULT JR.","UTAH",61,30.5,2,74.85,"B+"
"JOSH FUSSELL","NWESTERN",74,74,1,74.76,"B+"
"OSIRIS GILBERT","UCLA",16,16,1,74.69,"B+"
"TY WHITE","NC STATE",23,23,1,74.68,"B+"
"JONTAE GILBERT","GEORGIA",30,30,1,74.66,"B+"
"WILLIE BRELAND III","IOWA STATE",29,29,1,74.57,"B+"
"SHAMARI EARLS","MICHIGAN",36,18,2,74.56,"B+"
"DEE NEWSOME","PURDUE",17,17,1,74.38,"B+"
"DANIEL COBBS","BAYLOR",74,37,2,74.36,"B+"
"CHASEN JOHNSON","USC",34,17,2,74.25,"B+"
"JAKWON MORRIS","ILLINOIS",37,37,1,74.19,"B+"
"JAILEN DUFFIE","UCF",16,16,1,74.09,"B+"
"DANNY ODEM III","NEBRASKA",26,26,1,74.06,"B+"
"MONTAE PATE","NWESTERN",51,51,1,74.06,"B+"
"RAYSHAWN PLEASANT","AUBURN",135,67.5,2,73.98,"B+"
"NICK TAYLOR","W VIRGINIA",68,34,2,73.94,"B+"
"DEVONTE ANDERSON","RUTGERS",20,20,1,73.91,"B+"
"DAQUWAN DUNN","ARIZONA ST",17,17,1,73.9,"B+"
"JALON THOMPSON","N CAROLINA",16,16,1,73.81,"B+"
"JUSTIN ROSS","VIRGINIA",23,23,1,73.74,"B+"
"KHALIL BARNES","GEORGIA",22,22,1,73.72,"B+"
"BRAYLON CONLEY","GEORGIA",57,28.5,2,73.48,"B+"
"HUDAURI HINES","PURDUE",115,57.5,2,73.48,"B+"
"KELLEY JONES","MISS STATE",72,36,2,73.46,"B+"
"JABARI MACK","LOUISVILLE",73,36.5,2,73.45,"B+"
"MICHAEL TURNER JR.","LSU",15,15,1,73.39,"B+"
"DARYUS DIXSON","PENN STATE",64,32,2,73.38,"B+"
"DEVIN SANCHEZ","OHIO STATE",113,56.5,2,73.28,"B"
"JC HART","UTAH",52,26,2,73.14,"B"
"JAHLIL HURLEY","KANSAS",17,17,1,73.03,"B"
"LADARIAN CLARDY","OLE MISS",32,32,1,72.93,"B"
"JACOBIE HENDERSON","VIRGINIA",39,39,1,72.86,"B"
"ASHTON STAMPS","ARIZONA ST",83,41.5,2,72.83,"B"
"JA'BRIL RAWLS","FLORIDA ST",68,68,1,72.83,"B"
"JOKER JOHNSON","ARKANSAS",57,57,1,72.81,"B"
"CAYDEN DANIELS","VANDERBILT",81,40.5,2,72.79,"B"
"JOHN NESTOR","MINNESOTA",81,40.5,2,72.76,"B"
"GIL JACKSON JR.","TCU",34,34,1,72.43,"B"
"ISAIAH MCMILLIAN","KENTUCKY",100,50,2,72.37,"B"
"DJ BELL","UCF",73,36.5,2,72.33,"B"
"JAREN SENSABAUGH","NC STATE",31,31,1,72.25,"B"
"ELBERT HILL IV","USC",25,25,1,72.14,"B"
