"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Lined.up.in.Press.Coverage","Passer.Rating.Allowed","Pass.Break.Up","Average.Depth.of.Target.per.Coverage","Receiving.Yards.Allowed.per.Snap","Yards.per.Reception.Allowed","Average.Depth.of.Tackle","Interceptions","Pass.Stop","Missed.Tackles.on.Pass.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Assist.on.Pass.Plays","Touchdowns.Allowed","Run.Tackle.for.Losss.or.No.Gain","Open.Targets","Pass.Tackle.for.Loss.or.No.Gain","Dropped.Int","Hurries","Hits","Fumble.Recovery","Forced.Fumble","Sacks","Pursuit.Pressure","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","First.Contact","Batted.Passes","Interception","Drops...Off.Targets.Receptions.Forced","Pass.Rush.Productivity","Unblocked.Pass.Rush","Beaten.Defender","Plays.of.15..Yards.Allowed"
"Olatunde Mkparu","BRYANT",30,100,"A",83.7,81.5,79.3,60,8,1,2,NA,39.6,1,7.5,-0.22,-2,8,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"0.00%",1,1,0,1,0,0,2,1,"25.00%",-2,0,1,"0.00%","0.00%","0.00%","0.00%","25.00%","0.00%","0.00%",4,0,0,2,0,0,0,0
"Caleb Easterling","FURMAN",69,99.77,"A",80.2,79.4,71.9,NA,8,2,3,NA,36.7,1,15,2.05,15.6,3.5,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"11.10%",1,0,0,2,4,3,4,5,"50.00%",78,2,2,"5.30%","0.00%","20.00%","20.00%","20.00%","0.00%","20.00%",7,0,2,3,NA,0,0,2
"Juice Ricks","MERRIMACK",31,98.53,"A",92.6,92.2,67.1,NA,NA,0,0,NA,0,0,29,0,0,0,2,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,2,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","200%","0.00%",NA,NA,0,0,2,1,NA,0,0,0
"Lono Solomon","PORTLAND",49,97.29,"A",77.8,75.1,75.5,NA,10,4,3,NA,109.7,1,18.7,2.36,33,10,0,2,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,"0.00%",1,2,0,4,1,1,2,2,"66.70%",66,2,1,"7.10%","0.00%","66.70%","0.00%","33.30%","0.00%","0.00%",4,0,0,0,NA,0,0,2
"Jackson Daniels","IDAHO ST",68,94.29,"A",82.5,82.6,70.7,NA,5,2,2,NA,29.2,0,9,0.8,12,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,"0.00%",1,1,0,2,1,1,2,2,"50.00%",24,0,0,"3.30%","0.00%","0.00%","25.00%","0.00%","0.00%","0.00%",3,0,1,1,NA,0,0,1
"Takhari Carr","MONTANA ST",64,93.42,"A",76.7,76.2,68.5,NA,5,2,1,NA,39.6,1,26.5,0,0,15,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,"16.70%",0,1,0,2,1,1,3,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","25.00%","0.00%","25.00%",2,0,0,2,NA,0,0,0
"Bryson Adamoh","CENT ARK",41,93.01,"A",75.9,75.4,67.4,NA,4,2,0,NA,32.3,1,13.3,1,13.5,33,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,2,1,1,3,2,"50.00%",27,1,1,"3.70%","0.00%","25.00%","50.00%","25.00%","0.00%","0.00%",2,0,2,1,NA,0,0,1
"Daylan Pringle","MERCYHURST",55,92.68,"A",78.2,73.8,67.3,82.2,2,0,1,NA,39.6,1,37,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"0.00%",0,0,1,0,0,0,1,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","50.00%","0.00%","0.00%",2,0,0,1,50,1,0,0
"Kasai Jones","NICHOLLS",79,92.42,"A",73.2,68.2,67.9,81.4,8,3,4,NA,52.1,0,13.4,0.37,10,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,"0.00%",1,0,2,3,2,1,3,2,"40.00%",20,1,0,"1.80%","0.00%","20.00%","0.00%","0.00%","0.00%","0.00%",5,0,0,2,33.3,1,1,1
"Jermel Bynum","RHODE ISLD",16,92.3,"A",86,79.4,77.6,NA,2,1,1,NA,39.6,1,14.3,0,0,-2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"0.00%",1,1,0,1,0,0,2,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","25.00%","0.00%","0.00%",1,0,0,2,NA,0,0,0
