"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","Lined.up.in.Press.Coverage","Negative.Rush.Grade.Percentage","Positive.Rush.Grade.Percentage","row_id"
"Kennon Loftin","NICHOLLS",70,100,"A","LB",2026,"Southland",73.6,91.6,62.5,55.7,0,2,4,0,0,0,2,2,1,0,1,0,0,2,0,0,1,10,4,2,"50.00%","50.00%",25,21,1.88,"0","28.60%",0,47,1,"25.00%",29,29,1,1,1,0,57.3,0.62,1,"25.50%",0,0,3,3,2,"2.10%","0.00%","25.00%","25.00%",7.3,8.8,"0.00%",1,13,"7.10%",2,3,2,"0.00%",8,2,0,1,0,"25.00%",14,14,0,3,1,"FCS",223,NA,NA,NA,223
"Andrew Behm","S ILLINOIS",71,98.73,"A","LB",2026,"Missouri Valley",61.2,86.6,56.1,44.9,0,1,7,0,0,0,2,2,0,1,0,0,0,5,0,0,2,9,5,4,"0","50.00%",25,25,1.71,"0","16.00%",0,42,6,"75.00%",129,21.5,0,4,0,1,116.7,3.07,3,"35.70%",0,0,1,5,2,"7.10%","0.00%","50.00%","0.00%",16.1,15.9,"12.50%",46,10,"16.70%",1,6,4,"0.00%",7,1,0,1,1,"50.00%",12,12,0,2,2,"FCS",12,NA,NA,NA,12
"Aaron Kizzee","TEXAS STHN",26,94.92,"A","LB",2026,"SWAC",86.5,90,73.4,65.1,0,2,4,1,0,0,1,2,0,0,0,0,0,2,0,1,1,5,0,4,"0","25.00%",12.5,13,2.4,"0","38.50%",0,9,0,"0.00%",0,0,0,0,0,0,0,0,0,"11.10%",0,0,0,0,1,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",5,8,"0.00%",2,2,2,"0.00%",4,1,0,2,0,"0.00%",8,8,1,1,0,"FCS",218,NA,NA,NA,218
"Jyarius Carter","MERCER",67,93.61,"A","LB",2026,"Southern",77.2,76,69.9,69.9,0,5,5,0,0,0,2,2,0,1,0,0,0,1,0,0,1,7,3,6,"16.70%","33.30%",16.7,30,1.33,"6.70%","13.30%",2,31,3,"100%",27,9,0,1,0,1,104.2,0.87,1,"51.60%",0,0,0,1,1,"3.20%","0.00%","33.30%","0.00%",9,4,"33.30%",0,10,"9.10%",5,3,1,"14.30%",3,3,1,2,0,"0.00%",11,11,2,2,0,"FCS",281,NA,NA,NA,281
"Max Samuel","VALPO",75,93.26,"A","LB",2026,"Pioneer",77.6,69.2,89.9,68.2,0,3,4,1,0,1,0,2,1,0,1,0,0,2,0,1,0,6,7,5,"40.00%","40.00%",30,40,0.25,"15.00%","17.50%",6,30,2,"66.70%",9,4.5,0,0,1,0,30.6,0.3,0,"30.00%",0,0,1,1,2,"0.00%","0.00%","0.00%","33.30%",3,1.7,"0.00%",1,8,"11.10%",3,3,2,"12.50%",4,3,1,1,0,"0.00%",9,9,0,0,0,"FCS",115,NA,NA,NA,115
"Ben Fiegel","S ILLINOIS",62,93.1,"A","LB",2026,"Missouri Valley",86.4,78.7,57.4,83.9,0,4,3,0,0,0,1,1,0,0,0,1,0,2,0,0,1,5,1,2,"0","0.00%",0,26,1,"0","11.50%",0,34,5,"71.40%",21,4.2,0,2,0,0,74.1,0.62,0,"32.40%",0,0,1,1,2,"0.00%","0.00%","28.60%","0.00%",3,0.6,"0.00%",45,9,"10.00%",4,2,1,"0.00%",3,2,0,1,1,"20.00%",10,10,2,2,1,"FCS",149,NA,NA,NA,149
"Nai Mose","MONTANA",28,92.13,"A","LB",2026,"Big Sky",87.3,81.5,66,76.9,0,2,2,0,0,0,1,1,0,1,0,0,0,2,0,0,0,4,1,3,"33.30%","33.30%",16.7,13,1.67,"7.70%","30.80%",1,12,2,"66.70%",22,11,0,1,0,1,88.2,1.83,0,"25.00%",0,0,1,0,1,"0.00%","0.00%","33.30%","0.00%",7.3,1,"33.30%",38,6,"0.00%",2,2,2,"0.00%",3,1,0,0,0,"0.00%",6,6,1,1,0,"FCS",38,NA,NA,NA,38
"Peyton Wing","MONTANA",63,86.25,"A","LB",2026,"Big Sky",70.5,73,70.7,61.7,0,2,5,1,0,2,0,3,0,0,0,0,0,2,0,1,1,8,4,6,"16.70%","16.70%",8.3,25,0.8,"12.00%","12.00%",3,32,3,"60.00%",25,8.3,0,1,0,0,72.9,0.78,1,"43.80%",0,0,1,1,1,"3.10%","0.00%","20.00%","0.00%",5,0,"0.00%",32,9,"0.00%",2,4,2,"0.00%",5,2,0,1,0,"0.00%",9,9,0,1,0,"FCS",26,NA,NA,NA,26
"Teni Worthen","WEBER ST",56,86.24,"A","LB",2026,"Big Sky",87.1,82.5,91.2,64.7,0,0,7,1,0,0,0,1,0,0,0,1,0,2,0,0,1,10,1,12,"0","8.30%",8.3,27,2.29,"0","14.80%",0,17,4,"100%",34,8.5,0,2,0,0,102.1,2,0,"23.50%",0,0,0,1,1,"0.00%","0.00%","50.00%","0.00%",8.5,-2,"0.00%",23,10,"9.10%",0,5,2,"0.00%",6,0,0,2,0,"20.00%",11,11,0,3,1,"FCS",299,NA,NA,NA,299
"Christian Magliacano","COLGATE",48,84.68,"A","LB",2026,"Patriot",90.2,69.3,86,90.3,0,2,2,1,0,1,1,3,0,1,1,0,0,0,0,1,1,8,2,6,"16.70%","50.00%",33.3,26,6.67,"7.70%","11.50%",2,16,1,"33.30%",3,3,0,0,1,1,2.8,0.19,0,"56.30%",0,0,0,0,3,"0.00%","0.00%","0.00%","33.30%",1,12,"33.30%",4,7,"22.20%",2,0,0,"28.60%",3,2,2,2,0,"0.00%",9,9,0,1,0,"FCS",219,NA,NA,NA,219
"Brodie Carroll","ELON",72,84.13,"A","LB",2026,"CAA",81.1,88,58.4,66.8,0,3,7,0,0,0,1,1,1,1,0,0,0,2,0,0,1,7,2,10,"10.00%","0.00%",0,37,2.14,"2.70%","24.30%",1,25,1,"100%",7,7,0,0,0,1,95.8,0.28,0,"28.00%",0,0,0,1,1,"0.00%","0.00%","0.00%","0.00%",7,0,"100%",33,10,"9.10%",3,7,2,"0.00%",7,3,0,0,0,"100%",11,11,0,0,1,"FCS",169,NA,NA,NA,169
