"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"Damontez McDowell","STETSON",30,33.07,"D"
"Jordan Thompson","TEXAS STHN",30,32.9,"D"
"Barrett Kennedy","STETSON",43,32.84,"D"
"Will Alovao","UTAHTC",55,32.62,"D"
"Lance Byndon","STNY BROOK",52,32.29,"D"
"Jalonn Booth","CAL POLY",23,32,"D"
"Daniel Sellers","RICHMOND",33,31.91,"D"
"Martavius Durden Jr.","LIUSHAR",26,31.8,"D"
"Jackson Irwin","IDAHO ST",30,31.74,"D"
"Cayden Gibson","SAN DIEGO",30,31.57,"D"
"Samuel Horton","CENT ARK",17,31.37,"D"
"Sean Dubose","MCNEESE",49,31.13,"D"
"Ishaun Abdul-Ali","HOWARD",22,30.86,"D"
"Mason Krahn","IDAHO",34,30.84,"D"
"Josh Dorsainvil","TEXAS STHN",23,30.38,"D"
"Solomon Oduma","ILL STATE",45,30.36,"D"
"Jake Parrella","S ILLINOIS",38,30.21,"D"
"Terrill Hopkins","GARD-WEBB",27,29.95,"D"
"Julian Amankwah","STHLSK",22,29.89,"D"
"Cooper Ackerman","HOLY CROSS",34,29.34,"D"
"Janier Armstead","SACR HEART",26,29.2,"D"
"Adeon Farmer","FL A&M",29,28.92,"D"
"Trehsyn Fesili","IDAHO ST",40,28.55,"D"
"Micah Wing","NEW HAMP",50,28.32,"D"
"Royce Maloles","MCNEESE",51,27.93,"D"
"Quinten Beamon","ALABAMA ST",25,27.82,"D"
"Quintin Goins","NORFOLK",27,27.71,"D"
"Weston Woodard","TOWSON",28,27.68,"D"
"Brock Winsett","COLGATE",36,27.56,"D"
"Eli Lipscomb","FURMAN",49,27.52,"D"
"Reggie Darkah","STNY BROOK",36,27.4,"D"
"Mason Charles","SAN DIEGO",19,27.3,"D"
"Sani Tuala","IDAHO ST",20,27.27,"D"
"Blaine Downing","MONTANA ST",36,27.1,"D"
"Jalil Smith","WAGNER",18,27.08,"D"
"Ose Oriabure","CHISTA",21,27.06,"D"
"Mateo Brink","HOLY CROSS",16,26.9,"D"
