"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"Michael Bormann","N IOWA",16,26.62,"D"
"Jaylen Jennings","ARKAPB",NA,26.08,"D"
"Jakyre Henley","LAFAYETTE",NA,26.01,"D"
"Jason Albritton","E TENN ST",19,25.86,"D"
"CJ Stokes","FURMAN",17,25.17,"D"
"Jayden Hibbler","INCAR WORD",NA,24.3,"D"
"OJ Ross","BRYANT",26,24.24,"D"
"Jamell James","FORDHAM",20,24.09,"D"
"Craig Cunningham","MOREHEAD",21,24.08,"D"
"Cameron Young","CENT ARK",12,24.04,"D"
"Amari Pryear","HAMPTON",24,23.87,"D"
"Keino Fitzpatrick II","ROB MORRIS",37,23.66,"D"
"Damashja Harris","INCAR WORD",NA,23.24,"D"
"Mason Hackett","DAYTON",NA,23.15,"D"
"Seth Glatz","ILL STATE",25,22.96,"D"
"Sam Manna","BUTLER",NA,22.94,"D"
"Byron Cardwell Jr.","MERCYHURST",21,22.5,"D"
"Isaiah Ragland","VILLANOVA",25,22.49,"D"
"Isaac Stopke","CENT CT ST",24,22.45,"D"
"Niall Raby","PORTLAND",22,22.44,"D"
"Terrence Campbell","RHODE ISLD",19,22.41,"D"
"Nicholas Yanchuk","SACR HEART",10,22.21,"D"
"Noah Triplett","LNDNWD",19,22.14,"D"
"Hakeem Watters","CHARLES SO",NA,21.83,"D"
"Rashawn Marshall","MAINE",36,20.76,"D"
"Kolton Nero","ALAB A&M",NA,20.72,"D"
"Andrew Ransome","WAGNER",13,20.29,"D"
"JJ Cowan","CAMPBELL",21,20.24,"D"
"Tamaj Hoffman","NICHOLLS",27,19.88,"F"
"Jared Rhodes","LNDNWD",25,19.85,"F"
"Christian Monfort","W GEORGIA",15,19.75,"F"
"Harry Smalls","CHARLES SO",NA,18.85,"F"
"Galamama Mulbah","MERRIMACK",16,18.68,"F"
"Avery Knight","W ILLINOIS",18,18.58,"F"
"Jimmyll Williams","ELON",25,18.36,"F"
"Kaden Amigon-Suiter","N IOWA",14,18.22,"F"
"Ravon Moore","NORFOLK",22,17.87,"F"
