"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level"
"Ty Brown","MURRAY ST",51,19.48,"F",12,"TE",2026,"Missouri Valley",51.3,3,21,2,2,2,9,4.5,0,0,0,0,0,2,1,1,4,2,1,"100%",0.43,2.5,0,0,"100%","0.00%","50.00%",85.4,"0.00%","9.50%","0.00%","100%","FCS"
"Camden Lewis","MERCYHURST",43,19.48,"F",25,"TE",2026,"Northeast",55.2,3,20,0,2,2,-4,-2,0,0,0,0,0,2,0,0,2,1,2,"0.00%",-0.2,-3,0,0,"100%","0.00%","0.00%",79.2,"5.00%","10.00%","0.00%","100%","FCS"
"Jack Roland","CHISTA",38,19.48,"F",87,"TE",2026,"IND (FCS)",52.5,2,19,1,2,2,4,2,0,0,0,0,0,2,0,0,1,0.5,1,"0.00%",0.21,1.5,0,0,"100%","0.00%","0.00%",79.2,"5.30%","10.50%","0.00%","100%","FCS"
"TJ Briggs","CHATTNOOGA",42,12.34,"F",88,"TE",2026,"Southern",51.7,2,17,0,2,1,8,8,0,1,1,0,0,2,0,0,2,2,1,"0.00%",0.47,3.5,0,0,"50.00%","50.00%","0.00%",60.4,"5.90%","11.80%","0.00%","50.00%","FCS"
"Rayden Aphayvong","STNY BROOK",45,12.34,"F",47,"TE",2026,"CAA",51.2,3,27,2,2,1,8,8,0,0,0,0,0,1,0,0,4,4,2,"0.00%",0.3,8,0,0,"100%","0.00%","0.00%",20.8,"7.40%","7.40%","0.00%","50.00%","FCS"
"Elijah Smalls","MAINE",33,10.39,"F",80,"TE",2026,"CAA",40.8,2,18,3,4,0,0,0,0,0,1,0,0,1,1,0,0,0,0,"0.00%",0,11.5,0,0,"0.00%","100%","25.00%",0,"5.60%","22.20%","25.00%","0.00%","FCS"
"Jayden York","ABILENE CH",43,9.74,"F",0,"TE",2026,"United Athletic",54.1,1,27,0,1,1,6,6,0,1,0,0,0,1,0,0,5,5,2,"0.00%",0.22,1,0,0,"100%","0.00%","0.00%",91.7,"0.00%","3.70%","0.00%","100%","FCS"
"Caeleb Schlachter","E KENTUCKY",44,9.74,"F",89,"TE",2026,"United Athletic",60.9,2,15,0,1,1,12,12,0,1,0,0,0,1,0,0,14,14,0,"0.00%",0.8,-2,0,0,"100%","0.00%","0.00%",116.7,"0.00%","6.70%","0.00%","100%","FCS"
"Clayton Leonard","SE MO ST",40,9.74,"F",89,"TE",2026,"Big South - OVC Football Association",51.1,1,18,2,1,1,2,2,0,0,0,0,0,1,0,0,1,1,0,"0.00%",0.11,1,0,0,"100%","0.00%","0.00%",79.2,"0.00%","5.60%","0.00%","100%","FCS"
"Alex McDonald","YNGTOWN ST",30,9.74,"F",17,"TE",2026,"Missouri Valley",59.5,1,15,0,1,1,10,10,0,1,0,0,0,1,0,0,11,11,3,"0.00%",0.67,-1,0,0,"100%","0.00%","0.00%",108.3,"0.00%","6.70%","0.00%","100%","FCS"
"Jaron Kelley","DELWARE ST",36,9.74,"F",7,"TE",2026,"MEAC",57.6,3,22,0,1,1,9,9,0,0,0,0,0,1,0,0,4,4,1,"0.00%",0.41,5,0,0,"100%","0.00%","0.00%",104.2,"4.50%","4.50%","0.00%","100%","FCS"
"Greg Genross","MONMOUTH",45,5.19,"F",82,"TE",2026,"CAA",39.2,2,15,0,2,0,0,0,0,0,1,0,0,2,1,0,0,0,0,"0.00%",0,6.5,0,0,"0.00%","50.00%","50.00%",39.6,"6.70%","13.30%","0.00%","0.00%","FCS"
"Hayden George","SO UTAH",53,5.19,"F",88,"TE",2026,"Big Sky",44.3,1,21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,6.5,0,0,"0.00%","0.00%","0.00%",39.6,"0.00%","9.50%","0.00%","0.00%","FCS"
"David Hargro","W ILLINOIS",57,5.19,"F",15,"TE",2026,"Big South - OVC Football Association",49,5,23,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0.00%",0,12,0,0,"0.00%","0.00%","50.00%",39.6,"0.00%","8.70%","0.00%","0.00%","FCS"
"Nolan Clayton","VILLANOVA",30,2.6,"F",19,"TE",2026,"Patriot",52.4,0,16,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0.00%",0,7,0,0,"0.00%","0.00%","100%",39.6,"0.00%","6.30%","0.00%","0.00%","FCS"
"Jaden Fowler","WOFFORD",19,2.6,"F",18,"TE",2026,"Southern",50.6,0,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,1,0,0,"0.00%","0.00%","0.00%",39.6,"0.00%","6.70%","0.00%","0.00%","FCS"
"Mason McSweeney","HOLY CROSS",26,2.6,"F",44,"TE",2026,"Patriot",51.6,0,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,25,0,0,"0.00%","0.00%","0.00%",39.6,"5.90%","5.90%","100%","0.00%","FCS"
"Koby Keenan","BRYANT",33,0,"F",83,"TE",2026,"CAA",49.3,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Nick Petrillo","ALBANY",33,0,"F",18,"TE",2026,"CAA",47.8,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Karsen Konkel","S ILLINOIS",41,0,"F",87,"TE",2026,"Missouri Valley",46.8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Gus Donnerberg","IDAHO",33,0,"F",88,"TE",2026,"Big Sky",47.3,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Aiden Grote","LNDNWD",45,0,"F",87,"TE",2026,"Big South - OVC Football Association",50,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Ikenna Nwobu","MCNEESE",32,0,"F",14,"TE",2026,"Southland",47.4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Lonnie Shinn","SE LA",55,0,"F",88,"TE",2026,"Southland",50.4,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Jack Stanton","STETSON",34,0,"F",84,"TE",2026,"Pioneer",48.9,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
"Will McKissick","E WASHGTON",21,0,"F",85,"TE",2026,"Big Sky",52.1,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%","0.00%","FCS"
