"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Percentage.of.Positive.Grade","Passblock.Grade","Defeated.Runblock.Percentage","Knockdown.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"Zak Bowden","AUSTINPEAY",37,100,"A",80.8,0.135,82.6,0,0,0,0,0,0,0,0
"Leroy Woolridge III","CENT ARK",41,97.51,"A",74,0.122,81.6,0.125,0,0,0,0,0,0,0
"Anthony Johns","E KENTUCKY",68,96.97,"A",77.8,0.118,84.9,0.053,0,0,0,0,0,0,0
"Ben Wallace","ILL STATE",66,94.28,"A",78.8,0.121,72.3,0.088,0.031,0,0.031,0,0,0,1
"Andrew Monsivais","N IOWA",56,94.09,"A",75.2,0.125,75.1,0.121,0,0,0,0,1,0,0
"Bo Fowler","RICHMOND",50,89.66,"A",69.6,0.04,84.2,0.059,0,100,0,0,0,0,0
"George Dragovich","TXAMEA",55,85.65,"A",62.3,0.109,82.1,0.129,0,0,0,0,0,0,0
"Isaac Perkins","YNGTOWN ST",49,84.04,"A",69.9,0.082,83.4,0.1,0,0,0,0,0,0,0
"Bobby Galindo","COLGATE",64,83.39,"A",76,0.094,62.5,0.148,0.054,0,0.054,0,0,2,0
"Kyler Gibson","AUSTINPEAY",32,81.82,"A",63.4,0.094,78.6,0.13,0,0,0,0,0,0,0
"Jaheer Foucault","MURRAY ST",26,80.65,"A",62.3,0.077,81.3,0.188,0,0,0,0,0,0,0
"Chris McCullers","VILLANOVA",58,80.45,"A",54.7,0.035,74.3,0.25,0,100,0,0,1,0,0
"Kiande Marsh","SCAR STATE",63,80.12,"A",69.6,0.079,85.2,0.029,0,0,0,0,0,0,0
"Dorian Arguelles","W ILLINOIS",59,78.71,"B",68.1,0.085,68.9,0.156,0,0,0,0,1,0,0
"Landon Woodard","ILL STATE",66,77.34,"B",61.4,0.061,87,0.176,0,0,0,0,0,0,0
"Rex Lahr","YNGTOWN ST",26,77.11,"B",66.7,0.077,79.1,0.063,0,0,0,0,0,0,0
"Luke Rogers","NEW HAMP",55,74.75,"B",70,0.091,70.5,0.107,0,0,0.037,1,0,0,0
"Tre Webster","W ILLINOIS",32,73.5,"B",68.8,0.125,38.1,0.238,0.091,0,0.182,1,0,1,0
"Falesalafai Gatoloai","SAN DIEGO",57,72.52,"B",68.8,0.088,62.6,0.103,0,0,0,0,2,0,0
"Kelsey Hundley","RICHMOND",39,71.05,"B",62.7,0.026,54,0.1,0.035,96.6,0.035,0,0,0,1
"Endrei Sauls","LAMAR",56,70.89,"B",67,0.054,86,0,0,0,0,0,0,0,0
"Jadon Blake","BETH COOK",59,70.27,"B",65.4,0.051,84.6,0.036,0,0,0,0,0,0,0
"Jack Funke","BRYANT",60,69.2,"B",66.8,0.05,84.2,0,0,0,0,0,0,0,0
"Kanyon Ives","STF AUSTIN",66,68.8,"B",62.2,0.045,87.4,0.067,0,0,0,0,0,0,0
"Keon Daceus","CHISTA",59,68.39,"B",62.6,0.034,84.4,0.125,0,0,0,0,0,0,0
"Marc Koumoundouros","ROB MORRIS",51,68.13,"B",56.9,0.039,85.7,0.176,0,0,0,0,0,0,0
"Ty Brown","PRVIEW A&M",40,68.04,"B",57.1,0.025,83.9,0.25,0,0,0,0,0,0,0
"John Hester","LAMAR",56,67.08,"B",68.2,0.071,61,0.069,0.037,0,0.037,0,1,0,1
"Andon Riley","W GEORGIA",31,67.05,"B",55.7,0,90,0.333,0,0,0,0,0,0,0
"Eliseo Polanco","NEWHVN",41,66.74,"B",60.2,0.049,72.8,0.13,0.056,0,0.056,0,0,1,0
"Dyllan Drummond","MONTANA",61,66.55,"B",65.3,0.049,75.7,0.15,0,0,0.024,1,0,0,0
"Kaikoa Kanakaole","MONTANA",26,66.36,"B",61,0.039,82.1,0.1,0,0,0,0,0,0,0
"Reggie Houston","WOFFORD",57,66.02,"B",63.2,0.035,86,0.053,0,0,0,0,0,0,0
"Jaden Brinkley","WOFFORD",57,66.02,"B",63.2,0.035,86,0.053,0,0,0,0,0,0,0
"Chaylin Peine","CENT ARK",44,65.9,"B",60.2,0.045,81.7,0.077,0,0,0,0,0,0,0
"Cole Fuller","CAL POLY",25,65.53,"B",64.5,0.08,59.1,0.091,0,0,0,0,2,0,0
"Tyrone McDuffie III","NWSTATE",59,65.18,"B",80.3,0.102,48.7,0,0,0,0.054,2,1,0,0
"Tevon Bush","MOREHEAD",34,64.65,"B",54.6,0.029,84.2,0.2,0,0,0,0,0,0,0
