"Name","Team","SNAPS","Composite_Score","Player_Grade"
"Miada Jones","DELWARE ST",62,100,"A"
"Blake Rhodes-Brown","DELWARE ST",62,95,"A"
"Jack Smoot","NORFOLK",67,87.15,"A"
"Zach Watson","W CAROLINA",51,83.21,"A"
"Avery Ferris","E KENTUCKY",71,81.22,"A"
"Senon Chapple","CENT ARK",57,80.89,"A"
"Jason Smith","RICHMOND",50,80.15,"A"
"Cade Draper","UTAHTC",73,79.37,"B"
"Trent Savage","TXAMEA",43,76.76,"B"
"Brayden Jellison","ILL STATE",66,76.37,"B"
"Lucas Feldkamp","S DAKOTA",64,74.46,"B"
"Ryan Karby","IDAHO ST",51,71.55,"B"
"Shane Willenbring","S DAK ST",49,69.88,"B"
"Joshua Troiano","STHLSK",82,69.45,"B"
"Matthew Perdue","COLGATE",64,68.59,"B"
"Colby Reph","LEHIGH",57,68.46,"B"
"Tyler Leinberger","NORFOLK",58,68.28,"B"
"Parker Thomas","N IOWA",68,67.89,"B"
"Brennan Kurtz","BRYANT",63,67.55,"B"
"James Reddick II","SCAR STATE",63,67.28,"B"
"Caleb Billiot","NWSTATE",59,66.99,"B"
"Hudson Brewer","SE MO ST",37,66.53,"B"
"Jorge Rodriguez","LIUSHAR",62,66.42,"B"
"Dylan Haines","FORDHAM",54,65.71,"B"
"Ryan Bernard","NICHOLLS",76,64.94,"B"
"Ben Buxa","N DAKOTA",59,64.93,"B"
"Kevin Shriner","MONMOUTH",92,64.4,"B"
"Jack D'Ambra","MONTANA",61,63.78,"B"
"Christian Blackwell","SACR HEART",54,61.42,"B"
"Cam Nolan","HOLY CROSS",45,61.22,"B"
"Malik Ellis","NICHOLLS",35,60.63,"B"
"Thades Crump","CENT CT ST",58,60.16,"B"
"Jayden Colvin","CAMPBELL",51,59.29,"C"
"Timothy Artis Jr.","SOUTHERN U",40,59.05,"C"
"Brandon Stuckey","LAMAR",56,58.67,"C"
"Quin Whalen","VILLANOVA",58,58.38,"C"
"Krush Sowers","SO UTAH",54,57.97,"C"
"Jack Hunt","W GEORGIA",60,57.32,"C"
"Braxton Goff","TARLETON",73,57.29,"C"
"Graham McLelland","MURRAY ST",67,56.98,"C"
"Jacob Edmonds","WEBER ST",73,56.96,"C"
"Ethan Goodin","S ILLINOIS",58,56.94,"C"
"Michael Moore Jr.","ALABAMA ST",60,56.71,"C"
"Tyler Murray","MERCER",75,56.34,"C"
"John Golden","STNY BROOK",68,56.14,"C"
"Tony Failla","LNDNWD",44,56.11,"C"
"Caleb Flores","TARLETON",73,55.99,"C"
"Colter Lynch","ABILENE CH",64,55.98,"C"
"Arthur Avila","MCNEESE",77,55.59,"C"
"Aiden Kaplan","MONTANA ST",68,55.41,"C"
"Erik Gray","STF AUSTIN",66,54.65,"C"
"Riley Whitten","SE LA",66,54.41,"C"
"Christian Loving","BETH COOK",56,54.06,"C"
"Will Hendricks","DRAKE",53,52.79,"C"
"Hayden Jones","CAL POLY",71,52.35,"C"
"Devin Lively","CHATTNOOGA",60,51.62,"C"
"Carter Wilson","MERCYHURST",56,50.96,"C"
"Pete Jarvis","ROB MORRIS",51,50.8,"C"
"Zaire Collier","UC DAVIS",37,50.66,"C"
"Will French III","N ALABAMA",74,50.42,"C"
"Colton Patterson","N COLORADO",64,50.32,"C"
"Clayton Hixon","WOFFORD",57,49.58,"C"
"Luke Swaine","NEW HAMP",55,49.13,"C"
"Sam Reynolds","SE MO ST",79,49.1,"C"
"Anthony Massa","NEWHVN",56,49.01,"C"
"Tre Alexander","RHODE ISLD",72,48.83,"C"
"Layton Vining","IDAHO",80,48.74,"C"
"Matthew Keeley","YNGTOWN ST",56,48.17,"C"
"Jack Boutaugh","MAINE",65,47.87,"C"
"Alexander Vigil","GRAMBLING",34,47.62,"C"
"Dylan Scott","E WASHGTON",70,46.37,"C"
"Jonah Bossette","CHISTA",45,46.25,"C"
"Jalen Foster","STETSON",67,46.23,"C"
"Gabe Navarro","ELON",66,45.96,"C"
"Richard Dennis","STETSON",36,44.89,"C"
"Tyler Isaacson","MOREHEAD",52,43.68,"C"
"Emery D'Urso","HAMPTON",69,41.06,"C"
"Abram Nicklas","TXRG",62,40.53,"C"
"Cooper Bothwell","VALPO",62,39.93,"D"
"Eugene Avei","MERCYHURST",56,39.65,"D"
"Maddox Radcliffe","E TENN ST",67,39.47,"D"
"Jabari Edwards","GARD-WEBB",76,39.36,"D"
"Garrett Smith","TENN MARTN",70,38.97,"D"
"Matt Brooks","DUQUESNE",47,38.66,"D"
"Jackson Nixon","ALBANY",64,36.71,"D"
"Maicah Talavou","SAN DIEGO",57,36.6,"D"
"Chris Luna","FURMAN",68,36.38,"D"
"Ian Markham-Miller","TOWSON",65,36.03,"D"
"Logan Wylie","MERRIMACK",62,35.69,"D"
"Kai Gadson","FL A&M",46,29.64,"D"
"Semisi Latu","PORTLAND",71,16.35,"F"
"Charles Stewart","WM & MARY",74,3.36,"F"
"Guan Price II","HOWARD",47,0,"F"
