"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade"
"Tanner Beaman","PORTLAND",67,100,"A"
"Sean Sallis","TXAMEA",62,59.09,"C"
"Jake Young","W CAROLINA",36,51.3,"C"
"Jake Scobey","DRAKE",68,45.92,"C"
"Marcus Middleton","MONMOUTH",61,41.56,"C"
"Garrett Harstad","N COLORADO",33,41.56,"C"
"Joseph Moreland","NWSTATE",52,41.56,"C"
"Micah Mackay","VALPO",27,41.56,"C"
"Max Ziebarth","ILL STATE",61,38.96,"D"
"Rocky Lencioni","MONTANA ST",50,37.01,"D"
"Cole Clarke","STHLSK",61,36.18,"D"
"Danny Joiner","TARLETON",56,34.42,"D"
"Charlie Browder","E TENN ST",53,31.82,"D"
"Davin Driskell","LAMAR",40,31.82,"D"
"Khaioz Watford","HAMPTON",20,31.82,"D"
"Kaleb Costner","TENN MARTN",45,29.22,"D"
"Rocco Ciocca","NORFOLK",44,29.22,"D"
"Dylan Magazu","ELON",54,29.22,"D"
"Xavier Phipps","TEXAS STHN",42,29.22,"D"
"Evan Morris","N COLORADO",52,27.27,"D"
"Edward Khutsishvili","UC DAVIS",31,27.27,"D"
"Samuel Albee","MERCER",66,24.68,"D"
"Reed Boyd","MCNEESE",68,24.68,"D"
"Nathanial Clark","HOWARD",37,24.68,"D"
"Treylin Whaley","NICHOLLS",38,22.08,"D"
"Itty Henry","ABILENE CH",38,22.08,"D"
"Anthony Benzija","STETSON",51,22.08,"D"
"Nicolas Brown","SCAR STATE",44,22.08,"D"
"Aidan Sefa","W GEORGIA",37,21.9,"D"
"Tyreke Jinks","ROB MORRIS",34,19.48,"F"
"Sean McElwain","WM & MARY",38,19.48,"F"
"Miles Marshall","S ILLINOIS",55,19.48,"F"
"Arturo Johnson Jr.","CENT CT ST",22,19.48,"F"
"Jackson Pryor","FURMAN",60,19.48,"F"
"Noah West-Baranco","IDAHO",71,19.48,"F"
"Colin Hayes","VALPO",36,19.48,"F"
"Kayden Stuit","E WASHGTON",37,19.48,"F"
"Cameron Kelley","STF AUSTIN",34,19.48,"F"
"Jack Ewell","WOFFORD",34,19.48,"F"
"Ty Brown","MURRAY ST",51,19.48,"F"
"Camden Lewis","MERCYHURST",43,19.48,"F"
"Jack Roland","CHISTA",38,19.48,"F"
"TJ Briggs","CHATTNOOGA",42,12.34,"F"
"Rayden Aphayvong","STNY BROOK",45,12.34,"F"
"Elijah Smalls","MAINE",33,10.39,"F"
"Jayden York","ABILENE CH",43,9.74,"F"
"Caeleb Schlachter","E KENTUCKY",44,9.74,"F"
"Clayton Leonard","SE MO ST",40,9.74,"F"
"Alex McDonald","YNGTOWN ST",30,9.74,"F"
"Jaron Kelley","DELWARE ST",36,9.74,"F"
"Greg Genross","MONMOUTH",45,5.19,"F"
"Hayden George","SO UTAH",53,5.19,"F"
"David Hargro","W ILLINOIS",57,5.19,"F"
"Nolan Clayton","VILLANOVA",30,2.6,"F"
"Jaden Fowler","WOFFORD",19,2.6,"F"
"Mason McSweeney","HOLY CROSS",26,2.6,"F"
"Koby Keenan","BRYANT",33,0,"F"
"Nick Petrillo","ALBANY",33,0,"F"
"Karsen Konkel","S ILLINOIS",41,0,"F"
"Gus Donnerberg","IDAHO",33,0,"F"
"Aiden Grote","LNDNWD",45,0,"F"
"Ikenna Nwobu","MCNEESE",32,0,"F"
"Lonnie Shinn","SE LA",55,0,"F"
"Jack Stanton","STETSON",34,0,"F"
"Will McKissick","E WASHGTON",21,0,"F"
