"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade"
"Dkhai Joseph","SE LA",42,100,"A"
"Xavier Johnson","N ALABAMA",50,94.02,"A"
"Kyle Thomas","S ILLINOIS",67,86.82,"A"
"Brooks Davis","MONTANA",42,84.95,"A"
"Tennel Bryant","S DAKOTA",26,84.08,"A"
"Aaron Enterline","TOWSON",46,77.25,"B"
"Marquis Willis","TARLETON",65,76.99,"B"
"Lynn Wyche-El","YNGTOWN ST",34,76.2,"B"
"Kymari Gray","CHISTA",40,75.73,"B"
"Korey Tai","N DAKOTA",41,75.53,"B"
"Galen Combs","ROB MORRIS",48,74.58,"B"
"Noah Kjar","WEBER ST",73,73.54,"B"
"Shamar Fowles","BRYANT",44,72.97,"B"
"Micah Simpson","TXAMEA",58,70.9,"B"
"Wesley Garrett","E WASHGTON",63,70.71,"B"
"Jackson Dufrene","NICHOLLS",51,69.47,"B"
"Tra Neal","MONMOUTH",79,68.32,"B"
"Develle Barksdale","CHISTA",49,67.05,"B"
"Mark Bails","SO UTAH",44,66.4,"B"
"Bryce Parker","TARLETON",33,65.75,"B"
"Travion Solomon","MERCER",62,64.86,"B"
"Landon Farco","STETSON",62,63.88,"B"
"David Spjut","SO UTAH",29,63.14,"B"
"Daniel Haughton","FURMAN",58,61.56,"B"
"Jeremiah Sanders","YNGTOWN ST",34,61.45,"B"
"Kyran Lee","TXRG",67,60.25,"B"
"Bryan Hunt","YNGTOWN ST",38,59.51,"C"
"Jaylin Baker","STHLSK",70,59.09,"C"
"Ty Durham","CENT ARK",55,58.89,"C"
"Ashton Schumann","CHATTNOOGA",55,58.65,"C"
"Fidel Pitts","CAL POLY",71,58.55,"C"
"Riley Purcell","MOREHEAD",33,58.01,"C"
"Chedon James","IDAHO ST",38,57.91,"C"
"T.J. Lockley","W GEORGIA",27,57.64,"C"
"Marcus Mozer","N COLORADO",58,57.4,"C"
"Elisha Edwards","MCNEESE",63,57.25,"C"
"Bugs Mortimer","STF AUSTIN",40,55.32,"C"
"Chris Gundy","VALPO",43,55.2,"C"
"Curtis Deville","MCNEESE",70,55.03,"C"
"Sean Wilson Jr.","BRYANT",46,54.81,"C"
"Tyrell Pollard","CENT ARK",56,53.83,"C"
"Mitchell January","DRAKE",42,53.68,"C"
"Jaydon Smith","TXRG",51,53.52,"C"
"Dylan Lord","ILL STATE",58,53.49,"C"
"Romelo Boykin","ABILENE CH",52,53.09,"C"
"Darius Bailey","PORTLAND",29,52.84,"C"
"Elijah Roy","LNDNWD",46,52.72,"C"
"Robert Young","WEBER ST",55,52.13,"C"
"SirCharles Gordon","HOLY CROSS",24,51.8,"C"
"Mike Williams","UTAHTC",52,51.55,"C"
"Kai Austin","WM & MARY",62,50.94,"C"
"Makhia Sherrard","TENN MARTN",52,50.61,"C"
"John Anthony Jr.","SE MO ST",59,50.59,"C"
"Jacob Kania","W ILLINOIS",35,49.85,"C"
"Demetrius Pearce","SE MO ST",48,49.59,"C"
"Tayvion McCoy","CAL POLY",69,49.58,"C"
"Ja'Carree Kelly","NEW HAMP",39,49.11,"C"
"Josh Evans","BETH COOK",64,49.09,"C"
"BJ Norman","ALBANY",33,48.23,"C"
"Cristian Driver","ABILENE CH",46,48,"C"
"Aboraa Kwarteng","RHODE ISLD",62,47.68,"C"
"Terrence Rone","DELWARE ST",57,47.59,"C"
"Nodin Tracy","FORDHAM",50,47.19,"C"
"Jimmy Trilla","IDAHO ST",29,46.9,"C"
"Trey Olsen","N COLORADO",50,46.34,"C"
"Jordan Smith","NICHOLLS",53,45.87,"C"
"Ryan Petras","DUQUESNE",40,45.58,"C"
"Cru Newman","PORTLAND",51,45.12,"C"
"Eric Rasheed","MERCER",67,45.1,"C"
"Raydrian Baltrip","ABILENE CH",37,45.04,"C"
"Taco Dowler","MONTANA ST",49,44.72,"C"
"Luke Vanantwerp","WM & MARY",27,44.69,"C"
"Winston Moore","COLGATE",64,44.66,"C"
"Cameron Weir","N DAKOTA",20,44.46,"C"
"Jordan Bride","GRAMBLING",25,44,"C"
"Lekeldrick Bridges","MONTANA",33,43.87,"C"
"Jaiden Ellis-Lahey","N IOWA",37,42.66,"C"
"Dane Steel","MONTANA ST",50,42.64,"C"
"Jason Palmieri","SACR HEART",44,42.59,"C"
"Jordan Rae","ALBANY",35,42.39,"C"
"Rylin Lang","E WASHGTON",39,41.84,"C"
"Marquis Buchanan","RHODE ISLD",69,41.45,"C"
"Arshawn Powell","CHISTA",46,41.17,"C"
"Ryan Ricketti","NEW HAMP",28,40.75,"C"
"Braden Reed","VILLANOVA",48,40.28,"C"
"Blake Thomas","LAMAR",32,40.25,"C"
"Cody Blicharz","DRAKE",36,40.01,"C"
