"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level","Catch_Rate","Yards_Per_Tgt","Tgt_Per_Snap"
"Ray Hall","CAL POLY",53,28.89,"D",88,"WR",2026,"Big Sky",59.4,7,40,2,9,4,44,11,0,2,1,0,0,7,3,0,9,2.3,2,0,1.1,12.2,2,1,0.571,0.143,"33.30%",59.5,0,0.225,0.111,0.444,"FCS",0.444444444444444,4.88888888888889,0.225
"Isaac McMullin","UTAHTC",23,28.69,"D",21,"WR",2026,"Big Sky",66.9,2,15,4,2,2,23,11.5,0,1,0,0,0,2,0,0,8,4,0,0,1.53,7.5,0,0,1,0,"0.00%",114.6,0.067,0.133,0,1,"FCS",1,11.5,0.133333333333333
"Torance Washington Jr.","STHLSK",53,28.64,"D",3,"WR",2026,"Northeast",54.4,5,40,9,11,3,31,10.3,0,2,1,0,0,5,0,0,10,3.3,10,0,0.78,10.8,1,3,0.6,0.2,"0.00%",39.6,0.2,0.275,0.273,0.273,"FCS",0.272727272727273,2.81818181818182,0.275
"D.J. Linkins","STNY BROOK",49,28.5,"D",1,"WR",2026,"CAA",56.6,1,34,15,3,3,29,9.7,0,1,0,0,0,3,0,0,19,6.3,11,0,0.85,3.3,1,1,1,0,"0.00%",106.9,0,0.088,0,1,"FCS",1,9.66666666666667,0.0882352941176471
"Kam Phillips","COLGATE",58,28.45,"D",7,"WR",2026,"Patriot",62.6,6,35,7,7,3,43,14.3,0,3,1,0,0,4,3,1,5,1.7,3,0.333,1.23,14.1,1,0,0.75,0.25,"42.90%",23.8,0.171,0.2,0.286,0.429,"FCS",0.428571428571429,6.14285714285714,0.2
"B.J. Fleming","TARLETON",56,28.42,"D",4,"WR",2026,"United Athletic",60.6,5,44,5,7,4,28,7,0,1,0,0,0,5,3,1,4,1,1,0.333,0.64,17.3,0,0,0.8,0,"42.90%",66.4,0.023,0.159,0.286,0.571,"FCS",0.571428571428571,4,0.159090909090909
"Lincoln Delaere","DRAKE",17,28.18,"D",80,"WR",2026,"Pioneer",61,1,15,6,1,1,6,6,1,1,0,0,0,1,0,0,0,0,0,0,0.4,13,0,0,1,0,"0.00%",131.3,0.067,0.067,0,1,"FCS",1,6,0.0666666666666667
"Seth Sweitzer","STNY BROOK",57,28.13,"D",3,"WR",2026,"CAA",57.6,5,41,1,10,7,50,7.1,0,3,2,0,0,9,0,0,19,2.7,9,0,1.22,5.7,0,0,0.778,0.222,"0.00%",81.3,0.244,0.244,0,0.7,"FCS",0.7,5,0.24390243902439
"Franck Pierre","ALABAMA ST",37,27.92,"D",7,"WR",2026,"SWAC",61,2,27,9,3,1,27,27,0,1,0,0,0,1,0,0,0,0,0,0,1,17.7,1,0,1,0,"0.00%",67.4,0,0.111,0.667,0.333,"FCS",0.333333333333333,9,0.111111111111111
"Isaiah Scott","WOFFORD",49,27.86,"D",9,"WR",2026,"Southern",58.5,2,32,5,6,3,47,15.7,0,2,0,0,0,3,0,0,9,3,4,0,1.47,12,1,0,1,0,"0.00%",36.8,0,0.188,0.333,0.5,"FCS",0.5,7.83333333333333,0.1875
