"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"Kerby Vital Jr.","WAGNER",28,47.53,"C"
"Shane Keenan","YNGTOWN ST",47,47.32,"C"
"Landon Roaten","ABILENE CH",64,47.3,"C"
"Aidan Palmer","LEHIGH",57,46.44,"C"
"Michael Gradle","E WASHGTON",37,46.36,"C"
"J'vyon Tatum","ALABAMA ST",42,46.33,"C"
"Joden Nelson","TOWSON",53,45.99,"C"
"Mason LaFond","FORDHAM",54,45.71,"C"
"Trey Price","UTAHTC",73,45.6,"C"
"Josiah Ware","STNY BROOK",37,45.55,"C"
"Justin Sokol","SACR HEART",54,45.45,"C"
"Christopher Williams","FL A&M",32,45.26,"C"
"Jon Faletra","STETSON",67,45.16,"C"
"Nick Herzog","S DAKOTA",64,45.11,"C"
"Kelan Washington","MERCER",75,44.63,"C"
"Kuba Tyszka","HOLY CROSS",45,43.85,"C"
"Mark Johnson","E WASHGTON",37,43.05,"C"
"Michael Petito","MONMOUTH",55,43.04,"C"
"Ryan Pemberton","CENT CT ST",36,42.64,"C"
"Nick Chomko","CENT CT ST",58,42.13,"C"
"Noah Kline","VALPO",62,41.43,"C"
"Taki Dadiotis","SAN DIEGO",51,41.43,"C"
"Hayden Raley","WM & MARY",74,41.12,"C"
"Eli Long","N ALABAMA",30,40.42,"C"
"Wade Victor","LIUSHAR",62,40.34,"C"
"Ian Erickson","MAINE",55,40.16,"C"
"Antonio Gaines","E KENTUCKY",39,40.16,"C"
"Bryce Rainwater","FURMAN",68,39.89,"D"
"Aaron McIver","W CAROLINA",51,39.48,"D"
"Howard Stedford","IDAHO",80,39.41,"D"
"Abiathar Curry","MERCER",75,39.34,"D"
"Jake Beam","SACR HEART",54,39.32,"D"
"Preston Lilley","GARD-WEBB",76,38.93,"D"
"Marco DeCroce","FORDHAM",39,38.7,"D"
"Carson Wheeler","N ALABAMA",45,38.66,"D"
"Kamani Fifita","CAL POLY",46,38.54,"D"
"Tommy Jeleniewski","STHLSK",41,38.2,"D"
"Kahini Austin","DUQUESNE",41,38.17,"D"
"Charlie Kruger","IDAHO ST",51,37.05,"D"
"Adrian Lopez","GARD-WEBB",76,37,"D"
"Nick Hughes","TXRG",82,36.82,"D"
"Theo Bachelder","HOLY CROSS",40,36.69,"D"
"Jack Hearne","N IOWA",58,35.79,"D"
"Vincent Boila","ROB MORRIS",51,35.59,"D"
"Demoni Taylor","SE MO ST",79,35.02,"D"
"Dezmond Penn","ALABAMA ST",51,34.88,"D"
"Tommy Dickinson","MERRIMACK",62,34.34,"D"
"DeQuan Freeland","PORTLAND",72,33.78,"D"
"Tristan Lewis","PORTLAND",72,33.69,"D"
"Eric Lane","TENN MARTN",59,33.22,"D"
"Ryan Long","WAGNER",48,32.86,"D"
"Drue Duncan","MOREHEAD",39,32.66,"D"
"Logan Potter","SE LA",66,32.1,"D"
"Jaylen Pitts","HOWARD",47,31.43,"D"
"Cole McGovern","E WASHGTON",33,31.23,"D"
"Jayden Montanez","UC DAVIS",52,30.55,"D"
"Sam Fallon","ALBANY",58,29.77,"D"
"Lakeem Steele","MERRIMACK",62,29.71,"D"
"Cole Canty","DUQUESNE",44,29.06,"D"
"Blake Hoegler","MERCYHURST",56,28.53,"D"
"Tracy Jackson","CHATTNOOGA",60,28.41,"D"
"Tristan Fui","CAL POLY",71,28.19,"D"
"Mason Merriwether","CAMPBELL",48,27.86,"D"
"Kameron Durant","CAMPBELL",51,27.64,"D"
"Dolapo Egunjobi","TENN MARTN",28,27.33,"D"
"Arvid Sillberg","NEW HAMP",55,27.24,"D"
"Mikyal Trotter","SOUTHERN U",40,27,"D"
"Leon Crutcher","WEBER ST",72,26.75,"D"
"Lucas Freitas","MONTANA",47,26.19,"D"
"Evan Romano","STHLSK",41,25.92,"D"
"Reagan Gill","MCNEESE",77,25.47,"D"
"Chris Sweeney","GRAMBLING",34,24.63,"D"
"Tyler Tortorich","DRAKE",79,23.58,"D"
"Aidan Johnson","TOWSON",56,23.3,"D"
"Jezniah Thurston","UC DAVIS",52,23.24,"D"
"Nick Youmans","CAMPBELL",48,21.7,"D"
"Cameron Stevenson Jr.","HOWARD",47,21.27,"D"
"Ca'Marion Bush","FL A&M",47,20.12,"D"
"Caden Bowers","PRVIEW A&M",48,18.96,"F"
"Corin Boudreaux","SE LA",62,18.51,"F"
"Evan Safreed","ELON",66,18.43,"F"
"Tavaris Ross","HOWARD",47,17.59,"F"
"Jaedon Garcia","IDAHO ST",51,16.54,"F"
"Moritz Schmoranzer","WOFFORD",43,16.54,"F"
"Isaiah Hall","E TENN ST",53,15.74,"F"
"Ryan McCombs","W ILLINOIS",64,14.45,"F"
"Kaden Haeckel","IDAHO",71,14.16,"F"
"Brendan Mcilvenna","VALPO",62,12.21,"F"
"Navi Arretche","MERCYHURST",56,11,"F"
"AJ Cartusciello","WAGNER",48,10.38,"F"
"James Bailey","TXRG",82,6.36,"F"
"Carter Giberson","ALBANY",64,2.38,"F"
"Frank Moss","GRAMBLING",34,1.51,"F"
"James Spainhour","WM & MARY",74,0,"F"
