"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level","Catch_Rate","Yards_Per_Tgt","Tgt_Per_Snap"
"JUSTIN BOWICK","OKLA STATE",41,100,"A",0,"WR",2026,"Big 12",91,11,23,5,10,9,178,19.8,2,7,0,0,0,9,2,1,87,9.7,30,0.5,7.74,9.8,5,2,1,0,"20.00%",158.3,0,0.435,0,0.9,"P4",0.9,17.8,0.434782608695652
"XAVIER TOWNSEND","PURDUE",38,92.43,"A",3,"WR",2026,"Big Ten",85.7,6,26,8,6,6,163,27.2,2,6,0,0,0,6,0,0,151,25.2,63,0,6.27,2,3,4,1,0,"0.00%",158.3,0.231,0.231,0,1,"P4",1,27.1666666666667,0.230769230769231
"ED SMALL","TCU",62,83.59,"A",18,"WR",2026,"Big 12",84.7,7,33,1,7,7,164,23.4,1,5,0,0,0,7,1,1,65,9.3,38,1,4.97,14.9,5,3,1,0,"14.30%",158.3,0.152,0.212,0.429,1,"P4",1,23.4285714285714,0.212121212121212
"KOBY HOWARD","PENN STATE",24,82.38,"A",6,"WR",2026,"Big Ten",89.4,3,13,2,5,3,115,38.3,1,3,0,0,0,3,2,2,50,16.7,3,1,8.85,16.8,2,0,1,0,"40.00%",143.8,0.154,0.385,0.4,0.6,"P4",0.6,23,0.384615384615385
"DUCE ROBINSON","FLORIDA ST",66,82.18,"A",0,"WR",2026,"ACC",77.8,7,40,15,8,6,135,22.5,1,5,0,0,0,6,4,2,42,7,29,0.5,3.38,13.8,5,1,1,0,"50.00%",156.3,0.025,0.2,0.25,0.75,"P4",0.75,16.875,0.2
"COLLIN DIXON","ILLINOIS",49,80.68,"A",17,"WR",2026,"Big Ten",88.6,8,32,5,11,9,149,16.6,2,6,0,0,0,9,1,0,10,1.1,3,0,4.66,15.4,5,1,1,0,"9.10%",120.5,0.063,0.344,0.273,0.818,"P4",0.818181818181818,13.5454545454545,0.34375
"CHRIS DURR JR.","MARYLAND",54,78.53,"B",13,"WR",2026,"Big Ten",66.3,8,43,15,17,13,121,9.3,2,5,0,1,0,13,0,0,60,4.6,20,0,2.81,9.1,2,2,1,0,"0.00%",134.7,0.349,0.395,0.176,0.765,"P4",0.764705882352941,7.11764705882353,0.395348837209302
"KEENAN JACKSON","NC STATE",54,77.41,"B",8,"WR",2026,"ACC",74.7,6,32,3,11,9,102,11.3,3,5,0,0,0,9,0,0,14,1.6,-1,0,3.19,12.3,2,2,1,0,"0.00%",144.9,0.031,0.344,0.273,0.818,"P4",0.818181818181818,9.27272727272727,0.34375
"CHARLIE BECKER","INDIANA",44,74.53,"B",80,"WR",2026,"Big Ten",77,5,25,11,6,5,127,25.4,1,4,0,0,0,5,0,0,49,9.8,7,0,5.08,15.5,2,1,1,0,"0.00%",158.3,0.04,0.24,0.167,0.833,"P4",0.833333333333333,21.1666666666667,0.24
"MESSIAH HAMPTON","OREGON",49,74.3,"B",15,"WR",2026,"Big Ten",84.9,9,32,2,7,7,109,15.6,2,6,0,0,0,7,1,1,22,3.1,2,1,3.41,13.9,2,0,1,0,"14.30%",158.3,0.031,0.219,0.143,1,"P4",1,15.5714285714286,0.21875
"JAYDEN MCGOWAN","BAYLOR",32,74.08,"B",15,"WR",2026,"Big 12",76.8,3,15,4,2,2,79,39.5,2,2,0,0,0,2,0,0,22,11,18,0,5.27,28.5,2,1,1,0,"0.00%",158.3,0,0.133,0.5,1,"P4",1,39.5,0.133333333333333
"TYRELL HENRY","WISCONSIN",37,73.83,"B",0,"WR",2026,"Big Ten",91.9,13,24,0,17,14,160,11.4,0,8,1,0,0,15,0,0,71,5.1,23,0,6.67,7.4,5,4,0.933,0.067,"0.00%",105.9,0.667,0.708,0,0.823,"P4",0.823529411764706,9.41176470588235,0.708333333333333
"JUNIOR SHERRILL","VANDERBILT",53,73.13,"B",0,"WR",2026,"SEC",70.3,6,39,6,8,6,108,18,2,3,1,0,0,7,3,2,17,2.8,12,0.667,2.77,16.8,2,0,0.857,0.143,"37.50%",156.3,0.077,0.205,0.375,0.75,"P4",0.75,13.5,0.205128205128205
"DJ EPPS","W VIRGINIA",52,73.01,"B",2,"WR",2026,"Big 12",81.3,3,23,0,4,3,92,30.7,2,3,0,0,0,3,1,1,15,5,9,1,4,25.5,3,0,1,0,"25.00%",156.3,0.174,0.174,1,0.75,"P4",0.75,23,0.173913043478261
"BRADEN PEGAN","UTAH",55,72.85,"B",7,"WR",2026,"Big 12",83.9,10,35,0,12,9,130,14.4,2,6,1,0,0,10,0,0,33,3.7,22,0,3.71,14,2,1,0.9,0.1,"0.00%",149.3,0.029,0.343,0.333,0.75,"P4",0.75,10.8333333333333,0.342857142857143
"LEGEND GLASKER","BYU",27,72.7,"B",1,"WR",2026,"Big 12",88.9,4,13,1,5,5,131,26.2,0,4,0,0,0,5,1,1,74,14.8,33,1,10.08,11.4,3,0,1,0,"20.00%",118.8,0.154,0.385,0.2,1,"P4",1,26.2,0.384615384615385
"JACK FOLEY","WAKE",42,72.19,"B",10,"WR",2026,"ACC",76.3,9,39,15,10,6,118,19.7,1,4,0,0,0,6,3,2,35,5.8,21,0.667,3.03,14.1,3,1,1,0,"30.00%",95,0,0.256,0.4,0.6,"P4",0.6,11.8,0.256410256410256
"CHRIS HENRY JR.","OHIO STATE",29,71.58,"B",15,"WR",2026,"Big Ten",71.8,1,13,0,1,1,75,75,1,1,0,0,0,1,0,0,70,70,70,0,5.77,5,1,2,1,0,"0.00%",158.3,0,0.077,0,1,"P4",1,75,0.0769230769230769
"KENNY JOHNSON","TEXAS TECH",49,71.48,"B",2,"WR",2026,"Big 12",77,4,27,8,8,4,113,28.3,1,4,0,0,0,4,1,1,5,1.3,2,1,4.19,21.5,4,0,1,0,"12.50%",135.4,0.037,0.296,0.75,0.5,"P4",0.5,14.125,0.296296296296296
"RASHID WILLIAMS","WASHINGTON",35,71.04,"B",3,"WR",2026,"Big Ten",83.5,8,27,5,6,6,86,14.3,2,6,0,0,0,6,1,1,20,3.3,12,1,3.19,12.7,3,0,1,0,"16.70%",158.3,0.037,0.222,0,1,"P4",1,14.3333333333333,0.222222222222222
"ANDREW MARSH","MICHIGAN",50,70.32,"B",3,"WR",2026,"Big Ten",74.4,7,25,11,13,10,105,10.5,1,6,1,0,0,11,1,1,84,8.4,36,1,4.2,5.8,1,2,0.909,0.091,"7.70%",125.5,0.16,0.52,0.077,0.769,"P4",0.769230769230769,8.07692307692308,0.52
"TRAYLON RAY","OLE MISS",33,69.44,"B",7,"WR",2026,"SEC",74.3,4,26,1,8,7,115,16.4,1,5,0,0,0,7,1,1,40,5.7,15,1,4.42,11.9,4,0,1,0,"12.50%",158.3,0.269,0.308,0.25,0.875,"P4",0.875,14.375,0.307692307692308
"MALACHI TONEY","MIAMI FL",47,66.46,"B",1,"WR",2026,"ACC",84.5,8,29,3,12,12,114,9.5,1,7,0,0,0,12,0,0,65,5.4,25,0,3.93,4.8,2,1,1,0,"0.00%",134,0.241,0.414,0,1,"P4",1,9.5,0.413793103448276
"KJ DUFF","RUTGERS",70,66.14,"B",8,"WR",2026,"Big Ten",77.6,13,44,19,14,7,86,12.3,1,5,0,0,0,7,4,2,24,3.4,12,0.5,1.95,17.4,1,1,1,0,"28.60%",63.4,0.114,0.318,0.357,0.5,"P4",0.5,6.14285714285714,0.318181818181818
"KYION GRAYES","CAL",22,66.06,"B",6,"WR",2026,"ACC",73,2,13,1,3,3,98,32.7,1,1,0,0,0,3,0,0,93,31,7,0,7.54,1.7,1,1,1,0,"0.00%",158.3,0,0.231,0,1,"P4",1,32.6666666666667,0.230769230769231
"MARIO CRAVER","TEXAS A&M",64,66.02,"B",1,"WR",2026,"SEC",77,8,46,1,18,11,119,10.8,0,6,0,0,0,11,5,2,59,5.4,29,0.4,2.59,10.7,4,5,1,0,"27.80%",80.6,0.37,0.391,0.278,0.611,"P4",0.611111111111111,6.61111111111111,0.391304347826087
"CHRIS BROOKS JR.","WISCONSIN",54,65.27,"B",2,"WR",2026,"Big Ten",68.8,7,28,3,4,3,91,30.3,1,2,0,0,0,3,0,0,49,16.3,32,0,3.25,20.3,1,4,1,0,"0.00%",156.3,0.036,0.143,0.5,0.75,"P4",0.75,22.75,0.142857142857143
"TRE SPIVEY","ARIZONA",44,64.64,"B",12,"WR",2026,"Big 12",76.8,4,31,12,6,6,91,15.2,1,3,0,0,0,6,1,1,29,4.8,8,1,2.94,11.8,2,0,1,0,"16.70%",158.3,0,0.194,0.167,1,"P4",1,15.1666666666667,0.193548387096774
