"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"AUSTIN BARRETT","IOWA STATE",40,100,"A"
"TOMMY TOFI","OREGON",31,95.36,"A"
"TREVOR BUHR","PENN STATE",43,93.91,"A"
"GEIREAN HATCHETT","WASHINGTON",34,91.23,"A"
"JOSEPH IONATA","GA TECH",40,91.04,"A"
"KEVIN PEAY JR.","GA TECH",65,88.57,"A"
"DONTRELL GLOVER","GEORGIA",56,86.52,"A"
"JORDAN CHURCH","TEXAS TECH",63,86.09,"A"
"DYLAN SIKORSKI","TEXAS",52,85.77,"A"
"GABE VANSICKLE","OHIO STATE",48,83.05,"A"
"BRENDAN BLACK","NEBRASKA",56,82.71,"A"
"MAX BUCHANAN","MIAMI FL",70,82.13,"A"
"DONOVAN HASLAM","TENNESSEE",35,81.67,"A"
"LAURENCE SEYMORE III","TEXAS",28,81.26,"A"
"CASH CLEVELAND","TEXAS TECH",52,78.58,"B"
"EDDY PIERRE-LOUIS","OKLAHOMA",59,78.38,"B"
"CONNER MOORE","MICH STATE",45,77.27,"B"
"BYRON WASHINGTON","SYRACUSE",74,76.91,"B"
"CHAUNCEY GOODEN","COLORADO",67,76.6,"B"
"BRANDON HANSEN","ILLINOIS",49,76.54,"B"
"DAVE IULI","OREGON",39,76.51,"B"
"DEMETRI MANNING","OREGON",30,76.43,"B"
"LAYTH GHANNAM","VA TECH",82,76.38,"B"
"DENNIS RAHOUSKI","NWESTERN",46,76.28,"B"
"OLAUS ALINEN","KENTUCKY",55,74.12,"B"
"TELLEK LOCKETTE","MARYLAND",41,73.66,"B"
"LEIGHTON JONES","IOWA",38,73.42,"B"
"STYLZ BLACKMON","WISCONSIN",38,73.41,"B"
"JA'QWON EVANS","OKLA STATE",25,72.99,"B"
"HAYDEN TRETER","USC",28,72.58,"B"
"CONNOR STROH","KANSAS",57,72.57,"B"
"IMMANUEL IHEANACHO","OREGON",30,72.29,"B"
"SONNY MAKASINI","BYU",47,71.73,"B"
"CADEN MAAS","IOWA STATE",44,71.64,"B"
"TREVIN OSTLER","BYU",47,71.58,"B"
"TONY NELSON","MINNESOTA",55,70.75,"B"
"BRADY NORTON","MICHIGAN",70,69.47,"B"
"BRADLEY SMITH","DUKE",75,69.4,"B"
"KWABENA ASAMOAH","RUTGERS",72,69.15,"B"
"NOLAN HAY","S CAROLINA",86,68.96,"B"
"MAKILAN THOMAS","VIRGINIA",75,66.88,"B"
"KNIJEAH HARRIS","FLORIDA",81,66.87,"B"
"MICHAEL BENNETT III","OREGON",30,66.7,"B"
"BRANDON BAKER","TEXAS",75,66.65,"B"
"JOHN MILLS","WASHINGTON",56,65.96,"B"
"TRISTAN WILSON","MISSOURI",52,65.6,"B"
"DONNIE HARBOUR","PENN STATE",26,65.33,"B"
"JOHNNY DICKSON III","OKLA STATE",49,64.97,"B"
"EVAN TENGESDAHL","CINCINNATI",77,64.9,"B"
"RYAN BERGER","WAKE",68,64.3,"B"
"SHAMURAD UMAROV","TENNESSEE",57,64.25,"B"
"MONTAVIOUS CUNNINGHAM","VA TECH",82,64.13,"B"
"ZYKIE HELTON","GEORGIA",56,63.75,"B"
"DOUGLAS UTU","OREGON",29,63.54,"B"
"KAWIKA ROGERS","OREGON",66,63.48,"B"
"TEGRA TSHABOLA","KENTUCKY",55,63.4,"B"
"BJ WILLIAMS","PITTSBURGH",64,62.8,"B"
"CHARLIE ADAMS","KANSAS ST",29,62.42,"B"
"MAKI STEWART","ARIZONA ST",68,62.36,"B"
"AMARE GRAYSON","W VIRGINIA",72,62.3,"B"
"LUKE MONTGOMERY","OHIO STATE",48,62.11,"B"
"AIDAN BANFIELD","N CAROLINA",49,61.84,"B"
"WENDELL MOE JR.","TENNESSEE",38,61.76,"B"
"DJ CHESTER","MISS STATE",69,61.42,"B"
"EVAN LINK","MICHIGAN",70,60.07,"B"
"KENDALL STANLEY","PITTSBURGH",64,59.32,"C"
"ALEXANDER DOOST","ARIZONA",59,59.16,"C"
"RHINO TAPA'ATOUTAI","ARIZONA",55,58.87,"C"
"YOUSEF MUGHARBIL","NC STATE",80,58.69,"C"
"XAVIER LOZOWICKI","CINCINNATI",77,58.16,"C"
"ERYX DAUGHERTY","LOUISVILLE",65,57.62,"C"
"LJ PRUDHOMME","MISS STATE",69,57.43,"C"
"NATHAN EFOBI","MICHIGAN",70,57.01,"C"
"COOPER POWERS","TCU",58,56.98,"C"
"AUSTIN SIEREVELD","OHIO STATE",48,56.73,"C"
"ANDRÉ OTTO","FLORIDA ST",67,56.62,"C"
"TAVAKE TUIKOLOVATU","KANSAS",76,56.25,"C"
"WILL HAHN","IOWA",28,56.14,"C"
"TJ SHANAHAN JR.","FLORIDA",81,56.07,"C"
"NOAH MCKINNEY","TCU",68,55.79,"C"
"CLINTON RICHARD","WAKE",68,55.73,"C"
"ADDISON NICHOLS","SMU",85,55.71,"C"
"GREG JOHNSON","MINNESOTA",55,55.48,"C"
"HEATH OZAETA","OKLAHOMA",50,55.29,"C"
"JOSH WILLIAMS","STANFORD",44,55.21,"C"
"DREW EVANS","INDIANA",60,54.9,"C"
"JOE BRUNNER","INDIANA",60,54.82,"C"
"CHASE DUARTE","KANSAS ST",43,54.77,"C"
"EUGENE BROOKS","UCLA",64,54.62,"C"
"SHADRE HURST","HOUSTON",78,54.28,"C"
"KOBE BRANHAM","ARKANSAS",65,53.91,"C"
"MCKENZIE AGNELLO","HOUSTON",78,53.36,"C"
"CHAMP TAULEALEA","WASHINGTON",31,53.31,"C"
"EMMANUEL KOJO POKU","S CAROLINA",86,52.68,"C"
"KADE PIEPER","IOWA",38,52.65,"C"
"ALANI NOA","USC",68,52.54,"C"
"KAYLON MILLER","USC",40,52.04,"C"
"OLUWAFUNTO AKINSHILO","SYRACUSE",74,51.6,"C"
"GRANT WISE","CLEMSON",34,51.31,"C"
"SEUSEU ALOFAITULI","MIAMI FL",70,51.28,"C"
"JUDAH PRUITT","BOSTON COL",61,50.97,"C"
"CARTER SWEAZIE","UCLA",60,49.99,"C"
"MANUEL BEIGEL","MICHIGAN",29,49.99,"C"
"CURTIS PEAGLER","MISSOURI",52,49.08,"C"
"MICHAEL CARROLL","ALABAMA",68,49.08,"C"
"JULIAN ARMELLA","UCLA",46,48.83,"C"
