"Name","Team","SNAPS","Composite_Score","Player_Grade","Runblock.Grade","Percentage.of.Positive.Grade","Passblock.Grade","Defeated.Runblock.Percentage","Knockdown.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"BRUCE MITCHELL","BYU",47,100,"A",81.1,0.17,80.4,0,0,0,0,0,0,0,0
"BRADEN SMITH","IOWA STATE",44,98.23,"A",81.4,0.159,80.3,0,0,0,0,0,0,0,0
"IAPANI LALOULU","OREGON",45,97.58,"A",69.2,0.089,82.1,0.1,0,100,0,0,0,0,0
"SHERIDAN WILSON","TEXAS TECH",63,97.27,"A",72.4,0.079,83.8,0.065,0,100,0,0,0,0,0
"JACOB MAIAVA","UCF",59,91.15,"A",71.4,0.119,80.7,0.146,0,0,0,0,0,0,0
"JACKSON CARSELLO","NWESTERN",56,84.58,"A",60.5,0.089,82.2,0.281,0,0,0,0,0,0,0
"HARRISON MOORE","FLORIDA",81,81.84,"A",66.5,0.086,83.9,0.157,0,0,0,0,0,0,0
"RYAN CARRETTA","PITTSBURGH",64,80.73,"A",49.3,0.031,80.3,0.313,0.031,96.9,0.031,0,0,0,1
"CONNOR ROBERTSON","TEXAS",75,73.08,"B",74.6,0.12,72,0.125,0,0,0.047,2,0,0,0
"RYAN RODRIGUEZ","MIAMI FL",70,73.05,"B",55.2,0.014,79.2,0.25,0,100,0,0,1,0,0
"JAKE RENFRO","ILLINOIS",52,72.4,"B",66.4,0.058,83.6,0.105,0,0,0,0,0,0,0
"WILL WAY","WAKE",68,69.74,"B",74.3,0.044,68.7,0,0.018,99.1,0.018,0,2,1,0
"SAM PENDLETON","TENNESSEE",57,66.76,"B",77.8,0.105,64.7,0.115,0,0,0.065,2,0,0,0
"BRAY LYNCH","INDIANA",60,64.28,"B",59.2,0.05,77.4,0.156,0,0,0,0,0,0,0
"CAEL WINTER","IOWA",38,63.25,"B",59.4,0.026,81.4,0.176,0,0,0,0,0,0,0
"DREW BOBO","GEORGIA",56,62.85,"B",66.8,0.054,65.6,0.03,0.043,0,0.043,0,0,0,1
"ZACH HENNING","ARIZONA",57,62.48,"B",63.9,0.035,85.6,0.056,0,0,0,0,0,0,0
"ANTHONY BOSWELL","HOUSTON",78,61.89,"B",66.3,0.051,74.1,0.094,0,97.8,0.043,2,1,0,0
"JOSHUA BATES","SMU",85,60.9,"B",63.6,0.059,75.3,0.103,0.022,0,0.022,0,1,1,0
"HARRIS SEWELL","CLEMSON",72,60.04,"B",62.1,0.028,81.3,0.091,0,0,0,0,0,0,0
