"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"ISAIAH MOZEE","NEBRASKA",15,31.72,"D"
"CADEN KNIGHTEN","BAYLOR",24,30.99,"D"
"MICHAEL TERRY III","TEXAS",8,30.6,"D"
"KD JONES","OKLA STATE",11,30.22,"D"
"ASHTEN EMORY","CAL",17,30.15,"D"
"MARQUIS GILLIS","ARIZONA ST",14,29.61,"D"
"SEDRICK IRVIN","STANFORD",13,29.6,"D"
"CARSON HANSEN","PENN STATE",12,29.39,"D"
"JABREE COLEMAN","S CAROLINA",16,29.08,"D"
"LANDEN CHAMBERS","UCF",18,28.83,"D"
"MAKHILYN YOUNG","VANDERBILT",19,28.56,"D"
"A.J. TURNER","MINNESOTA",22,28.06,"D"
"WAYMOND JORDAN","USC",22,27.51,"D"
"KJ EDWARDS","TEXAS A&M",12,27.21,"D"
"DEUCE LAWRENCE","WAKE",27,24.43,"D"
"JT LINDSEY","OLE MISS",34,23.96,"D"
"XAVIER FORD","MINNESOTA",9,23.2,"D"
"YASIN WILLIS","KANSAS",15,22.71,"D"
"SAMUEL SINGLETON JR.","FLORIDA ST",15,22.27,"D"
"EVAN PRYOR","FLORIDA",11,21.24,"D"
"GI'BRAN PAYNE","CINCINNATI",52,21.09,"D"
"ANSU SANOE","WASHINGTON",6,20.7,"D"
"KOLIN WILSON","MISS STATE",12,20.63,"D"
"PRESTON REX","BYU",14,20.43,"D"
"KEDRICK REESCANO","ARIZONA",31,20.33,"D"
"SUTTON SMITH","ARKANSAS",24,20.11,"D"
"TAEVION SWINT","UCF",14,19.93,"F"
"JU'JUAN JOHNSON","SYRACUSE",28,19.45,"F"
"QUINTEN JOYNER","TEXAS TECH",8,19.37,"F"
"JARVIS GREEN","CLEMSON",7,18.44,"F"
"DWIGHT PHILLIPS JR.","GEORGIA",7,18.4,"F"
"MICHAEL TURNER","BAYLOR",16,18.08,"F"
"CAM EDWARDS","MICH STATE",26,18.01,"F"
"IVERSON HOWARD","MARYLAND",52,18.01,"F"
"CHAMP HAMPTON","STANFORD",6,17.69,"F"
"GIRARD PRINGLE JR.","MIAMI FL",11,17.69,"F"
"SEAN CUONO","INDIANA",6,17.19,"F"
"STEVE CHAVEZ-SOTO","UTAH",6,16.71,"F"
"TRELAIN MADDOX","GA TECH",28,16.69,"F"
"CAM SETTLES","ARKANSAS",25,16.63,"F"
"CAMERON PETTAWAY","IOWA STATE",17,16.52,"F"
"CA'LIL VALENTINE","ILLINOIS",21,16.37,"F"
"ANTHONY LEAGUE","CAL",18,15.96,"F"
"CARSYN BAKER","TEXAS A&M",7,15.84,"F"
"HARRY DALTON III","MARYLAND",19,15.36,"F"
"JORDAN ANDERSON","ILLINOIS",8,15.19,"F"
"BRYAN JACKSON II","WISCONSIN",13,14.96,"F"
"TREY COOLEY","WASHINGTON",29,14.74,"F"
"TY CLARK III","WAKE",22,14.7,"F"
"JAYVIAN TANELUS","DUKE",9,14.01,"F"
"DAMIAN HENDERSON II","COLORADO",15,13.72,"F"
"XAVIER ROBINSON","OKLAHOMA",9,13.72,"F"
"LLOYD AVANT","OKLAHOMA",27,13.53,"F"
"CALEB FRANCOIS","IOWA STATE",6,13.53,"F"
"DRAMEKCO GREEN","SMU",30,12.79,"F"
"JOE JACKSON","KANSAS ST",28,12.74,"F"
"JAVIAN MALLORY","MIAMI FL",21,12.28,"F"
"JONATHAN HATTON JR.","OKLAHOMA",16,12.11,"F"
"ISAIAH WEST","OHIO STATE",15,11.97,"F"
"BRYSON WASHINGTON","AUBURN",18,11.78,"F"
"RODNEY FIELDS JR.","KANSAS ST",39,11.43,"F"
"MICAH WELCH","COLORADO",11,11.41,"F"
"DEVAUGHN EKA","BYU",7,10.76,"F"
"CHRISTIAN CLARK","S CAROLINA",8,9.19,"F"
"BRYSON KUZDZAL","MICHIGAN",19,8.68,"F"
"TRAVIS TERRELL JR.","PURDUE",9,8.2,"F"
"NOLAN RAY","BOSTON COL",9,8.11,"F"
"JAYLEN MCGILL","N CAROLINA",15,7.65,"F"
"BO WALKER","GEORGIA",10,7.45,"F"
"CARSON PERRY-SMITH","CAL",10,6.99,"F"
"FAVOUR AKIH","OHIO STATE",12,6.79,"F"
"DANIEL ANDERSON","NWESTERN",6,6.69,"F"
"MARVIS PARRISH","MICH STATE",14,6.03,"F"
"JERRICK GIBSON","PURDUE",10,5.79,"F"
"NOAH VAUGHN","VIRGINIA",6,5.76,"F"
"ANTWAN ROBERTS JR.","ARIZONA",7,5.61,"F"
"ISMAIL MAHDI","ARIZONA",9,5.59,"F"
"BRAYLEN RUSSELL","ARKANSAS",7,4.19,"F"
"AMARI LATIMER","W VIRGINIA",10,3.96,"F"
"WESLEY YARBROUGH","ARIZONA",7,2.6,"F"
"MICAH JOHNSON","KANSAS",10,2.1,"F"
"TORY BLAYLOCK","OKLAHOMA",9,1.61,"F"
"JASPER PARKER","ARKANSAS",8,1.31,"F"
"QUINTREVION WISNER","FLORIDA ST",6,0.73,"F"
"XAI'SHAUN EDWARDS","MISSOURI",6,0,"F"
