"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Passblock.Grade","Percentage.of.Positive.Grade","Pass.Block.Efficiency","Knockdown.Percentage","Defeated.Runblock.Percentage","Pressure.allowed.Percentage","Beaten.by.Defender","Hurries.Allowed","Hits.Allowed","Sacks.Allowed"
"GABRIEL GREENLEE","IOWA STATE",28,100,"A",85.1,77.9,0.286,0,0,0.174,0,0,0,0,0
"GERNORRIS WILSON","OREGON",45,87.91,"A",58.5,81.5,0.089,100,0,0.2,0,0,0,0,0
"FOX CRADER","OREGON",39,83.81,"A",86.5,56.8,0.128,100,0,0,0,2,0,0,0
"ANDREW GENTRY","BYU",47,82.49,"A",82.1,80.9,0.149,0,0,0.065,0,0,0,0,0
"SHAUN TORGESON","OKLA STATE",49,81.42,"A",70.2,84.5,0.102,0,0,0.227,0,0,0,0,0
"EMERSON MANDELL","WISCONSIN",26,79.51,"B",82.7,80.2,0.154,0,0,0,0,0,0,0,0
"JESSE PERRY","TENNESSEE",65,79.14,"B",94.4,64.4,0.185,0,0.028,0,0.028,1,0,0,1
"BEN MURAWSKI","MICH STATE",35,77.36,"B",67.9,80.7,0.086,0,0.048,0.286,0.048,0,0,1,0
"MATTHEW MCCOY","MIAMI FL",70,76.37,"B",69.7,70,0.057,98.7,0,0.125,0.026,1,1,0,0
"MAASAI KING","IOWA STATE",44,74.19,"B",75,81.5,0.114,0,0,0.04,0,0,0,0,0
"ZIYARE ADDISON","OREGON",68,72.81,"B",58.7,64.7,0.059,100,0,0.121,0,1,0,0,0
"KEVIN HEYWOOD","WISCONSIN",64,72.57,"B",73,71.9,0.094,0,0,0.172,0,1,0,0,0
"DREW AZZOPARDI","WASHINGTON",56,71.72,"B",76.8,83,0.089,0,0,0,0,0,0,0,0
"KAVION BROUSSARD","ARKANSAS",56,71.25,"B",66.9,87.8,0.054,0,0,0.214,0.024,0,1,0,0
"JACOB PONTON","TEXAS TECH",63,70.88,"B",70.7,72.7,0.063,96.9,0,0.065,0.063,0,2,0,0
"TREVOR LAUCK","IOWA",38,70.65,"B",75.2,84.9,0.079,0,0,0,0,0,0,0,0
"FREDERICK WILLIAMS III","CAL",55,70.35,"B",77.1,76.4,0.091,0,0,0.056,0,1,0,0,0
"DAVID SANDERS JR.","TENNESSEE",51,70.01,"B",72.7,85.4,0.059,0,0,0.043,0,0,0,0,0
"BLAKE FRAZIER","MICHIGAN",62,68.74,"B",69.6,82.2,0.048,0,0,0.094,0,0,0,0,0
"KODI GREENE","WASHINGTON",47,68.48,"B",67,81.4,0.043,0,0.031,0.2,0.031,0,0,1,0
"ZEREOUE WILLIAMS","UTAH",65,68.27,"B",64.9,88.1,0.062,0,0,0.077,0,0,0,0,0
"HENRY TABANSI","UCF",59,68.26,"B",66.2,77.2,0.085,0,0,0.146,0,1,0,0,0
