"Name","Team","Jersey.Number.x","Position","Season","Conference.x","Rush.Grade","Key.Plays.x","Attempts","Rush.Yards","Yards.per.Attempt","Rush.Touchdowns","First.Down.Runs","Fumbles.x","Fumbles.Lost.x","Missed.Tackles.on.Runs","Yards.before.Contact","Yards.before.Contact.per.Attempt","Yards.after.Contact","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Team.Name","Jersey.Number.y","Conference.y","Receiving.Grade","Key.Plays.y","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles.y","Fumbles.Lost.y","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference","Conference_Level","Offensive.Snaps","Composite_Score","Player_Grade"
"XAVIER WILLIAMS","IOWA",26,"HB",2026,"Big Ten",90.9,6,6,151,25.2,3,6,0,0,3,81,13.5,70,11.7,0,1,0.5,6,0,"IOWA",26,"Big Ten",70.8,1,7,0,2,2,16,8,0,1,0,0,0,2,0,0,29,14.5,5,0,2.29,-6.5,0,1,"100%","0.00%","0.00%",100,0,0.286,0,"100%","Big Ten","P4",13,100,"A"
"WAYNE KNIGHT","UCLA",3,"HB",2026,"Big Ten",79.2,12,19,174,9.2,2,11,0,0,5,60,3.2,114,6,0,0.579,0.26,5,0,"UCLA",3,"Big Ten",79.2,3,10,0,3,3,23,7.7,0,2,0,0,0,3,1,1,23,7.7,12,1,2.3,0,0,1,"100%","0.00%","33.30%",98.6,0.1,0.3,0,"100%","Big Ten","P4",34,99.05,"A"
"KENDRICK RAPHAEL","SMU",6,"HB",2026,"ACC",82.2,15,24,197,8.2,3,9,0,0,4,107,4.5,90,3.8,0,0.375,0.17,5,0,"SMU",6,"ACC",55.3,1,24,0,2,2,11,5.5,0,1,0,0,0,2,0,0,7,3.5,3,0,0.46,2,0,0,"100%","0.00%","0.00%",89.6,0,0.083,0,"100%","ACC","P4",52,98.88,"A"
"DUKE WATSON","UCF",26,"HB",2026,"Big 12",82.7,9,14,177,12.6,2,6,0,0,10,99,7.1,78,5.6,0,0.429,0.71,6,0.143,"UCF",26,"Big 12",60.5,0,6,0,1,1,-1,-1,0,0,0,0,0,1,0,0,5,5,0,0,-0.17,-6,0,0,"100%","0.00%","0.00%",79.2,0,0.167,0,"100%","Big 12","P4",26,97.85,"A"
"JADAN BAUGH","FLORIDA",13,"HB",2026,"SEC",77.5,15,27,171,6.3,3,7,0,0,13,77,2.9,94,3.5,0,0.259,0.48,4,0.074,"FLORIDA",13,"SEC",41.5,4,16,0,2,1,6,6,0,0,1,0,0,2,0,0,6,6,3,0,0.38,-2,0,0,"50.00%","50.00%","0.00%",16.7,0.063,0.125,0,"50.00%","SEC","P4",52,96.89,"A"
"AIDEN FLORA","IOWA STATE",21,"HB",2026,"Big 12",85.8,8,12,194,16.2,2,5,0,0,5,63,5.3,131,10.9,0,0.417,0.42,4,0.167,"IOWA STATE",21,"Big 12",65.7,0,6,0,2,2,10,5,0,0,0,0,0,2,0,0,17,8.5,3,0,1.67,-3.5,0,0,"100%","0.00%","0.00%",87.5,0,0.333,0,"100%","Big 12","P4",24,96.56,"A"
"LJ MARTIN","BYU",4,"HB",2026,"Big 12",75.2,10,15,176,11.7,3,8,0,0,4,42,2.8,134,8.9,0,0.533,0.27,4,0.067,"BYU",4,"Big 12",74.9,2,4,0,1,1,9,9,0,0,0,0,0,1,0,0,10,10,0,0,2.25,-1,0,0,"100%","0.00%","0.00%",104.2,0,0.25,0,"100%","Big 12","P4",24,94.13,"A"
"KEYJUAN BROWN","LOUISVILLE",5,"HB",2026,"ACC",90.4,7,10,163,16.3,2,5,0,0,7,34,3.4,129,12.9,0,0.5,0.7,4,0.1,"LOUISVILLE",5,"ACC",53.9,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"0.00%","0.00%","0.00%",39.6,0,0.125,0,"0.00%","ACC","P4",29,89.19,"A"
"BRAEDEN JACKSON","IOWA",22,"HB",2026,"Big Ten",74.4,7,11,125,11.4,1,4,0,0,5,84,7.6,41,3.7,0,0.364,0.45,3,0.182,"IOWA",22,"Big Ten",89.1,1,2,0,1,1,24,24,1,1,0,0,0,1,0,0,0,0,0,0,12,29,1,0,"100%","0.00%","0.00%",158.3,0,0.5,1,"100%","Big Ten","P4",14,88.33,"A"
"JUSTICE HAYNES","GA TECH",22,"HB",2026,"ACC",68.9,12,22,141,6.4,2,8,1,0,5,54,2.5,87,4,0,0.364,0.23,4,0.136,"GA TECH",22,"ACC",76.3,2,17,0,2,2,26,13,1,2,0,0,0,2,0,0,23,11.5,6,0,1.53,1.5,1,1,"100%","0.00%","0.00%",158.3,0,0.118,0,"100%","ACC","P4",40,87.42,"A"
"NATE SHEPPARD","DUKE",20,"HB",2026,"ACC",76.4,12,24,155,6.5,2,7,0,0,5,60,2.5,95,4,0,0.292,0.21,5,0.125,"DUKE",20,"ACC",68.6,1,16,1,1,1,2,2,1,1,0,0,0,1,0,0,7,7,0,0,0.13,-5,0,0,"100%","0.00%","0.00%",118.8,0.063,0.063,0,"100%","ACC","P4",45,84.51,"A"
"BENJAMIN HALL","N CAROLINA",7,"HB",2026,"ACC",75.4,12,18,130,7.2,0,8,0,0,11,30,1.7,100,5.6,0,0.444,0.61,6,0.056,"N CAROLINA",7,"ACC",66.6,1,13,0,2,1,15,15,1,1,0,0,0,1,0,0,14,14,1,0,1.15,1,1,0,"100%","0.00%","0.00%",114.6,0,0.154,0,"50.00%","ACC","P4",38,82.27,"A"
"ANTWAN RAYMOND","RUTGERS",3,"HB",2026,"Big Ten",78,14,21,122,5.8,1,7,0,0,5,68,3.2,54,2.6,0,0.333,0.24,1,0.286,"RUTGERS",3,"Big Ten",65.4,4,16,2,4,3,39,13,0,2,0,0,0,3,1,0,31,10.3,12,0,2.44,7.3,2,2,"100%","0.00%","25.00%",105.2,0,0.25,0.25,"75.00%","Big Ten","P4",52,82.03,"A"
"ADAM MOHAMMED","CAL",24,"HB",2026,"ACC",78.7,7,13,91,7,2,4,0,0,7,13,1,78,6,0,0.308,0.54,2,0,"CAL",24,"ACC",87.2,2,16,0,2,2,78,39,1,2,0,0,0,2,0,0,86,43,73,0,4.88,-4,1,3,"100%","0.00%","0.00%",158.3,0.125,0.125,0,"100%","ACC","P4",31,80.86,"A"
"NATHAN MCNEIL","IOWA",5,"HB",2026,"Big Ten",82,9,12,111,9.3,2,6,0,0,3,58,4.8,53,4.4,0,0.5,0.25,5,0,"IOWA",5,"Big Ten",55.2,3,14,0,4,3,37,12.3,0,2,1,0,0,4,0,0,32,10.7,14,0,2.64,1.3,2,1,"75.00%","25.00%","0.00%",103.1,0,0.286,0,"75.00%","Big Ten","P4",27,75.65,"B"
