"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number.x","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Jersey.Number.y","Offensive.Grade","Passblock.Grade","Runblock.Grade","Conference_Level"
"SPENCER SHANNON","TEXAS",45,8.54,"F",83,"TE",2026,"SEC",49.9,2,12,0,2,1,9,9,0,0,1,0,0,2,0,0,5,5,1,0,0.75,3,0,0,0.5,0.5,"0.00%",62.5,0,0.167,0,0.5,83,56.7,71.4,61.2,"P4"
"A.J. PUGLIANO","OREGON",13,7.06,"F",87,"TE",2026,"Big Ten",57.4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,"0.00%",39.6,0,0.5,0,0,87,69.9,64.5,71.7,"P4"
"TONY LIVINGSTON","BAYLOR",28,6.94,"F",10,"TE",2026,"Big 12",35.6,3,11,0,1,1,9,9,0,0,0,1,1,1,0,0,3,3,2,0,0.82,6,0,0,1,0,"0.00%",104.2,0.091,0.091,0,1,10,27,70.7,37.2,"P4"
"CAM BALL","W VIRGINIA",14,6.61,"F",10,"TE",2026,"Big 12",56,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,"0.00%",39.6,0,0.333,1,0,10,56.2,NA,59.1,"P4"
"HOUSTON THOMAS","TEXAS A&M",43,6.05,"F",87,"TE",2026,"SEC",48.5,1,31,0,2,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0.06,2,0,0,1,0,"0.00%",56.3,0,0.065,0,0.5,87,50,61,57.2,"P4"
"WILL MONNEY","UTAH",15,5.67,"F",86,"TE",2026,"Big 12",57.2,2,6,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,-1,0,0,1,0,"0.00%",79.2,0.167,0.167,0,1,86,44.8,64.4,39.4,"P4"
"MAURICE VENEY","VANDERBILT",13,5.35,"F",19,"TE",2026,"SEC",57.4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,19,78.4,74.8,80.5,"P4"
"CHARLIE WILLIAMS","COLORADO",64,5.07,"F",87,"TE",2026,"Big 12",42.6,4,24,1,2,1,3,3,0,0,1,0,0,2,0,0,0,0,1,0,0.13,4.5,0,0,0.5,0.5,"0.00%",56.3,0,0.083,0,0.5,87,42.5,72.9,44.7,"P4"
"MICHAEL BURT","IOWA",15,5.04,"F",80,"TE",2026,"Big Ten",59.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,80,76.1,68.4,73.6,"P4"
"JOSH FORD","ALABAMA",25,4.98,"F",40,"TE",2026,"SEC",54.8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,40,75.4,NA,75.5,"P4"
"LUKE MCGARY","HOUSTON",12,4.8,"F",87,"TE",2026,"Big 12",59.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,87,74.2,68.7,75.9,"P4"
"BOBBY MEARS","PENN STATE",19,4.42,"F",86,"TE",2026,"Big Ten",56.2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,86,71.1,68.9,56.9,"P4"
"ELYISS WILLIAMS","GEORGIA",23,4.4,"F",10,"TE",2026,"SEC",51.3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,10,70.8,70.4,75.5,"P4"
"BENNETT CHRISTIAN","OHIO STATE",20,4.22,"F",85,"TE",2026,"Big Ten",53.1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"0.00%",39.6,0,0.2,0,0,85,58,67.4,61.5,"P4"
"ZACH GRACE","LSU",17,4.2,"F",44,"TE",2026,"SEC",55.9,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,"0.00%",39.6,0.25,0.25,0,0,44,54.7,NA,57.4,"P4"
"MATT LUDWIG","TEXAS TECH",18,4.07,"F",5,"TE",2026,"Big 12",55.6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,5,68.3,64.4,76.1,"P4"
"LYVIEL WATERS","CINCINNATI",26,4.03,"F",85,"TE",2026,"Big 12",51.4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,85,67.6,70.5,85.4,"P4"
"DONOVAN GREEN","OKLA STATE",13,3.97,"F",81,"TE",2026,"Big 12",59.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,81,67.7,NA,71.6,"P4"
"MATTHEW KLOPFENSTEIN","BAYLOR",37,3.86,"F",85,"TE",2026,"Big 12",53.2,1,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,"100%",39.6,0.167,0.167,0,0,85,45.9,66.8,41.9,"P4"
"HOGAN HANSEN","MICHIGAN",13,3.86,"F",80,"TE",2026,"Big Ten",56.2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,80,66.7,NA,75.2,"P4"
"ZACH ORTWERTH","IOWA",25,3.75,"F",48,"TE",2026,"Big Ten",53.3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,48,65.7,69.9,76,"P4"
"GRAYSON BROUSSEAU","UCF",16,3.54,"F",88,"TE",2026,"Big 12",60,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,"0.00%",39.6,0,1,0,0,88,53,NA,52.7,"P4"
"MASON MINI","CAL",46,3.38,"F",85,"TE",2026,"ACC",49,4,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,85,50.8,66.8,59.7,"P4"
"BROCK SCHOTT","INDIANA",24,3.32,"F",88,"TE",2026,"Big Ten",50.4,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,88,58.6,68.4,67,"P4"
"MARKUS DIXON","OREGON",11,3.27,"F",17,"TE",2026,"Big Ten",55.6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,17,62.1,NA,70.5,"P4"
"THOMAS MEYER","IOWA",21,3.12,"F",85,"TE",2026,"Big Ten",52.2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,85,60.8,71.8,62.8,"P4"
"AJ IA","ARIZONA ST",12,3.04,"F",0,"TE",2026,"Big 12",56.3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,60.1,64.4,69.6,"P4"
"MASON WILLIAMS","OHIO STATE",13,3,"F",86,"TE",2026,"Big Ten",55.8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,86,60,73.1,63.5,"P4"
"TYLER FORTENBERRY","IOWA STATE",24,2.99,"F",19,"TE",2026,"Big 12",51.6,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,19,56.2,60.9,61.8,"P4"
"ANDREW BARKER","INDIANA",26,2.73,"F",85,"TE",2026,"Big Ten",52.4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,85,57.6,68.6,63.1,"P4"
"CONNOR COX","VIRGINIA",18,2.72,"F",88,"TE",2026,"ACC",57.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,88,58,67.4,59,"P4"
"CADEN PIENING","UCF",42,2.65,"F",18,"TE",2026,"Big 12",54.9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,18,57.2,71.4,57.5,"P4"
"EMAREE WINSTON","TEXAS",48,2.63,"F",85,"TE",2026,"SEC",48.1,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,85,52.5,72.2,59.5,"P4"
"BRETT NORFLEET","MISSOURI",28,2.55,"F",87,"TE",2026,"SEC",52.9,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,87,52.7,67.7,56.7,"P4"
"JACK VAN DORSELAER","OKLAHOMA",20,2.53,"F",88,"TE",2026,"SEC",54.4,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"0.00%",39.6,0.167,0.167,0,0,88,44.1,14.9,60.3,"P4"
"JAMES GIGGEY","ARIZONA ST",39,2.5,"F",87,"TE",2026,"Big 12",53.9,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,87,55.9,59.1,66.8,"P4"
"SHANE KING","ARIZONA",17,2.49,"F",8,"TE",2026,"Big 12",51.7,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,8,52.2,28.5,70.4,"P4"
"TREVOR GIBBS","INDIANA",18,2.45,"F",39,"TE",2026,"Big Ten",52.8,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,39,52.1,NA,55.6,"P4"
"JOSH SAPP","W VIRGINIA",32,2.43,"F",0,"TE",2026,"Big 12",52.9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,54.9,NA,59.2,"P4"
"BRENNAN PARACHEK","MICH STATE",20,2.39,"F",82,"TE",2026,"Big Ten",49.2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,82,54.5,NA,67.7,"P4"
"RICHIE ANDERSON III","TEXAS A&M",20,2.37,"F",84,"TE",2026,"SEC",51.9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,84,54.7,67.5,62.4,"P4"
"NOAH BENNEE","UTAH",40,2.35,"F",89,"TE",2026,"Big 12",50.3,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,89,50.5,69.8,55.2,"P4"
"BRIAN KORTOVICH","PENN STATE",16,2.34,"F",83,"TE",2026,"Big Ten",60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,83,55,73.8,51.1,"P4"
"PIERCE WALSH","MINNESOTA",34,2.31,"F",19,"TE",2026,"Big Ten",48,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,19,53.8,69.8,61,"P4"
"ZACK MARSHALL","MICHIGAN",25,2.31,"F",83,"TE",2026,"Big Ten",49.6,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,83,50.4,68.7,56.6,"P4"
"HUNTER WELCING","OHIO STATE",11,2.3,"F",84,"TE",2026,"Big Ten",54,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,84,54.4,NA,57,"P4"
"SIONE MOTUAPUAKA","UTAH",12,2.3,"F",44,"TE",2026,"Big 12",53.3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,44,54.5,76.6,56,"P4"
"DESIRRIO RILES","FLORIDA ST",34,2.25,"F",6,"TE",2026,"ACC",51.6,1,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,6,46.5,29.7,54.4,"P4"
"OWEN RUSKAVICH","MIAMI FL",15,2.25,"F",44,"TE",2026,"ACC",59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,44,54.3,68.4,54.4,"P4"
"ERIC INGWERSON","NEBRASKA",15,2.17,"F",82,"TE",2026,"Big Ten",56,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,82,53.6,NA,55.9,"P4"
"ELIJAH LAGG","PITTSBURGH",26,2.1,"F",17,"TE",2026,"ACC",32.4,1,7,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4.5,0,0,0,1,"0.00%",39.6,0,0.286,0,0,17,41.9,18.1,62.4,"P4"
"GABE FISHER","VANDERBILT",11,2.01,"F",44,"TE",2026,"SEC",58.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,44,52.4,78.9,46.8,"P4"
"WALTER TAYLOR","VANDERBILT",13,2,"F",12,"TE",2026,"SEC",53,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,12,48.4,NA,49.6,"P4"
"HARRY LODGE","UCLA",35,1.97,"F",19,"TE",2026,"Big Ten",56.7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,19,52,70.9,51.7,"P4"
"GRANT STEC","WISCONSIN",32,1.94,"F",85,"TE",2026,"Big Ten",49.5,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,85,51.4,69.9,53,"P4"
"NOAH FOX-FLORES","UCLA",15,1.87,"F",82,"TE",2026,"Big Ten",53.5,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,82,47.3,NA,46,"P4"
"SEMI TAULANGA","UTAH",13,1.86,"F",99,"TE",2026,"Big 12",57.1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,99,51.2,68.8,50.6,"P4"
"MIKE TYLER","S CAROLINA",13,1.8,"F",5,"TE",2026,"SEC",43.9,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"0.00%",39.6,0,0.111,0,0,5,39.2,NA,43.4,"P4"
"CARTER MOSES","KANSAS",18,1.79,"F",85,"TE",2026,"Big 12",56,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,85,50.6,NA,51.4,"P4"
"SHAMAR EASTER","N CAROLINA",21,1.75,"F",84,"TE",2026,"ACC",51.1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,84,49.8,NA,54.3,"P4"
"JORDON HARRIS","MISSOURI",36,1.73,"F",86,"TE",2026,"SEC",53.2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,86,49.9,37.2,56.2,"P4"
"JALEN HOFFMAN","MICHIGAN",15,1.72,"F",42,"TE",2026,"Big Ten",57.9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,42,50.1,64.4,50.2,"P4"
"AJ SZYMANSKI","MARYLAND",14,1.67,"F",89,"TE",2026,"Big Ten",51.5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,89,49.3,NA,54.1,"P4"
"BRODY FOLEY","LOUISVILLE",27,1.6,"F",80,"TE",2026,"ACC",52.6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,80,48.9,67.9,50.5,"P4"
"TUCKER ASHCRAFT","USC",26,1.54,"F",84,"TE",2026,"Big Ten",52.1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,84,48.5,74.4,59.2,"P4"
"JACKSON BERRYMAN","PURDUE",11,1.48,"F",43,"TE",2026,"Big Ten",60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,43,48.3,68.7,46.9,"P4"
"BLAKE VAN BUREN","NWESTERN",14,1.43,"F",83,"TE",2026,"Big Ten",59.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,83,47.9,NA,49.3,"P4"
"ANTHONY MILLER","ARIZONA ST",19,1.42,"F",85,"TE",2026,"Big 12",56,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,85,47.7,54,49.3,"P4"
"CARSON SNEED","N CAROLINA",21,1.36,"F",87,"TE",2026,"ACC",53.2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,87,47.2,65.6,49.7,"P4"
"SPENCER MERMANS","GA TECH",19,1.23,"F",42,"TE",2026,"ACC",54.5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,42,46.1,18.7,54.1,"P4"
"RYAN WARD","W VIRGINIA",31,1.17,"F",84,"TE",2026,"Big 12",41.7,1,11,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,"0.00%",39.6,0.091,0.091,0,0,84,44.4,NA,59.3,"P4"
"ALEX HONIG","NWESTERN",33,1.12,"F",86,"TE",2026,"Big Ten",51.7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,86,45,NA,48.7,"P4"
"JAKE TAYLOR","DUKE",25,0.98,"F",15,"TE",2026,"ACC",40.4,1,8,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,8,0,0,0,1,"0.00%",39.6,0,0.125,0,0,15,41,64.5,55.5,"P4"
"NATE KURISKY","DUKE",36,0.95,"F",44,"TE",2026,"ACC",51,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,44,43.4,35.3,41,"P4"
"FISHER CLEMENTS","COLORADO",38,0.82,"F",89,"TE",2026,"Big 12",50.8,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,89,42.4,19.8,47.7,"P4"
"ELIJAH WASHINGTON-BAKER","SYRACUSE",24,0.27,"F",84,"TE",2026,"ACC",55.7,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,84,35.3,29.1,41.7,"P4"
"KADEN HELMS","MINNESOTA",14,0.08,"F",87,"TE",2026,"Big Ten",54.9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,87,37.2,45.4,39.5,"P4"
"DYLAN WADE","UCF",29,0,"F",0,"TE",2026,"Big 12",29.8,2,10,0,2,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,11,0,0,0,1,"50.00%",39.6,0,0.2,0,0,0,30,68.8,43.9,"P4"
