"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number.x","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Jersey.Number.y","Offensive.Grade","Passblock.Grade","Runblock.Grade","Conference_Level"
"JA'RICOUS HAIRSTON","VA TECH",18,21.27,"D",13,"TE",2026,"ACC",72.4,1,5,0,1,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0.4,8,0,0,1,0,"0.00%",118.8,0,0.2,0,1,13,75,68.4,67.3,"P4"
"MARSHALL PRITCHETT","ALABAMA",19,21.21,"D",9,"TE",2026,"SEC",68.1,2,13,0,2,2,15,7.5,0,1,0,0,0,2,1,1,2,1,1,1,1.15,6.5,0,0,1,0,"50.00%",97.9,0,0.154,0,1,9,67.1,71.2,57.3,"P4"
"OLSEN PATT-HENRY","CLEMSON",54,21.12,"D",11,"TE",2026,"ACC",57.8,3,21,1,2,2,28,14,0,1,0,0,0,2,0,0,11,5.5,4,0,1.33,8.5,1,0,1,0,"0.00%",118.8,0.048,0.095,0,1,11,63.8,60.3,70.9,"P4"
"BRAYDEN LOFTIN","UCLA",60,20.18,"D",85,"TE",2026,"Big Ten",60.2,1,18,1,2,2,27,13.5,0,1,0,0,0,2,0,0,6,3,2,0,1.5,10.5,1,0,1,0,"0.00%",118.8,0.056,0.111,0,1,85,65,63.9,66.3,"P4"
"TAIMANE PURCELL","CAL",25,19.83,"F",22,"TE",2026,"ACC",61.8,4,11,1,1,1,9,9,0,1,0,0,0,1,0,0,7,7,6,0,0.82,2,0,1,1,0,"0.00%",104.2,0.091,0.091,0,1,22,77.3,69.6,83.1,"P4"
"LANDEN THOMAS","FLORIDA ST",38,18.97,"F",18,"TE",2026,"ACC",63.1,1,13,0,1,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0.15,10,0,0,1,0,"0.00%",118.8,0,0.077,0,1,18,57.7,71.2,43.2,"P4"
"LUKE DEHNICKE","NWESTERN",49,18.96,"F",84,"TE",2026,"Big Ten",67.8,4,22,0,3,2,27,13.5,0,1,0,0,0,2,0,0,6,3,3,0,1.23,8,1,0,1,0,"0.00%",95.1,0,0.136,0,0.667,84,61.1,18.7,52.1,"P4"
"JOHN ROGERS","VIRGINIA",35,18.84,"F",89,"TE",2026,"ACC",46.2,4,24,3,3,2,9,4.5,1,2,1,1,0,3,0,0,3,1.5,-4,0,0.38,4,0,0,0.667,0.333,"0.00%",109.7,0.042,0.125,0,0.667,89,43.8,NA,48.1,"P4"
"KEAYEN NEAD","BYU",28,18.29,"F",45,"TE",2026,"Big 12",83.7,1,3,0,1,1,6,6,0,0,0,0,0,1,0,0,6,6,4,0,2,0,0,1,1,0,"0.00%",91.7,0,0.333,0,1,45,86.3,65.2,74.3,"P4"
"LOGAN BLAKE","RUTGERS",43,18.1,"F",11,"TE",2026,"Big Ten",50.9,4,18,0,4,2,17,8.5,0,0,0,0,0,3,2,0,12,6,6,0,0.94,3,0,0,0.667,0,"50.00%",61.5,0,0.222,0,0.5,11,70,69.8,81.5,"P4"
"JADEN PLATT","ARKANSAS",25,17.9,"F",83,"TE",2026,"SEC",61.6,1,19,0,4,3,23,7.7,0,0,0,0,0,3,0,0,8,2.7,4,0,1.21,4,0,0,1,0,"0.00%",88.5,0.105,0.211,0,0.75,83,61.4,69.5,56.2,"P4"
"DAVID CLEMENT","SYRACUSE",58,17.5,"F",0,"TE",2026,"ACC",61,2,15,0,2,1,12,12,0,1,0,0,0,1,1,0,14,14,7,0,0.8,0.5,0,1,1,0,"50.00%",68.8,0,0.133,0,0.5,0,51.8,55,46.5,"P4"
"LUKE HARPRING","FLORIDA",24,17.5,"F",15,"TE",2026,"SEC",66.2,1,9,1,2,1,11,11,0,1,0,0,0,2,0,0,4,4,4,0,1.22,15.5,0,1,0.5,0,"0.00%",66.7,0,0.222,0.5,0.5,15,59.4,70.5,43.8,"P4"
