"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade"
"LUKE REYNOLDS","VA TECH",60,100,"A"
"DORIAN FLEMING","MARYLAND",62,67.85,"B"
"PATRICK OVERMYER","HOUSTON",78,65.55,"B"
"JEREMIAH HASLEY","DUKE",59,65.2,"B"
"KARI ASHLEY","TCU",33,60.6,"B"
"JACOB HARRIS","WISCONSIN",31,60.58,"B"
"CARSON KENT","PITTSBURGH",54,58.42,"C"
"LAWSON LUCKIE","GEORGIA",28,55.6,"C"
"HAYDEN HANSEN","OKLAHOMA",39,54.7,"C"
"CALEB ODOM","OLE MISS",52,53.91,"C"
"WILL ANCIAUX","KANSAS ST",22,49.96,"C"
"KENDRE HARRISON","OREGON",39,47.92,"C"
"TREY'DEZ GREEN","LSU",52,46.54,"C"
"BARON NAONE","WASHINGTON",35,45.02,"C"
"HENRY BOYER","KENTUCKY",35,43.08,"C"
"ELIJA LOFTON","MIAMI FL",61,41.38,"C"
"WALKER LYONS","BYU",42,40.09,"C"
"KALEB EDWARDS","ALABAMA",36,39.55,"D"
"ANDREW RAPPLEYEA","PENN STATE",16,37.71,"D"
"CHRISTIAN BENTANCUR","CLEMSON",34,36.73,"D"
"PRESTON DOUGLAS","NC STATE",64,34.97,"D"
"GAVIN GROVER","CINCINNATI",61,34.85,"D"
"TY LOCKWOOD","ARKANSAS",39,34.28,"D"
"JALEEL SKINNER","LOUISVILLE",44,33.35,"D"
"MARK BOWMAN","USC",60,33.18,"D"
"LUKE LINDENMEYER","NEBRASKA",47,32.98,"D"
"KAMREAN JOHNSON","WAKE",15,32.85,"D"
"GEORGE BURHENN","PURDUE",31,32.09,"D"
"ANDREW OLESH","OREGON",48,29.87,"D"
"BENJI BLACKBURN","STANFORD",50,29.62,"D"
"DAKOTA TWITTY","VIRGINIA",44,29.58,"D"
"ZEKE MOORE","BOSTON COL",49,29.32,"D"
"CARSON KOLB","OKLA STATE",39,28.89,"D"
"MAURICE BROWN II","S CAROLINA",27,28.83,"D"
"GARRETT OAKLEY","KANSAS ST",53,28.82,"D"
"SAM WEST","MISS STATE",52,28.6,"D"
"THEO MELIN OHRSTROM","SMU",56,28.31,"D"
"AMIR JACKSON","FLORIDA",45,28.29,"D"
"ROCKY BEERS","OKLAHOMA",44,28.19,"D"
"RANDY PITTMAN JR.","SMU",63,28.11,"D"
"JAYDEN SAVOURY","MICH STATE",31,27.67,"D"
"ROMAN VOSS","MINNESOTA",11,27.24,"D"
"KA'MORREUN PIMPTON","TCU",51,26.72,"D"
"ADDISON OSTRENGA","IOWA",17,26.08,"D"
"FINN FURMANEK","PENN STATE",17,25.71,"D"
