"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade"
"JUSTIN BOWICK","OKLA STATE",41,100,"A"
"XAVIER TOWNSEND","PURDUE",38,92.43,"A"
"ED SMALL","TCU",62,83.59,"A"
"KOBY HOWARD","PENN STATE",24,82.38,"A"
"DUCE ROBINSON","FLORIDA ST",66,82.18,"A"
"COLLIN DIXON","ILLINOIS",49,80.68,"A"
"CHRIS DURR JR.","MARYLAND",54,78.53,"B"
"KEENAN JACKSON","NC STATE",54,77.41,"B"
"CHARLIE BECKER","INDIANA",44,74.53,"B"
"MESSIAH HAMPTON","OREGON",49,74.3,"B"
"JAYDEN MCGOWAN","BAYLOR",32,74.08,"B"
"TYRELL HENRY","WISCONSIN",37,73.83,"B"
"JUNIOR SHERRILL","VANDERBILT",53,73.13,"B"
"DJ EPPS","W VIRGINIA",52,73.01,"B"
"BRADEN PEGAN","UTAH",55,72.85,"B"
"LEGEND GLASKER","BYU",27,72.7,"B"
"JACK FOLEY","WAKE",42,72.19,"B"
"CHRIS HENRY JR.","OHIO STATE",29,71.58,"B"
"KENNY JOHNSON","TEXAS TECH",49,71.48,"B"
"RASHID WILLIAMS","WASHINGTON",35,71.04,"B"
"ANDREW MARSH","MICHIGAN",50,70.32,"B"
"TRAYLON RAY","OLE MISS",33,69.44,"B"
"MALACHI TONEY","MIAMI FL",47,66.46,"B"
"KJ DUFF","RUTGERS",70,66.14,"B"
"KYION GRAYES","CAL",22,66.06,"B"
"MARIO CRAVER","TEXAS A&M",64,66.02,"B"
"CHRIS BROOKS JR.","WISCONSIN",54,65.27,"B"
"TRE SPIVEY","ARIZONA",44,64.64,"B"
"KESHAUN SINGLETON","AUBURN",69,63.57,"B"
"JJ BUCHANAN","MICHIGAN",60,63.11,"B"
"CAM COLEMAN","TEXAS",63,62.77,"B"
"LOUIS BROWN IV","BAYLOR",50,61.41,"B"
"CARLOS HERNANDEZ","WAKE",61,61.08,"B"
"REED HARRIS","ARIZONA ST",67,61.04,"B"
"KAYDEN DIXON-WYATT","USC",64,60.88,"B"
"JARON TIBBS","KANSAS ST",62,60.81,"B"
"CHRIS MARSHALL","ARKANSAS",61,60.64,"B"
"COREY SIMMS","USC",20,60.01,"B"
"JOHNATHAN MONTAGUE JR.","BOSTON COL",54,59.87,"C"
"SEMAJ MORGAN","UCLA",52,59.39,"C"
"DALLAS WILSON","FLORIDA",63,59.23,"C"
"CHASE HENDRICKS","CAL",51,59.1,"C"
"BRANDON INNISS","OHIO STATE",18,58.42,"C"
"ISAIAH SATEGNA III","OKLAHOMA",54,58.41,"C"
"ASAAD WASEEM","PURDUE",34,58.09,"C"
"KENNY DARBY","KENTUCKY",27,57.74,"C"
"DEZMEN ROEBUCK","WASHINGTON",33,57.3,"C"
"EVAN STEWART","OREGON",37,56.58,"C"
"RYAN COLEMAN-WILLIAMS","ALABAMA",64,56.57,"C"
"NICK MARSH","INDIANA",45,56.46,"C"
"CHAS NIMROD","AUBURN",69,56.45,"C"
"VERNELL BROWN III","FLORIDA",63,55.69,"C"
"JORDAN SHIPP","N CAROLINA",62,55.46,"C"
"JEREMIAH SMITH","OHIO STATE",31,55.19,"C"
"JADEN BRAY","W VIRGINIA",54,55.18,"C"
"LOTZEIR BROOKS","ALABAMA",39,55.14,"C"
"LAWAYNE MCCOY","LOUISVILLE",65,54.61,"C"
"NAHZAE COX","KANSAS",40,54.61,"C"
"ZION RAGINS","MISS STATE",59,53.69,"C"
"JV GIBSON","CINCINNATI",59,53.53,"C"
"KALEB WEBB","MARYLAND",58,53.46,"C"
"ANTHONY EVANS III","MISS STATE",65,53.45,"C"
"DAKORIEN MOORE","OREGON",32,53.23,"C"
"DJ MILLER","KENTUCKY",54,52.76,"C"
"CHRIS HUNTER III","ARIZONA",45,52.75,"C"
"JAIVON SOLOMON","DUKE",26,52,"C"
"WINSTON WATKINS JR.","LSU",46,51.98,"C"
"SANFRISCO MAGEE","MISS STATE",42,51.75,"C"
"AMARE THOMAS","HOUSTON",71,51.71,"C"
"JOSEPH WILLIAMS","COLORADO",62,51.54,"C"
"UMARI HATCHER","SYRACUSE",71,51.26,"C"
"TERRENCE LEWIS","OKLA STATE",43,51.25,"C"
"MICAHI DANZY","FLORIDA ST",66,51.23,"C"
"HUDSON CLEMENT","ILLINOIS",47,51.14,"C"
"MILES COLEMAN","OKLA STATE",23,51.09,"C"
"JAVON TRACY","MINNESOTA",40,50.65,"C"
"NIK MCMILLAN","KANSAS",55,50.29,"C"
"DALEN PENSON","GA TECH",26,50.24,"C"
"GRIFFIN WILDE","NWESTERN",57,49.52,"C"
"NOAH JENNINGS","MINNESOTA",54,48.9,"C"
"DEUCE ALEXANDER","OLE MISS",70,48.32,"C"
"BRAYLON STALEY","TENNESSEE",59,48.02,"C"
"TATE NAGY","KANSAS",34,47.93,"C"
"IAN STRONG","CAL",54,47.61,"C"
"COOPER PERRY","CAL",24,46.87,"C"
"ISAIAH MIZELL","ARIZONA",14,46.74,"C"
"TRISTEN BROWN","VANDERBILT",52,46.42,"C"
"KOBY YOUNG","HOUSTON",64,46.04,"C"
"YAMIR KNIGHT","SMU",53,45.57,"C"
"WADEN CHARLES","UCF",50,44.71,"C"
"RODNEY BULLARD JR.","MICH STATE",35,43.88,"C"
"BRYANT WESCO JR.","CLEMSON",63,43.86,"C"
"VERNON ALLEN III","RUTGERS",32,43.57,"C"
"JAYVAN BOGGS","FLORIDA ST",48,43.24,"C"
"ISAIAH HORTON","TEXAS A&M",58,43.02,"C"
"JARED RICHARDSON","DUKE",42,42.86,"C"
"TRE RICHARDSON","LOUISVILLE",36,42.09,"C"
"JACORY BARNEY JR.","NEBRASKA",49,41.2,"C"
"REECE VANDER ZEE","IOWA",28,41.15,"C"
"HORATIO FIELDS","OLE MISS",56,41.11,"C"
"DESHAWN SPENCER","AUBURN",38,41.11,"C"
