"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level"
"Noah West-Baranco","IDAHO",60,100,"A",81,"TE",2026,"Big Sky",72.3,8,38,1,8,7,62,8.9,0,4,0,0,0,7,1,1,27,3.9,12,"100%",1.63,4.9,1,0,"100%","0.00%","12.50%",99,"7.90%","21.10%","0.00%","87.50%","FCS"
"Ryder Kurtz","CORNELL",49,92.74,"A",86,"TE",2026,"Ivy",66.7,5,31,0,9,6,52,8.7,0,1,0,0,0,6,2,0,16,2.7,14,"0.00%",1.68,6.6,1,1,"100%","0.00%","22.20%",81.7,"19.40%","29.00%","0.00%","66.70%","FCS"
"Anthony Benzija","STETSON",57,89.46,"A",10,"TE",2026,"Pioneer",72.2,3,28,4,8,6,70,11.7,1,2,0,0,0,6,1,0,43,7.2,14,"0.00%",2.5,6.6,1,0,"100%","0.00%","12.50%",140.6,"10.70%","28.60%","0.00%","75.00%","FCS"
"Sean Clarke","RICHMOND",43,58.55,"C",87,"TE",2026,"Patriot",72,5,23,0,5,4,37,9.3,0,1,0,0,0,4,0,0,20,5,9,"0.00%",1.61,3.6,1,0,"100%","0.00%","0.00%",97.5,"4.30%","21.70%","0.00%","80.00%","FCS"
"Jeter Purdy","N ARIZONA",51,58.55,"C",89,"TE",2026,"Big Sky",61.4,4,28,4,5,4,55,13.8,1,3,0,0,0,4,0,0,7,1.8,1,"0.00%",1.96,13,2,0,"100%","0.00%","0.00%",152.1,"7.10%","17.90%","20.00%","80.00%","FCS"
"Danny Joiner","TARLETON",50,55.27,"C",44,"TE",2026,"United Athletic",81.3,5,23,3,4,4,65,16.3,1,4,0,0,0,4,1,1,16,4,8,"100%",2.83,12.3,2,0,"100%","0.00%","25.00%",158.3,"4.30%","17.40%","0.00%","100%","FCS"
"Lonnie Shinn","SE LA",44,55.27,"C",88,"TE",2026,"Southland",66.5,2,21,1,4,4,49,12.3,1,2,0,0,0,4,1,1,2,0.5,1,"100%",2.33,12.5,1,0,"100%","0.00%","25.00%",157.3,"4.80%","19.10%","25.00%","100%","FCS"
"Noah Canty","DUQUESNE",46,51.29,"C",8,"TE",2026,"Northeast",65.6,2,20,0,6,3,6,2,0,0,0,0,0,3,0,0,12,4,9,"0.00%",0.3,-2.2,0,1,"100%","0.00%","0.00%",56.3,"0.00%","30.00%","0.00%","50.00%","FCS"
"Miles Marshall","S ILLINOIS",51,48.01,"C",47,"TE",2026,"Missouri Valley",58.4,4,26,1,5,3,19,6.3,0,1,0,0,0,3,1,0,16,5.3,8,"0.00%",0.73,4.4,0,0,"100%","0.00%","20.00%",67.9,"3.90%","19.20%","0.00%","60.00%","FCS"
"Ethan Medley","PRESBYTERN",22,48.01,"C",86,"TE",2026,"Pioneer",88.9,3,7,0,5,3,29,9.7,0,2,0,0,0,3,0,0,5,1.7,2,"0.00%",4.14,12.4,0,0,"100%","0.00%","0.00%",36.7,"0.00%","71.40%","20.00%","60.00%","FCS"
