"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"Dante Reno","YALE",73,100,"A"
"Kaden Anderson","TARLETON",58,79.09,"B"
"Destin Wade","N ALABAMA",69,72.79,"B"
"Kamden Sixkiller","CAMPBELL",64,68.4,"B"
"Joshua Wood","IDAHO",68,63.16,"B"
"Brett Griffis","CENT CT ST",67,61.28,"B"
"Cole Pennington","GARD-WEBB",79,59.93,"C"
"Poochie Snyder","SACR HEART",64,59.63,"C"
"Gage Roy","ILL STATE",43,58.88,"C"
"Andrew Indorf","TOWSON",81,58.78,"C"
"Ui Ale","DELWARE ST",40,54.34,"C"
"Dom Nankil","SAN DIEGO",78,54.1,"C"
"Justin Lamson","MONTANA ST",61,53.98,"C"
"Treynor Cleeland","UC DAVIS",61,53.28,"C"
"Anthony Grigsby Jr.","CAL POLY",52,52.54,"C"
"Ty Pennington","N ARIZONA",64,51.58,"C"
"Tucker Parks","ABILENE CH",65,50.91,"C"
"Austyn Modrzewski","S DAKOTA",51,50.72,"C"
"Miles Teodecki","PENN",81,50,"C"
"Winston Watkins","WM & MARY",66,49.96,"C"
"Lex Thomas","W CAROLINA",75,49.72,"C"
"AJ Hairston Jr.","MERRIMACK",66,49.41,"C"
"Beau Brungard","YNGTOWN ST",62,49.21,"C"
"Chris Parson","AUSTINPEAY",65,49.13,"C"
"Jack Johnson","GEORGETOWN",56,48.43,"C"
"Gunnar Smith","FORDHAM",69,48.06,"C"
"Keali'i Ah Yat","MONTANA",67,47.81,"C"
"Frankie Weaver","MONMOUTH",53,47.39,"C"
"Cameron Edge","MORGAN ST",55,47,"C"
"Jaylon Tolbert","ALCORN ST",85,45.42,"C"
"Quinn Boyd","STNY BROOK",80,45.34,"C"
"Ashton Pannell","CHISTA",60,44.57,"C"
"Gabe Passini","BUTLER",60,44.34,"C"
"Gavin Rutherford","STF AUSTIN",52,43.37,"C"
"Jake Stearney","COLGATE",54,42.45,"C"
"Kai Colon","ALBANY",51,41.84,"C"
"Cornelious Brown IV","ALAB A&M",NA,41.58,"C"
"Zach Wilcke","NWSTATE",NA,40.93,"C"
"Wyatt Becker","PRINCETON",64,40.91,"C"
"Colton Fitzgerald","W GEORGIA",NA,40.82,"C"
"Brady Allen","INDIANA ST",32,40.16,"C"
"Maddox Kopp","HOUCHR",23,39.62,"D"
"Grayson Saunier","DARTMOUTH",64,39.14,"D"
"Elijah Owens","INDIANA ST",31,39.03,"D"
"Chase Goodwin","COLUMBIA",NA,38.55,"D"
"Casey Bullock","DAVIDSON",NA,38.41,"D"
"Ashten Snelsire","RICHMOND",80,38.07,"D"
"Beckham Pellant","ILL STATE",29,37.78,"D"
