"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"Josiah Johnson","S DAK ST",48,100,"A"
"Yohan-Li Louis","FORDHAM",36,94.65,"A"
"Aaron Ball","INDIANA ST",45,87.12,"A"
"Jamell James","FORDHAM",29,86.45,"A"
"Luke Yoder","LEHIGH",47,79.52,"B"
"Josh Perry","W CAROLINA",39,76.43,"B"
"Ja'briel Mace","VILLANOVA",34,73.66,"B"
"Desmin Jackson","BUTLER",31,72.23,"B"
"JJ Cowan","CAMPBELL",26,70.65,"B"
"Kenveon Stone","N ARIZONA",30,70.59,"B"
"Adam Jones","MONTANA ST",45,69.84,"B"
"Payton Brown","SE MO ST",38,68.15,"B"
"Danny Shaban","COLGATE",55,67.33,"B"
"Adam Criter","SAN DIEGO",62,66.8,"B"
"Andrew King","WM & MARY",42,63.62,"B"
"Chris Edmonds","CHISTA",40,62.93,"B"
"Aziz Foster-Powell","RICHMOND",63,61.88,"B"
"Joseph Williams","HOLY CROSS",50,61.05,"B"
"Jaden Green","CAL POLY",38,61.04,"B"
"CJ Hester","STNY BROOK",38,59.97,"C"
"Markel Townsend","Argonauts",33,58.35,"C"
"Jayden Sumpter","GEORGETOWN",24,58,"C"
"Jayden Hibbler","INCAR WORD",42,57.03,"C"
"Ace Chatman","UTAHTC",49,56.19,"C"
"Journey Wyche","CHATTNOOGA",21,55.22,"C"
"Lontrell Turner","INCAR WORD",33,54.87,"C"
"Quran Gossett","N ARIZONA",34,54.59,"C"
"Rahshan La Mons","ALBANY",38,54.13,"C"
"Manny Ellis","INDIANA ST",13,53.42,"C"
"Jeremiah Coney","STNY BROOK",39,53.37,"C"
"Tyler Lofton","ILL STATE",43,53.28,"C"
"Kevin Lalin","CHATTNOOGA",26,53.11,"C"
"Rashon Brown","BETH COOK",3,52.39,"C"
"Eli Gillman","MONTANA",49,51.54,"C"
"Rovaughn Banks Jr.","ABILENE CH",45,50.61,"C"
"Champ Dozier","HOUCHR",59,50.41,"C"
"Gerian Traynor","BETH COOK",NA,50.23,"C"
"Jordan Fisher","UC DAVIS",45,49.99,"C"
"OJ Ross","BRYANT",23,49.96,"C"
"Isaiah Daniel","BETH COOK",2,48.95,"C"
"Jameir Gamble","MERCYHURST",34,48.85,"C"
"Matt Childs","BROWN",38,48.46,"C"
"Kemarrion Battles","TOWSON",30,48.26,"C"
"Hakeem Watters","CHARLES SO",NA,47.74,"C"
"Nick Laughlin","MAINE",34,47.51,"C"
"Jon Gullette","CAMPBELL",39,47.09,"C"
"Speedy Jones","STF AUSTIN",15,46.91,"C"
"Cole Allen","HARVARD",19,46.73,"C"
"Deonte Dean","ABILENE CH",20,46.28,"C"
"Bryce Green","TARLETON",30,46.27,"C"
"Fredrick Robertson","ALCORN ST",58,46.11,"C"
"Christian Vann","GARD-WEBB",39,46,"C"
"Kamerin McDowell-Moore","ELON",43,45.59,"C"
"Damion Moate","PRESBYTERN",36,45.19,"C"
