"Name","Team","SNAPS","Composite_Score","Player_Grade"
"Brennan Kurtz","BRYANT",63,100,"A"
"Phil Eichelzer","PRINCETON",45,90.83,"A"
"Colby Reph","LEHIGH",62,84.8,"A"
"Lucas Feldkamp","S DAKOTA",53,81.76,"A"
"Devin Lively","CHATTNOOGA",58,81.53,"A"
"Jack Boutaugh","MAINE",69,81.25,"A"
"Tyler Murray","MERCER",64,72.78,"B"
"Easton Fulton","INCAR WORD",97,71.95,"B"
"Travis Gutierrez","N ARIZONA",64,71.87,"B"
"Maicah Talavou","SAN DIEGO",78,70.85,"B"
"Matthew Perdue","COLGATE",78,70.65,"B"
"Nik Belski","BUTLER",61,70,"B"
"Colter Lynch","ABILENE CH",65,68.46,"B"
"Briley Brown","HOUCHR",53,67.17,"B"
"Gabe Navarro","ELON",68,66.71,"B"
"Shane Willenbring","S DAK ST",69,65.57,"B"
"Zach Watson","W CAROLINA",75,65.43,"B"
"Senon Chapple","CENT ARK",66,65.16,"B"
"Brayden Jellison","ILL STATE",53,65.03,"B"
"Eugene Avei","MERCYHURST",55,64.43,"B"
"David Williams","PRVIEW A&M",48,64.36,"B"
"Jack D'Ambra","MONTANA",68,64.2,"B"
"Aiden Kaplan","MONTANA ST",62,63.55,"B"
"Christian Blackwell","SACR HEART",64,61.95,"B"
"Anthony Massa","NEWHVN",77,61.49,"B"
"Ian Markham-Miller","TOWSON",82,61.35,"B"
"Erik Gray","STF AUSTIN",52,61.05,"B"
"Mike Brennan","PRESBYTERN",60,60.33,"B"
"Hayden Jones","CAL POLY",52,59.76,"C"
"Holly Saint-Melus","NC CENT",47,59.67,"C"
"Clayton Hixon","WOFFORD",56,59.57,"C"
"Cade Draper","UTAHTC",65,58.16,"C"
"Riley Whitten","SE LA",54,57.75,"C"
"Matt Pante","CORNELL",56,57.63,"C"
"Nick Perry","Argonauts",65,57.22,"C"
"Parker Thomas","N IOWA",61,57.08,"C"
"Sam Brackney","BROWN",33,56.21,"C"
"Matt Brooks","DUQUESNE",48,55.16,"C"
"Zaire Collier","UC DAVIS",61,54.68,"C"
"Dylan Haines","FORDHAM",69,54.63,"C"
"Andrew Dorsey","NC A&T",64,54.52,"C"
"Ryan Mitchell","PENN",81,54.27,"C"
"Trevor Winters","WAGNER",46,54,"C"
"Layton Vining","IDAHO",71,53.56,"C"
"Jason Smith","RICHMOND",80,53.19,"C"
"Jonah Bossette","CHISTA",60,53.05,"C"
"Braxton Goff","TARLETON",59,52.95,"C"
"Ethan Goodin","S ILLINOIS",62,52.75,"C"
"Cam Nolan","HOLY CROSS",72,52.61,"C"
"Scotty Parker","HOUCHR",77,52.41,"C"
"Kunian Kuany","INCAR WORD",41,51.81,"C"
"Ben Buxa","N DAKOTA",52,51.54,"C"
"Tyler Barrett","GEORGETOWN",56,51.21,"C"
"Tre Alexander","RHODE ISLD",58,51.01,"C"
"Semisi Latu","PORTLAND",39,50.7,"C"
"Jackson Nixon","ALBANY",69,50.1,"C"
"Ryan Bernard","NICHOLLS",47,50.08,"C"
"Seyi Akinbola","CORNELL",50,50.04,"C"
"Maddox Radcliffe","E TENN ST",35,49.7,"C"
"Matthew Keeley","YNGTOWN ST",62,48.72,"C"
"Drew Page","INDIANA ST",63,48.62,"C"
"Will French III","N ALABAMA",69,47.99,"C"
"Sam Reynolds","SE MO ST",66,47.87,"C"
"Thades Crump","CENT CT ST",67,47.71,"C"
"Jayden Colvin","CAMPBELL",64,46.85,"C"
"Mark Banbury","BROWN",57,46.61,"C"
"Jabari Edwards","GARD-WEBB",79,45.84,"C"
"Kevin Shriner","MONMOUTH",53,45.14,"C"
"Charles Stewart","WM & MARY",66,44.45,"C"
"Rahfeeq Katumbusi","E ILLINOIS",55,43.91,"C"
"Pedro Chagas da Silva","PRVIEW A&M",43,43.5,"C"
"Jake Kiernan","BUCKNELL",52,41.49,"C"
"Hudson Brewer","SE MO ST",66,40.25,"C"
"Luke Swaine","NEW HAMP",77,40.14,"C"
"Daniel Casillas Jr.","MORGAN ST",41,39.57,"D"
"Ben Reagan","DARTMOUTH",64,39.57,"D"
"Quin Whalen","VILLANOVA",60,39.07,"D"
"Garrett Smith","TENN MARTN",41,38.43,"D"
"Logan Wylie","MERRIMACK",70,37.64,"D"
"Oscar Solis","GEORGETOWN",56,36.39,"D"
"Joshua Troiano","STHLSK",47,35.65,"D"
"Blake Rhodes-Brown","DELWARE ST",49,34.71,"D"
"Logan Demchyk","HARVARD",57,32.71,"D"
"Miada Jones","DELWARE ST",49,30.72,"D"
"Cooper Bothwell","VALPO",64,29.33,"D"
"Jackson Pickett","ALCORN ST",85,23.23,"D"
"John Golden","STNY BROOK",80,22.01,"D"
"Brian Hardy","NC CENT",47,21.61,"D"
"Benjamin Hicks","AUSTINPEAY",64,21.45,"D"
"Trent Savage","TXAMEA",59,17.5,"F"
"Jorge Rodriguez","LIUSHAR",69,0,"F"
