"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number.x","Position","Season","Conference.x","Rush.Grade","Key.Plays.x","Attempts","Rush.Yards","Yards.per.Attempt","Rush.Touchdowns","First.Down.Runs","Fumbles.x","Fumbles.Lost.x","Missed.Tackles.on.Runs","Yards.before.Contact","Yards.before.Contact.per.Attempt","Yards.after.Contact","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Team.Name","Jersey.Number.y","Conference.y","Receiving.Grade","Key.Plays.y","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles.y","Fumbles.Lost.y","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference","Conference_Level"
"Josiah Johnson","S DAK ST",48,100,"A",22,"HB",2026,"Missouri Valley",76.4,19,30,238,7.9,2,13,0,0,10,78,2.6,160,5.3,0,0.433,0.33,7,0,"S DAK ST",22,"Missouri Valley",55,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Missouri Valley","FCS"
"Yohan-Li Louis","FORDHAM",36,94.65,"A",13,"HB",2026,"Patriot",89.3,11,16,215,13.4,1,7,0,0,8,37,2.3,178,11.1,0,0.438,0.5,6,0,"FORDHAM",13,"Patriot",57.6,0,15,0,1,1,8,8,0,1,0,0,0,1,0,0,5,5,2,0,0.53,3,0,0,"100%","0.00%","0.00%",100,0,0.067,0,"100%","Patriot","FCS"
"Aaron Ball","INDIANA ST",45,87.12,"A",25,"HB",2026,"Missouri Valley",94.6,7,11,182,16.6,2,5,0,0,5,1,0.1,181,16.4,0,0.455,0.45,5,0.091,"INDIANA ST",25,"Missouri Valley",56.6,0,14,1,3,2,8,4,0,0,0,0,0,2,0,0,17,8.5,5,0,0.57,-3,0,0,"100%","0.00%","0.00%",70.1,0,0.214,0,"66.70%","Missouri Valley","FCS"
"Jamell James","FORDHAM",29,86.45,"A",25,"HB",2026,"Patriot",82.8,12,17,163,9.6,3,9,0,0,8,40,2.4,123,7.2,0,0.529,0.47,8,0,"FORDHAM",25,"Patriot",56,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Patriot","FCS"
"Luke Yoder","LEHIGH",47,79.52,"B",6,"HB",2026,"Patriot",86.8,20,28,150,5.4,2,9,0,0,6,49,1.8,101,3.6,0,0.321,0.21,3,0.071,"LEHIGH",6,"Patriot",69,2,12,0,2,2,15,7.5,0,1,0,0,0,2,0,0,19,9.5,10,0,1.25,-2,0,1,"100%","0.00%","0.00%",97.9,0,0.167,0,"100%","Patriot","FCS"
"Josh Perry","W CAROLINA",39,76.43,"B",3,"HB",2026,"Southern",73.5,9,16,142,8.9,3,5,0,0,4,99,6.2,43,2.7,0,0.313,0.25,3,0.125,"W CAROLINA",3,"Southern",71.2,1,20,0,3,3,20,6.7,0,1,0,0,0,3,0,0,15,5,1,0,1,1.7,0,0,"100%","0.00%","0.00%",94.4,0.05,0.15,0,"100%","Southern","FCS"
"Ja'briel Mace","VILLANOVA",34,73.66,"B",4,"HB",2026,"Patriot",76.6,10,15,97,6.5,1,6,0,0,7,38,2.5,59,3.9,0,0.4,0.47,4,0.067,"VILLANOVA",4,"Patriot",81.7,3,17,0,4,3,35,11.7,1,3,0,0,0,3,0,0,25,8.3,4,0,2.06,3.8,0,1,"100%","0.00%","0.00%",140.6,0,0.235,0,"75.00%","Patriot","FCS"
"Desmin Jackson","BUTLER",31,72.23,"B",25,"HB",2026,"Pioneer",78.7,9,15,164,10.9,1,4,0,0,7,55,3.7,109,7.3,0,0.267,0.47,3,0.067,"BUTLER",25,"Pioneer",55.4,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%","0.00%","0.00%",0,0,0,0,"0.00%","Pioneer","FCS"
"JJ Cowan","CAMPBELL",26,70.65,"B",5,"HB",2026,"CAA",70.3,6,11,138,12.6,2,4,0,0,0,117,10.6,21,1.9,0,0.364,0,2,0,"CAMPBELL",5,"CAA",84.6,2,15,0,2,2,51,25.5,1,2,0,0,0,2,0,0,53,26.5,40,0,3.4,-1,2,3,"100%","0.00%","0.00%",158.3,0,0.133,0,"100%","CAA","FCS"
"Kenveon Stone","N ARIZONA",30,70.59,"B",7,"HB",2026,"Big Sky",84.8,10,11,90,8.2,2,6,0,0,7,26,2.4,64,5.8,0,0.545,0.64,3,0,"N ARIZONA",7,"Big Sky",69.8,1,8,0,1,1,9,9,0,0,0,0,0,1,0,0,6,6,2,0,1.13,3,0,0,"100%","0.00%","0.00%",104.2,0,0.125,0,"100%","Big Sky","FCS"
