"Name","Team","SNAPS","Composite_Score","Player_Grade","Runblock.Grade","Percentage.of.Positive.Grade","Passblock.Grade","Defeated.Runblock.Percentage","Knockdown.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"Brennan Kurtz","BRYANT",63,100,"A",79.9,0.159,80.5,0.132,0,0,0,0,0,0,0
"Phil Eichelzer","PRINCETON",45,90.83,"A",72.6,0.133,81.7,0.136,0,0,0,0,0,0,0
"Colby Reph","LEHIGH",62,84.8,"A",68.8,0.113,79.1,0.152,0,0,0,0,0,0,0
"Lucas Feldkamp","S DAKOTA",53,81.76,"A",72,0.113,79.9,0.15,0.03,0,0.03,0,0,1,0
"Devin Lively","CHATTNOOGA",58,81.53,"A",68.6,0.121,80,0.07,0,0,0,0,0,0,0
"Jack Boutaugh","MAINE",69,81.25,"A",68.9,0.072,84.9,0.167,0,0,0,0,0,0,0
"Tyler Murray","MERCER",64,72.78,"B",71.7,0.109,61.1,0.087,0,0,0,0,1,0,0
"Easton Fulton","INCAR WORD",97,71.95,"B",75.6,0.083,64.3,0.071,0,0,0,0,1,0,0
"Travis Gutierrez","N ARIZONA",64,71.87,"B",73.7,0.094,71.2,0.121,0,0,0.032,1,0,0,0
"Maicah Talavou","SAN DIEGO",78,70.85,"B",72.1,0.103,71,0.093,0,0,0.029,1,0,0,0
"Matthew Perdue","COLGATE",78,70.65,"B",65.4,0.064,82.7,0.063,0,0,0,0,0,0,0
"Nik Belski","BUTLER",61,70,"B",60.8,0.066,76.9,0.143,0,0,0,0,0,0,0
"Colter Lynch","ABILENE CH",65,68.46,"B",60.7,0.031,82,0.184,0,0,0,0,0,0,0
"Briley Brown","HOUCHR",53,67.17,"B",54.5,0.038,84,0.217,0,0,0,0,0,0,0
"Gabe Navarro","ELON",68,66.71,"B",59.2,0.059,84,0.086,0,0,0,0,0,0,0
"Shane Willenbring","S DAK ST",69,65.57,"B",64,0.043,82.9,0.049,0,0,0,0,0,0,0
"Zach Watson","W CAROLINA",75,65.43,"B",75.1,0.093,79.3,0.081,0,0,0.053,2,0,0,0
"Senon Chapple","CENT ARK",66,65.16,"B",63.1,0.03,82.7,0.091,0,0,0,0,0,0,0
"Brayden Jellison","ILL STATE",53,65.03,"B",64.1,0.057,77.5,0.208,0,0,0.035,1,0,0,0
"Eugene Avei","MERCYHURST",55,64.43,"B",64,0.036,82.7,0.039,0.035,0,0.035,0,0,0,1
"David Williams","PRVIEW A&M",48,64.36,"B",59.8,0.021,80.5,0.16,0,0,0,0,0,0,0
"Jack D'Ambra","MONTANA",68,64.2,"B",63.3,0.044,74.5,0.154,0,0,0,0,1,0,0
"Aiden Kaplan","MONTANA ST",62,63.55,"B",63.7,0.081,79.3,0.1,0,0,0.031,1,0,0,0
"Christian Blackwell","SACR HEART",64,61.95,"B",62.2,0.016,83.6,0.08,0,0,0,0,0,0,0
"Anthony Massa","NEWHVN",77,61.49,"B",53.5,0,82.4,0.318,0,0,0,0,1,0,0
"Ian Markham-Miller","TOWSON",82,61.35,"B",54.9,0.012,80.6,0.348,0,0,0,0,2,0,0
"Erik Gray","STF AUSTIN",52,61.05,"B",57.6,0.039,56.9,0.217,0,0,0,0,0,0,0
"Mike Brennan","PRESBYTERN",60,60.33,"B",63.1,0.017,83.1,0.039,0,0,0,0,0,0,0
"Hayden Jones","CAL POLY",52,59.76,"C",62.8,0.058,68.7,0.192,0,0,0.039,1,0,0,0
"Holly Saint-Melus","NC CENT",47,59.67,"C",57.5,0.021,83,0.095,0,0,0,0,0,0,0
"Clayton Hixon","WOFFORD",56,59.57,"C",63.7,0.054,78.3,0.115,0,0,0.033,1,0,0,0
"Cade Draper","UTAHTC",65,58.16,"C",64.3,0.031,67.4,0.035,0,0,0,0,0,0,0
"Riley Whitten","SE LA",54,57.75,"C",60.3,0.018,66.8,0.103,0.04,0,0.04,0,0,0,1
"Matt Pante","CORNELL",56,57.63,"C",67.4,0.036,75,0,0,0,0,0,1,0,0
"Nick Perry","Argonauts",65,57.22,"C",53.7,0,83.2,0.161,0,0,0,0,0,0,0
"Parker Thomas","N IOWA",61,57.08,"C",55.3,0,84.3,0.13,0,0,0,0,0,0,0
"Sam Brackney","BROWN",33,56.21,"C",56.6,0,80.5,0.118,0,0,0,0,0,0,0
"Matt Brooks","DUQUESNE",48,55.16,"C",53.1,0,75.7,0.25,0,0,0,0,1,0,0
"Zaire Collier","UC DAVIS",61,54.68,"C",57.7,0,84.5,0.053,0,0,0,0,0,0,0
"Dylan Haines","FORDHAM",69,54.63,"C",52.2,0,82.5,0.14,0,0,0,0,0,0,0
"Andrew Dorsey","NC A&T",64,54.52,"C",54.4,0,85.4,0.091,0,0,0,0,0,0,0
"Ryan Mitchell","PENN",81,54.27,"C",58.7,0.025,74.8,0.093,0,0,0,0,1,0,0
"Trevor Winters","WAGNER",46,54,"C",63.6,0.022,71.6,0.071,0.031,0,0.031,0,0,1,0
"Layton Vining","IDAHO",71,53.56,"C",64.1,0.028,80.6,0.035,0,0,0.024,1,0,0,0
"Jason Smith","RICHMOND",80,53.19,"C",55,0,87.9,0.045,0,0,0,0,0,0,0
"Jonah Bossette","CHISTA",60,53.05,"C",56,0,85,0.045,0,0,0,0,0,0,0
"Braxton Goff","TARLETON",59,52.95,"C",53.7,0.017,70.3,0.217,0.028,0,0.028,0,0,1,0
"Ethan Goodin","S ILLINOIS",62,52.75,"C",52,0.016,77.8,0.167,0,0,0,0,1,0,0
"Cam Nolan","HOLY CROSS",72,52.61,"C",65.7,0.056,67.2,0.138,0,0,0.047,2,0,0,0
"Scotty Parker","HOUCHR",77,52.41,"C",61.2,0.039,62.9,0.2,0,0,0.024,1,1,0,0
"Kunian Kuany","INCAR WORD",41,51.81,"C",57.3,0,85.9,0,0,0,0,0,0,0,0
"Ben Buxa","N DAKOTA",52,51.54,"C",56.1,0,78.5,0.042,0.036,0,0.036,0,0,0,1
"Tyler Barrett","GEORGETOWN",56,51.21,"C",51.5,0.018,64.4,0.143,0,0,0,0,0,0,0
"Tre Alexander","RHODE ISLD",58,51.01,"C",56.9,0,84.4,0,0,0,0,0,0,0,0
"Semisi Latu","PORTLAND",39,50.7,"C",51.2,0,44.9,0.333,0,97.9,0.042,1,1,0,0
"Jackson Nixon","ALBANY",69,50.1,"C",56.5,0.015,65.2,0.132,0,0,0,0,1,0,0
"Ryan Bernard","NICHOLLS",47,50.08,"C",56.5,0,75.1,0.042,0,0,0,0,0,0,0
"Seyi Akinbola","CORNELL",50,50.04,"C",66.4,0.02,76.1,0,0,0,0.028,1,0,0,0
"Maddox Radcliffe","E TENN ST",35,49.7,"C",57.8,0,78.1,0,0,0,0,0,0,0,0
"Matthew Keeley","YNGTOWN ST",62,48.72,"C",61.9,0.016,65.3,0.1,0,0,0.024,1,0,0,0
"Drew Page","INDIANA ST",63,48.62,"C",63.4,0.016,72.9,0.04,0,0,0.026,1,0,0,0
"Will French III","N ALABAMA",69,47.99,"C",56.2,0.029,68.2,0.118,0,0,0,0,2,0,0
"Sam Reynolds","SE MO ST",66,47.87,"C",53.9,0,78.6,0.182,0,0,0.03,1,0,0,0
"Thades Crump","CENT CT ST",67,47.71,"C",61.6,0.015,69.5,0.071,0,0,0.026,1,0,0,0
"Jayden Colvin","CAMPBELL",64,46.85,"C",52.4,0,82.5,0,0,0,0,0,0,0,0
"Mark Banbury","BROWN",57,46.61,"C",60.6,0.018,73.8,0.105,0,0,0,0,3,0,0
"Jabari Edwards","GARD-WEBB",79,45.84,"C",62.4,0.025,54.4,0.083,0,0,0,0,2,0,0
"Kevin Shriner","MONMOUTH",53,45.14,"C",69.2,0.075,33.7,0.079,0,0,0.067,1,0,0,0
"Charles Stewart","WM & MARY",66,44.45,"C",55.2,0,72.4,0.133,0,0,0.028,1,0,0,0
"Rahfeeq Katumbusi","E ILLINOIS",55,43.91,"C",47.6,0,67.6,0.174,0,0,0,0,1,0,0
"Pedro Chagas da Silva","PRVIEW A&M",43,43.5,"C",56.3,0,66.5,0.045,0.048,0,0.048,0,0,1,0
