"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level","Catch_Rate","Yards_Per_Tgt","Tgt_Per_Snap"
"Jaxton Santiago","YALE",61,100,"A",18,"WR",2026,"Ivy",89.3,5,39,15,14,12,234,19.5,2,6,0,0,0,12,3,2,84,7,58,0.667,6,13.8,5,1,1,0,"21.40%",158.3,0.026,0.359,0.357,0.857,"FCS",0.857142857142857,16.7142857142857,0.358974358974359
"Lucius Anderson","YALE",58,89.74,"A",1,"WR",2026,"Ivy",88.3,9,39,6,13,9,155,17.2,2,5,1,0,0,10,2,2,58,6.4,45,1,3.97,10.5,4,6,0.9,0.1,"15.40%",149,0.308,0.333,0.308,0.692,"FCS",0.692307692307692,11.9230769230769,0.333333333333333
"Jyron Waiters","CAMPBELL",37,76.55,"B",9,"WR",2026,"CAA",83.2,8,22,1,8,8,161,20.1,2,4,0,0,0,8,0,0,58,7.3,24,0,7.32,12.9,4,1,1,0,"0.00%",158.3,0.364,0.364,0.25,1,"FCS",1,20.125,0.363636363636364
"Jaden Robinson","AUSTINPEAY",62,76.28,"B",8,"WR",2026,"United Athletic",86.7,5,25,3,4,3,157,52.3,1,2,0,0,0,3,0,0,83,27.7,40,0,6.28,23.8,3,2,1,0,"0.00%",156.3,0,0.16,0.75,0.75,"FCS",0.75,39.25,0.16
"Tayvion McCoy","CAL POLY",52,76.19,"B",2,"WR",2026,"Big Sky",80.7,6,26,4,9,6,109,18.2,2,5,0,0,0,6,2,1,57,9.5,25,0.5,4.19,12.3,3,5,1,0,"22.20%",147.7,0.231,0.346,0.333,0.667,"FCS",0.666666666666667,12.1111111111111,0.346153846153846
"Tra Neal","MONMOUTH",45,74.4,"B",7,"WR",2026,"CAA",86.8,4,14,3,7,5,138,27.6,1,4,0,0,0,5,1,0,62,12.4,36,0,9.86,10.9,3,2,1,0,"14.30%",153.3,0.214,0.5,0.143,0.714,"FCS",0.714285714285714,19.7142857142857,0.5
"Hassan Mahasin","GEORGETOWN",47,74.01,"B",2,"WR",2026,"Patriot",78.3,5,24,2,6,4,121,30.3,1,3,0,0,0,4,2,1,51,12.8,71,0.5,5.04,14.7,2,2,1,0,"33.30%",149.3,0.125,0.25,0.333,0.667,"FCS",0.666666666666667,20.1666666666667,0.25
"Matt Fogler","COLGATE",77,72.35,"B",14,"WR",2026,"Patriot",79.2,7,30,4,12,9,142,15.8,1,3,0,0,0,9,1,1,51,5.7,49,1,4.73,12.3,1,2,1,0,"8.30%",141.7,0.033,0.4,0.167,0.75,"FCS",0.75,11.8333333333333,0.4
"Tony Harste","IDAHO",44,72.32,"B",4,"WR",2026,"Big Sky",88.6,8,31,3,10,6,151,25.2,1,6,0,0,0,7,2,1,46,7.7,12,0.5,4.87,16.4,5,2,0.857,0,"20.00%",137.5,0.323,0.323,0.4,0.6,"FCS",0.6,15.1,0.32258064516129
"Josh Smith","PRINCETON",29,68,"B",80,"WR",2026,"Ivy",90.2,5,15,4,6,3,86,28.7,1,3,0,0,0,3,3,1,40,13.3,39,0.333,5.73,21.3,2,1,1,0,"50.00%",135.4,0.067,0.4,0.667,0.5,"FCS",0.5,14.3333333333333,0.4
"Samuel Gbatu Jr.","UC DAVIS",57,66.91,"B",8,"WR",2026,"Big Sky",81.2,11,42,4,13,10,173,17.3,1,6,0,1,1,10,0,0,44,4.4,17,0,4.12,13.2,5,2,1,0,"0.00%",143.9,0.167,0.309,0.231,0.769,"FCS",0.769230769230769,13.3076923076923,0.30952380952381
"Brooks Davis","MONTANA",65,63.5,"B",3,"WR",2026,"Big Sky",69.4,13,40,6,15,11,135,12.3,1,8,1,0,0,12,2,1,49,4.5,14,0.5,3.38,12.8,3,2,0.917,0.083,"13.30%",122.9,0.05,0.375,0.267,0.733,"FCS",0.733333333333333,9,0.375
"Austin Palmer","MERRIMACK",57,61.91,"B",5,"WR",2026,"IND (FCS)",76.8,8,33,14,12,7,95,13.6,2,5,0,0,0,7,2,2,23,3.3,10,1,2.88,14.4,3,0,1,0,"16.70%",88.5,0.03,0.364,0.25,0.583,"FCS",0.583333333333333,7.91666666666667,0.363636363636364
"Jai Boyd","W CAROLINA",58,61.29,"B",1,"WR",2026,"Southern",74,4,30,0,5,4,120,30,1,3,0,0,0,4,2,1,8,2,3,0.5,4,31.4,4,0,1,0,"40.00%",158.3,0.1,0.167,0.8,0.8,"FCS",0.8,24,0.166666666666667
"Cole Monach","SAN DIEGO",76,59.03,"C",17,"WR",2026,"Pioneer",79.5,10,35,2,11,8,87,10.9,2,6,0,0,0,8,1,0,29,3.6,15,0,2.49,9,1,0,1,0,"9.10%",135.2,0.314,0.314,0.182,0.727,"FCS",0.727272727272727,7.90909090909091,0.314285714285714
"Lynn Wyche-El","YNGTOWN ST",54,58.2,"C",1,"WR",2026,"Missouri Valley",74,6,38,1,8,7,114,16.3,1,5,1,0,0,8,1,1,34,4.9,7,1,3,12.1,3,2,0.875,0.125,"12.50%",158.3,0.211,0.211,0.125,0.875,"FCS",0.875,14.25,0.210526315789474
"Fidel Pitts","CAL POLY",52,57.6,"C",4,"WR",2026,"Big Sky",77.7,7,26,3,7,6,90,15,1,6,0,0,0,6,2,1,19,3.2,7,0.5,3.46,16.1,3,0,1,0,"28.60%",158.3,0.039,0.269,0.143,0.857,"FCS",0.857142857142857,12.8571428571429,0.269230769230769
"Aaron Enterline","TOWSON",80,57.58,"C",0,"WR",2026,"CAA",64.4,10,59,6,10,7,92,13.1,2,4,0,0,0,7,1,1,22,3.1,13,1,1.56,12.5,2,1,1,0,"10.00%",138.3,0.051,0.17,0.2,0.7,"FCS",0.7,9.2,0.169491525423729
"Dylan Lord","ILL STATE",48,57.16,"C",4,"WR",2026,"Missouri Valley",79,5,24,1,8,6,77,12.8,1,5,0,0,0,6,0,0,37,6.2,18,0,3.21,11.1,3,3,1,0,"0.00%",144.3,0.292,0.333,0.25,0.75,"FCS",0.75,9.625,0.333333333333333
"Kory Jones","GARD-WEBB",73,56.16,"C",2,"WR",2026,"Big South - OVC Football Association",79,10,40,13,10,6,131,21.8,0,5,0,0,0,6,2,0,69,11.5,25,0,3.28,12.1,3,3,1,0,"20.00%",104.2,0,0.25,0.2,0.6,"FCS",0.6,13.1,0.25
