"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade"
"Ayden Price","N IOWA",26,31.3,"D"
"Marvin Sims","AUSTINPEAY",54,31.18,"D"
"Tyree Kelly","ALCORN ST",58,30.95,"D"
"Grahm Goering","S DAK ST",55,30.93,"D"
"Dkhai Joseph","SE LA",37,30.92,"D"
"Ricky Gonzalez II","FORDHAM",51,30.64,"D"
"Raydrian Baltrip","ABILENE CH",36,30.49,"D"
"Nick Munson","BUTLER",42,29.86,"D"
"Nate Burleson II","NEWHVN",44,29.63,"D"
"Seth Sweitzer","STNY BROOK",72,29.32,"D"
"Trevor Foley","BROWN",51,29.14,"D"
"Marty O'Keeffe","VALPO",47,29.1,"D"
"Jamarien Dalton","ELON",49,28.99,"D"
"Jonathan Lawson","NEWHVN",35,28.99,"D"
"Alijah Turner","STHLSK",20,28.81,"D"
"Jake Whitehead","TXAMEA",21,28.81,"D"
"Ryan Petras","DUQUESNE",43,28.78,"D"
"Aboraa Kwarteng","RHODE ISLD",17,28.75,"D"
"Jalile Bost","GARD-WEBB",44,28.71,"D"
"James Elliott","DARTMOUTH",28,28.47,"D"
"Cooper Lehman","MERRIMACK",36,28.38,"D"
"Ty Carlson","NEW HAMP",41,28.31,"D"
"Tavahri Groves","ALBANY",27,28.26,"D"
"Deng Deng","N DAKOTA",49,28.25,"D"
"Micah Simpson","TXAMEA",42,27.37,"D"
"Josh Fillion","NEW HAMP",36,27.35,"D"
"Tyshon Mansell","Argonauts",49,27.01,"D"
"Taco Dowler","MONTANA ST",46,26.95,"D"
"KJ Fields","N ALABAMA",48,26.92,"D"
"Jobe Bryant","SE MO ST",20,26.82,"D"
"Elijah Taylor","SAN DIEGO",78,26.73,"D"
"Terrence Rone","DELWARE ST",40,26.68,"D"
"Ryan Ricketti","NEW HAMP",44,26.48,"D"
"Luke Mailander","ILL STATE",21,25.98,"D"
"Rodny Ojo","PRVIEW A&M",65,25.66,"D"
"Devin Yeats","VALPO",45,25.43,"D"
"Caleb Goodloe","N DAKOTA",44,25.29,"D"
"SirCharles Gordon","HOLY CROSS",45,25.18,"D"
"Jack Smith","S DAK ST",34,25.05,"D"
"Aidan Besselman","PRINCETON",31,24.97,"D"
"Darnell O'Quinn","UTAHTC",34,24.9,"D"
"Kenaz McMillian","ELON",49,24.35,"D"
"Chance Peterson","NC CENT",44,24.35,"D"
"Wyatt Rogers","STETSON",58,24.35,"D"
"Keonde Henry","ABILENE CH",37,24.33,"D"
"Ian Willis","ILL STATE",18,24.32,"D"
"Tyler Hennessy","UC DAVIS",33,24.09,"D"
"Jarvis Jones","TOWSON",42,24.03,"D"
"Tanner Harrison","TXAMEA",38,24.02,"D"
"Armon Wright","ALCORN ST",39,23.99,"D"
"Giovanni Adopte","GARD-WEBB",54,23.56,"D"
"Kaleb Washington","TENN MARTN",36,23.2,"D"
"Tristin Purnell","SE MO ST",28,23.18,"D"
"Isaac Tran","VALPO",24,23.13,"D"
"Laviel Pickett","UC DAVIS",45,23.12,"D"
"Jashaun Amin","TOWSON",37,23.01,"D"
"Jeremiah Colclough","WAGNER",15,22.95,"D"
"Evan Brooks","LIUSHAR",68,22.89,"D"
"Christian Campbell","CAMPBELL",51,22.69,"D"
"Eric Rasheed","MERCER",44,22.58,"D"
"Derek Burrell","WAGNER",20,22.45,"D"
"Andreas Hill","RICHMOND",72,22.13,"D"
"Michael Nesbit","BROWN",19,22.1,"D"
"Price Morgan","INCAR WORD",82,21.92,"D"
"Keylijah Williams","BRYANT",43,21.78,"D"
"Kha'leal Sterling","W CAROLINA",30,21.78,"D"
"Nolan Chambers","ALCORN ST",45,21.72,"D"
"Anthony Westervelt","SE MO ST",21,21.63,"D"
"Rory Jones-Amen-Hetep","NC A&T",14,21.59,"D"
"Ronan Johannson","PENN",40,21.58,"D"
"Braden Reed","VILLANOVA",49,21.49,"D"
"Sam Milligan","BUCKNELL",40,21.44,"D"
"Winston Moore","COLGATE",77,21.42,"D"
"Mike Williams","UTAHTC",44,21.35,"D"
"Shamar Fowles","BRYANT",43,21.26,"D"
"KJ Reed","FORDHAM",35,21.14,"D"
"Ryan Tattersall","HARVARD",51,21.07,"D"
"Landers Green","E ILLINOIS",36,20.95,"D"
"John Anthony Jr.","SE MO ST",49,20.88,"D"
"Ty'ee Stephens","MAINE",50,20.69,"D"
"Develle Barksdale","CHISTA",54,20.66,"D"
"Isaiah Baker","STETSON",20,20.54,"D"
"Jackson Green","PRINCETON",21,20.46,"D"
"Ben Evee","SACR HEART",51,20.08,"D"
"Pearson Hill","BROWN",36,19.95,"F"
"Oliver Luebkert","E WASHGTON",40,19.94,"F"
"Brendan Lee","CORNELL",20,19.82,"F"
"Jalen Patrick","PRESBYTERN",38,19.81,"F"
"Lekeldrick Bridges","MONTANA",42,19.77,"F"
"Arshawn Powell","CHISTA",47,19.61,"F"
"Keith Wheeler","HOUCHR",52,19.5,"F"
"Andrew Rockford","ILL STATE",30,19.42,"F"
"Scott Nixon","UC DAVIS",20,19.29,"F"
"Jaylin Baker","STHLSK",43,19.29,"F"
"Keyonte Gray","CHISTA",43,19.07,"F"
"Ty Durham","CENT ARK",59,19.01,"F"
"Dane Pardridge","INDIANA ST",25,19,"F"
"Justin Rice","RICHMOND",17,18.86,"F"
"Malachi Augustus","ALCORN ST",32,18.59,"F"
"Jordan Rae","ALBANY",39,18.55,"F"
"Yosei Takahashi","SAN DIEGO",67,18.42,"F"
"Wesley Garrett","E WASHGTON",31,18.32,"F"
"Jerry Harrison","BUCKNELL",29,18.32,"F"
"Ja'koby Banks","PRVIEW A&M",24,18.28,"F"
"Ian Scott","DARTMOUTH",41,18.07,"F"
"Tyler Stewart","INDIANA ST",24,18.06,"F"
"Tyler Stewart","INDIANA ST",24,18.06,"F"
"Tyler Stewart","INDIANA ST",16,18.06,"F"
"Tyler Stewart","INDIANA ST",16,18.06,"F"
"Ja'von Broussard","CORNELL",38,18.01,"F"
"Ryan Jezioro","IDAHO",61,18,"F"
"Evan Austin","CAMPBELL",27,17.95,"F"
"Evan Van Dyke","MERCYHURST",48,17.95,"F"
"Brice Johnson","PRESBYTERN",30,17.95,"F"
"Zach Jones","UC DAVIS",13,17.86,"F"
"Jameson Garcia","INCAR WORD",88,17.72,"F"
"Mason Cunningham","TOWSON",22,17.65,"F"
"Khalil Wilson","STHLSK",16,17.51,"F"
"Luc Carroll","Argonauts",21,17.43,"F"
"An'Tiyan Neal","STHLSK",27,17.42,"F"
