"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","Lined.up.in.Press.Coverage","Negative.Rush.Grade.Percentage","Positive.Rush.Grade.Percentage","row_id"
"Christian Magliacano","COLGATE",59,100,"A","LB",2026,"Patriot",87.7,90.6,58.5,74.7,0,4,5,0,0,0,2,2,0,1,1,0,0,4,0,0,1,7,5,9,"11.10%","22.20%",11.1,28,0.2,"10.70%","39.30%",3,22,2,"66.70%",35,17.5,0,1,1,1,66.7,1.59,1,"36.40%",0,0,0,2,3,"4.50%","0.00%","33.30%","33.30%",11.7,10.3,"33.30%",4,10,"16.70%",4,4,3,"11.10%",5,3,1,1,1,"33.30%",12,12,1,1,1,"FCS",247,NA,NA,NA,247
"Jacob Perez","IDAHO ST",63,99.04,"A","LB",2026,"Big Sky",83.4,92.3,75.7,68.4,0,3,6,0,0,0,1,1,1,0,1,0,0,2,0,0,0,7,3,4,"50.00%","25.00%",12.5,17,1,"0","35.30%",0,42,4,"66.70%",41,10.3,0,2,1,0,46.5,0.98,2,"35.70%",0,5,1,3,3,"4.80%","83.30%","33.30%","16.70%",6.8,8.8,"0.00%",44,12,"0.00%",3,3,2,"0.00%",4,3,0,3,0,"0.00%",12,12,0,5,0,"FCS",147,NA,NA,NA,147
"Kenny Olson","CAL POLY",64,94.08,"A","LB",2026,"Big Sky",89.3,91.6,55.9,74.9,0,7,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,7,1,4,"0","0.00%",0,32,2.57,"0","21.90%",0,28,2,"100%",31,15.5,0,1,0,0,118.8,1.11,2,"35.70%",0,0,0,1,1,"7.10%","0.00%","50.00%","0.00%",15.5,5,"0.00%",20,15,"0.00%",7,3,2,"0.00%",7,6,0,0,0,"0.00%",15,15,1,1,0,"FCS",28,NA,NA,NA,28
"Ben Fiegel","S ILLINOIS",56,91.23,"A","LB",2026,"Missouri Valley",73.8,74.4,58.6,70.5,0,3,7,0,0,0,0,0,0,0,1,0,0,5,0,0,0,9,5,3,"0","0.00%",0,22,-1.2,"18.20%","40.90%",4,31,2,"100%",6,3,0,0,1,0,39.6,0.19,0,"32.30%",0,0,0,1,2,"0.00%","0.00%","0.00%","50.00%",3,3,"0.00%",45,13,"7.10%",3,5,5,"11.10%",5,3,1,2,0,"0.00%",14,14,0,4,0,"FCS",178,NA,NA,NA,178
"Porter Connors","UC DAVIS",61,88.55,"A","LB",2026,"Big Sky",89.5,81.6,90,73.5,0,6,3,0,0,1,2,3,0,0,0,0,0,0,0,0,0,4,1,8,"37.50%","37.50%",18.8,28,2,"3.60%","17.90%",1,25,1,"100%",4,4,0,0,0,0,83.3,0.16,0,"36.00%",0,0,0,0,1,"0.00%","0.00%","0.00%","0.00%",4,3,"0.00%",39,10,"0.00%",6,2,0,"0.00%",2,3,0,1,0,"0.00%",10,10,3,2,0,"FCS",21,NA,NA,NA,21
"Nathan Reynolds","IDAHO ST",80,85.34,"A","LB",2026,"Big Sky",66.3,71,65.6,59.9,0,5,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8,5,4,"0","0.00%",0,26,3.75,"11.50%","7.70%",3,50,2,"66.70%",33,16.5,0,2,0,0,103.5,0.66,1,"26.00%",0,3,1,2,1,"2.00%","100%","66.70%","0.00%",11,9.3,"0.00%",7,14,"0.00%",5,5,1,"0.00%",8,2,0,0,0,"0.00%",14,14,3,1,0,"FCS",145,NA,NA,NA,145
"Omari Bursey","VILLANOVA",72,85.26,"A","LB",2026,"Patriot",83.4,87.5,58,73.4,0,4,5,0,0,1,1,2,0,0,0,0,0,1,0,1,0,9,1,12,"8.30%","8.30%",4.2,28,2.25,"3.60%","25.00%",1,32,0,"0.00%",0,0,0,0,0,0,39.6,0,0,"31.30%",0,0,1,0,1,"0.00%","0.00%","0.00%","0.00%",0,26,"0.00%",8,12,"7.70%",4,3,1,"12.50%",4,3,1,2,0,"0.00%",13,13,1,4,0,"FCS",194,NA,NA,NA,194
"Andrew Osmun","FORDHAM",69,82.74,"A","LB",2026,"Patriot",69.4,69,62.7,65.1,0,5,5,1,0,0,0,1,0,0,0,0,0,2,0,0,0,11,5,8,"12.50%","12.50%",12.5,37,3.33,"10.80%","16.20%",4,24,1,"100%",18,18,0,1,0,0,118.8,0.75,1,"20.80%",0,0,0,1,1,"4.20%","0.00%","100%","0.00%",18,8,"0.00%",12,16,"11.10%",5,4,2,"18.20%",6,3,2,1,0,"0.00%",18,18,2,4,0,"FCS",82,NA,NA,NA,82
"Wade Abrams","S DAKOTA",50,82.58,"A","LB",2026,"Missouri Valley",87.1,83.6,NA,80.4,0,3,6,0,0,0,0,0,0,1,0,0,0,2,1,0,0,9,1,NA,NA,NA,NA,22,2.5,"0","13.60%",0,28,5,"100%",36,7.2,0,3,0,1,96.7,1.29,1,"28.60%",0,0,0,1,3,"3.60%","0.00%","60.00%","0.00%",7.2,0.4,"20.00%",49,12,"0.00%",3,3,0,"0.00%",4,1,0,3,2,"0.00%",12,12,2,5,0,"FCS",59,NA,NA,NA,59
"Teni Worthen","WEBER ST",71,80.44,"A","LB",2026,"Big Sky",71.6,68.6,55.6,71.9,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,3,6,"0","0.00%",0,50,2.78,"6.00%","12.00%",3,14,1,"50.00%",3,3,0,0,0,0,56.3,0.21,0,"35.70%",0,0,0,0,1,"0.00%","0.00%","0.00%","0.00%",1.5,3.5,"0.00%",23,10,"9.10%",0,6,5,"10.00%",9,0,1,0,0,"0.00%",11,11,0,1,0,"FCS",340,NA,NA,NA,340
