"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"Isaiah Pinks","N IOWA",71,68.18,"B"
"Aa'zoriyon Bonner","W ILLINOIS",30,67.96,"B"
"Kian Kelly","BUTLER",29,67.72,"B"
"Amyrion Mingo","MCNEESE",29,67.43,"B"
"Jameson Wharton","TENN TECH",29,67.02,"B"
"Donavin Green","MS VLY ST",40,66.99,"B"
"Wendell Smith","TENN MARTN",23,66.93,"B"
"Lono Solomon","PORTLAND",58,66.89,"B"
"Quan Peterson","AUSTINPEAY",25,66.86,"B"
"Taylor Smallwood","GARD-WEBB",45,66.75,"B"
"Tahseen Howard","ROB MORRIS",67,66.74,"B"
"Dallas Johnson","N ALABAMA",50,66.74,"B"
"Kai Callen","IDAHO ST",71,66.39,"B"
"Quinton Griffin","MOREHEAD",31,66.38,"B"
"Jackson Daniels","IDAHO ST",94,66.36,"B"
"Jamaree Gibson","MAINE",59,66.2,"B"
"Dillon Conway","E ILLINOIS",25,66.06,"B"
"Carter Hewitt","TXRG",28,65.99,"B"
"Nick Collins Jr.","DUQUESNE",15,65.99,"B"
"Jakobi Spence","SO UTAH",61,65.95,"B"
"Zach Williams","ALABAMA ST",25,65.83,"B"
"Jackson Waid","TXRG",42,65.81,"B"
"Savionne Rogers","CITADEL",23,65.72,"B"
"Davonta Morgan Collins","STF AUSTIN",18,65.62,"B"
"Spencer Davila","STHLSK",26,65.58,"B"
"Kyree Lewis","SAMFORD",17,65.53,"B"
"Justyn Toler","COLGATE",64,65.36,"B"
"Jonathan Landry","SO UTAH",32,65.21,"B"
"Darvens Tunis","YNGTOWN ST",43,65.16,"B"
"Will Hawkins","MS VLY ST",38,65.02,"B"
"Luciano Corpora-Ellis","MOREHEAD",33,64.77,"B"
"Jakari Nicely","VA MILT IN",20,64.73,"B"
"Aundre Gibson","N ARIZONA",30,64.72,"B"
"Nathan Nwagwu","ALABAMA ST",43,64.57,"B"
"Ryan Tyler Williams","BRYANT",34,64.56,"B"
"Kaleb Quammie","N COLORADO",50,64.35,"B"
"Rico Clay","ILL STATE",27,64.29,"B"
"Chris Hudson","NEWHVN",46,64.25,"B"
"Joey Davis","MS VLY ST",41,64.15,"B"
"Omar Ibrahim","MONMOUTH",34,64.12,"B"
"Fitzroy Ledgister","PRVIEW A&M",15,64.06,"B"
"Eric Jones","ELON",47,64,"B"
"Makai Frisby","STF AUSTIN",25,63.94,"B"
"Khalil Cueva","SAN DIEGO",18,63.84,"B"
"Chaas McCoy","RHODE ISLD",64,63.74,"B"
"Phillip Harris","NEW HAMP",37,63.58,"B"
"Damarcus Batiste","MOREHEAD",25,63.55,"B"
"Kemani Wilson","TXAMEA",51,63.31,"B"
"Brian Harris","MONTANA ST",22,63.3,"B"
"Jonathan Brown","MS VLY ST",17,63.01,"B"
"Jacob Davis","PRVIEW A&M",25,63,"B"
"Jalen O'Neal","PRVIEW A&M",41,62.91,"B"
"Antonio Martin","ROB MORRIS",22,62.85,"B"
"Joshua Jones","LEHIGH",17,62.79,"B"
"David Williams","GARD-WEBB",26,62.6,"B"
"Terry Lewis II","MURRAY ST",48,62.59,"B"
"mir Haskett","MONMOUTH",32,62.54,"B"
"Tramayne Bullock","RICHMOND",29,62.54,"B"
"Ryan Tillman","UTAHTC",47,62.2,"B"
"Langston Blair","BUCKNELL",17,62.12,"B"
"Darren Burton II","NEW HAMP",32,62.07,"B"
"J'vion Luster","WOFFORD",72,62.07,"B"
"Alex Herrera Jr.","MOREHEAD",20,62,"B"
"Richard McKneely","SE LA",79,61.89,"B"
"Tramar Gilbert","TXAMEA",59,61.86,"B"
"Miles McGoy","STNY BROOK",72,61.86,"B"
"Zarius Harvey","MOREHEAD",19,61.64,"B"
"Xavier Tates","SCAR STATE",23,61.57,"B"
"Trevion Butler","N ALABAMA",59,61.41,"B"
"Naz Hill","S ILLINOIS",30,61.34,"B"
"Zion Crawford","ALABAMA ST",28,61.29,"B"
"Tycorien Gist","NC A&T",16,61.17,"B"
"Tywan Royal","AUSTINPEAY",37,60.59,"B"
"Doreon Dubose","ILL STATE",36,60.58,"B"
"Kory Boyd","MONTANA ST",19,60.54,"B"
"Jimmy Bowdry","E TENN ST",43,60.53,"B"
"Shamir Johnson","TOWSON",15,60.44,"B"
"Chris Presto","S ILLINOIS",58,60.34,"B"
"Cameron Cunningham","DRAKE",16,60.34,"B"
"Ricardo Butler","ALCORN ST",59,60.31,"B"
