"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Lined.up.in.Press.Coverage","Passer.Rating.Allowed","Pass.Break.Up","Average.Depth.of.Target.per.Coverage","Receiving.Yards.Allowed.per.Snap","Yards.per.Reception.Allowed","Average.Depth.of.Tackle","Interceptions","Pass.Stop","Missed.Tackles.on.Pass.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Assist.on.Pass.Plays","Touchdowns.Allowed","Run.Tackle.for.Losss.or.No.Gain","Open.Targets","Pass.Tackle.for.Loss.or.No.Gain","Dropped.Int","Hurries","Hits","Fumble.Recovery","Forced.Fumble","Sacks","Pursuit.Pressure","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","First.Contact","Batted.Passes","Interception","Drops...Off.Targets.Receptions.Forced","Pass.Rush.Productivity","Unblocked.Pass.Rush","Beaten.Defender","Plays.of.15..Yards.Allowed"
"Sean Mays","SO UTAH",28,100,"A",90.1,90.1,60.9,59.1,1,0,0,NA,39.6,2,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,4,0,"0.00%",0,0,2,"0.00%","0.00%","0.00%","0.00%","50.00%","0.00%","0.00%",1,0,0,2,0,0,0,0
"CJ Fraser","SE LA",69,99.99,"A",77.6,74.8,77.7,NA,4,2,1,NA,39.6,2,13,0,0,8,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,"20.00%",1,0,0,2,1,1,2,0,"0.00%",0,0,2,"0.00%","50.00%","0.00%","0.00%","100%","0.00%","100%",4,0,0,0,NA,0,0,0
"Trenton Bell","GARD-WEBB",24,99.73,"A",86.2,83.2,74.5,64.5,8,3,2,NA,79.2,0,-2,-0.22,-2,5,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,"0.00%",1,1,1,3,0,0,2,1,"100%",-2,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",3,0,0,0,50,1,0,0
"Martez Cooksey Jr.","CHATTNOOGA",50,98.25,"A",73.8,73.5,70.6,56.8,7,2,4,NA,39.6,0,27,0,0,-2,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,"0.00%",2,1,1,2,0,0,1,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",5,0,0,1,7.1,1,0,0
"Jack Oliver","ILL STATE",38,97.38,"A",79.6,82,59.4,NA,6,0,5,NA,46.5,2,14.7,1.09,12,9,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14.30%",1,0,0,0,3,2,5,2,"33.30%",24,1,2,"0.00%","0.00%","16.70%","0.00%","33.30%","0.00%","20.00%",5,0,0,0,NA,0,0,0
"Kemari Nix","DELWARE ST",52,97.21,"A",75,70.4,70.9,73.4,8,3,2,NA,0,0,0,0,0,12,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,"11.10%",1,1,1,3,1,0,1,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","14.30%","0.00%",5,0,0,0,50,1,0,0
"Omari Russell","ALABAMA ST",55,96.36,"A",73.7,66.3,73.9,71,9,1,8,NA,56.3,0,8,0.25,4,0.86,0,1,0,0,1,1,0,3,0,0,0,0,0,0,0,1,0,"10.00%",7,3,1,1,2,0,0,1,"50.00%",4,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","12.50%","0.00%",8,0,0,1,100,1,0,0
"Fredd Adams","TARLETON",69,95.88,"A",78.3,77,74,NA,2,0,2,NA,39.6,1,28,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"0.00%",1,0,0,0,0,0,2,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","100%","0.00%","0.00%",3,0,0,0,NA,0,0,0
"Jhamal Shelby Jr.","NICHOLLS",47,94.71,"A",74.4,72.9,71.1,NA,6,3,2,NA,62.5,1,21.5,0.75,9,5,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,"0.00%",1,0,0,3,2,2,3,2,"50.00%",18,1,2,"0.00%","25.00%","25.00%","0.00%","50.00%","0.00%","0.00%",3,0,0,0,NA,0,0,0
"Trevon Cannon","WM & MARY",81,93.18,"A",71.3,70.4,68.4,NA,5,0,1,NA,15.2,2,16.2,1.11,15.3,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,5,5,6,4,"30.80%",61,2,4,"3.60%","0.00%","15.40%","7.70%","30.80%","0.00%","0.00%",3,0,1,3,NA,0,0,2
