"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","Lined.up.in.Press.Coverage","row_id"
"Kelton Crisp","AUSTINPEAY",48,15.61,"F","ED",2026,"United Athletic",47.5,52.5,53.3,48.2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,22,"0","0.00%",0,23,7,"17.40%","0",4,3,1,"100%",20,20,0,1,0,0,118.8,6.67,1,"33.30%",0,1,0,1,0,"33.30%","100%","100%","0.00%",20,6,"0.00%",0,6,"0.00%",2,0,0,"0.00%",2,1,0,0,0,"0.00%",6,6,1,2,0,"FCS",271,NA,271
"Jakel Houston-Irving","ALCORN ST",20,15.6,"F","ED",2026,"SWAC",60.1,60.4,55.8,62.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,"0","0.00%",0,11,10,"9.10%","0",1,3,0,"0.00%",0,0,0,0,0,0,0,0,0,"33.30%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",31,2,"0.00%",1,0,0,"0.00%",1,1,0,0,0,"0.00%",2,2,0,0,0,"FCS",216,NA,216
"Ryan Hussey","GEORGETOWN",54,15.43,"F","ED",2026,"Patriot",57.9,67,57.5,45.8,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,19,"5.30%","5.30%",2.6,34,0,"5.90%","17.60%",2,1,0,"0.00%",0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",18,2,"33.30%",1,1,0,"33.30%",1,1,1,0,0,"0.00%",3,3,0,0,0,"FCS",146,NA,146
"Lucien Griffin","MERCYHURST",30,15.36,"F","ED",2026,"Northeast",61.3,63.4,55.5,NA,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,"0","0.00%",0,20,4,"10.00%","20.00%",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,"25.00%",2,1,0,"25.00%",1,2,1,0,0,"0.00%",4,4,0,0,0,"FCS",266,NA,266
"Royce Maloles","MCNEESE",25,15.32,"F","ED",2026,"Southland",57.7,56.6,58.8,60,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,17,"5.90%","5.90%",5.9,7,1,"14.30%","14.30%",1,1,0,"0.00%",0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",8,2,"33.30%",0,1,0,"50.00%",1,0,1,1,0,"0.00%",3,3,0,0,0,"FCS",117,NA,117
"Terence Carpenter II","TENN STATE",23,15.15,"F","ED",2026,"Big South - OVC Football Association",59.9,63.5,55.7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,"0","0.00%",0,8,13,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1,"0.00%",0,0,0,"0.00%",1,0,0,0,0,"0.00%",1,1,0,0,0,"FCS",104,NA,104
"Hope Tita","HOUCHR",34,15.07,"F","ED",2026,"Southland",49,48.6,57.7,60,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,"0","0.00%",0,27,3.33,"14.80%","3.70%",4,1,0,"0.00%",0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",36,5,"16.70%",2,3,0,"16.70%",3,2,1,0,0,"0.00%",6,6,0,0,0,"FCS",321,NA,321
"Aiden Hall","SO UTAH",72,14.83,"F","ED",2026,"Big Sky",59,65.8,53.6,60,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43,"2.30%","2.30%",2.3,28,0,"0","3.60%",0,1,0,"0.00%",0,0,0,0,0,0,0,0,0,"100%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",96,2,"0.00%",1,0,0,"0.00%",0,1,0,0,0,"0.00%",2,2,0,0,0,"FCS",329,NA,329
"Duncan Parham","TXAMEA",49,14.81,"F","ED",2026,"Southland",57,52.7,59,64.8,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,4,18,"5.60%","5.60%",2.8,28,3,"14.30%","17.90%",4,3,1,"100%",6,6,0,0,0,0,91.7,2,0,"66.70%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",6,-2,"0.00%",6,4,"42.90%",2,1,0,"60.00%",1,1,3,0,0,"0.00%",7,7,1,1,0,"FCS",4,NA,4
"Henry Eber","GEORGETOWN",25,14.72,"F","ED",2026,"Patriot",63.4,67.1,54.1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,"0","0.00%",0,15,5,"6.70%","13.30%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,2,"0.00%",1,0,0,"0.00%",1,1,0,0,0,"0.00%",2,2,0,0,0,"FCS",264,NA,264
"Charles Atkins","CHARLES SO",19,14.69,"F","ED",2026,"Big South - OVC Football Association",61.6,62.4,55.4,63.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,"0","0.00%",0,5,5,"0","0",0,3,0,"0.00%",0,0,0,0,0,0,0,0,0,"66.70%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",95,2,"0.00%",0,1,0,"0.00%",1,0,0,0,0,"0.00%",2,2,0,1,0,"FCS",220,NA,220
"Josiah Raven","SE MO ST",41,14.46,"F","ED",2026,"Big South - OVC Football Association",61.1,61.2,55,63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,"0","0.00%",0,24,6.5,"4.20%","8.30%",1,9,0,"0.00%",0,0,0,0,0,0,0,0,0,"22.20%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",8,3,"0.00%",1,0,0,"0.00%",2,1,0,0,0,"0.00%",3,3,0,0,0,"FCS",312,NA,312
"Ethan Clabo","NC A&T",18,14.46,"F","ED",2026,"CAA",64.2,67,56.2,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"0","0.00%",0,10,0,"0","10.00%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,"0.00%",1,0,0,"0.00%",0,1,0,0,0,"0.00%",1,1,0,0,0,"FCS",327,NA,327
"Chauncey Warren","MS VLY ST",25,14.26,"F","ED",2026,"SWAC",56.9,52.7,60,63.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,"0","0.00%",0,16,4.5,"18.80%","6.30%",3,8,0,"0.00%",0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",6,2,"0.00%",0,1,0,"0.00%",2,0,0,0,0,"0.00%",2,2,0,0,0,"FCS",279,NA,279
"Payton Foley","BUTLER",22,14.24,"F","ED",2026,"Pioneer",64.6,67.1,54.8,63.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,"0","0.00%",0,10,3,"0","10.00%",0,2,0,"0.00%",0,0,0,0,0,0,0,0,0,"50.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",38,2,"0.00%",0,0,0,"0.00%",1,0,0,0,0,"0.00%",2,2,0,1,0,"FCS",290,NA,290
"Keisean Johnson-Wilson","MONMOUTH",15,14.19,"F","ED",2026,"CAA",64.3,65.2,57.6,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,"0","0.00%",0,10,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FCS",313,NA,313
"Javontay Martin","NORFOLK",24,14.16,"F","ED",2026,"MEAC",64,66.8,55.9,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"0","0.00%",0,15,0,"0","6.70%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,"0.00%",1,0,0,"0.00%",0,1,0,0,0,"0.00%",1,1,0,0,0,"FCS",50,NA,50
"Patrick Carter","MERCYHURST",27,14.02,"F","ED",2026,"Northeast",61.7,62.8,56.9,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,"0","0.00%",0,20,0,"5.00%","5.00%",1,1,0,"0.00%",0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",11,1,"0.00%",1,0,0,"0.00%",0,1,0,0,0,"0.00%",1,1,0,0,0,"FCS",150,NA,150
"Axel Ramazani","N IOWA",15,13.98,"F","ED",2026,"Missouri Valley",62.9,65.3,56,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,"0","0.00%",0,9,3,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,1,"0.00%",0,1,0,"0.00%",1,0,0,0,0,"0.00%",1,1,0,0,0,"FCS",212,NA,212
"Alec Haynes","NICHOLLS",41,13.94,"F","ED",2026,"Southland",49.7,54.5,54,49.9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,3,14,"0","7.10%",3.6,22,0,"9.10%","0",2,5,1,"100%",5,5,0,1,0,0,87.5,1,0,"0.00%",0,1,0,1,0,"0.00%","100%","100%","0.00%",5,3,"0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FCS",269,NA,269
"Tyler Hammel","NEWHVN",36,13.93,"F","ED",2026,"Northeast",60.1,70.5,56.2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,"0","0.00%",0,21,0,"4.80%","9.50%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FCS",281,NA,281
"Langston Cook","PRESBYTERN",44,13.84,"F","ED",2026,"Pioneer",61,62.3,54.9,62.8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,16,"0","0.00%",0,24,3,"4.20%","8.30%",1,4,0,"0.00%",0,0,0,0,0,0,0,0,0,"25.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",9,2,"0.00%",0,2,0,"0.00%",2,0,0,0,0,"0.00%",2,2,0,0,0,"FCS",346,NA,346
"Chance Pickard","NC A&T",20,13.63,"F","ED",2026,"CAA",48.5,48.7,57,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,9,"0","11.10%",5.6,11,5,"18.20%","0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,1,"0.00%",0,0,0,"0.00%",1,0,0,0,0,"0.00%",1,1,0,0,0,"FCS",181,NA,181
"Mitchell Garner","RHODE ISLD",39,13.57,"F","ED",2026,"CAA",48.5,50.6,56.2,50.8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,"0","0.00%",0,26,8.5,"15.40%","11.50%",4,8,1,"100%",21,21,0,1,0,0,118.8,2.63,1,"25.00%",0,1,0,1,0,"12.50%","100%","100%","0.00%",21,5,"0.00%",11,4,"20.00%",1,1,0,"25.00%",2,1,1,0,0,"0.00%",5,5,0,1,0,"FCS",90,NA,90
"Tyler Davis","FORDHAM",30,13.49,"F","ED",2026,"Patriot",63.9,68.2,54.4,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,"0","0.00%",0,17,0,"0","5.90%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,1,"0.00%",1,0,0,"0.00%",0,1,0,0,0,"0.00%",1,1,0,0,0,"FCS",225,NA,225
"LaFenis Mays Jr.","N ALABAMA",19,13.38,"F","ED",2026,"United Athletic",63.9,66.2,55,62.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"0","0.00%",0,9,3,"0","11.10%",0,5,0,"0.00%",0,0,0,0,0,0,0,0,0,"40.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",25,1,"0.00%",0,1,0,"0.00%",1,0,0,0,0,"0.00%",1,1,0,0,0,"FCS",334,NA,334
"Donovan Dyson","MONMOUTH",19,13.18,"F","ED",2026,"CAA",56.7,67,55.2,50.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,"0","0.00%",0,9,3,"0","11.10%",0,3,1,"100%",6,6,1,1,0,0,131.3,2,0,"33.30%",0,0,0,1,0,"0.00%","0.00%","100%","0.00%",6,9,"0.00%",44,1,"0.00%",0,0,0,"0.00%",1,0,0,0,0,"0.00%",1,1,0,0,0,"FCS",86,NA,86
"Javen Dixon","NC A&T",17,13.16,"F","ED",2026,"CAA",55.8,65.8,57.2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,"0","0.00%",0,12,0,"8.30%","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FCS",301,NA,301
"Blake Palladino","N COLORADO",15,13.15,"F","ED",2026,"Big Sky",61.2,62.3,57.7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"0","0.00%",0,11,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FCS",176,NA,176
"Deondri Clark","MS VLY ST",15,13.14,"F","ED",2026,"SWAC",63.5,65.5,56.4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"0","0.00%",0,9,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FCS",12,NA,12
"Connor Carrigan","TXRG",30,13.11,"F","ED",2026,"Southland",61.7,64.8,53.9,62.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,"0","0.00%",0,14,3,"7.10%","14.30%",1,4,0,"0.00%",0,0,0,0,0,0,0,0,0,"50.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",41,2,"0.00%",1,0,0,"0.00%",1,1,0,0,0,"0.00%",2,2,0,0,0,"FCS",293,NA,293
"Bryce Stringer","PRESBYTERN",34,13,"F","ED",2026,"Pioneer",60.2,58.3,59.5,61.5,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,15,"6.70%","6.70%",3.3,17,0,"5.90%","5.90%",1,2,0,"0.00%",0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",16,1,"50.00%",0,0,0,"100%",0,0,1,1,0,"0.00%",2,2,0,1,0,"FCS",197,NA,197
"Kingston Watson","CHISTA",23,12.99,"F","ED",2026,"IND (FCS)",54.5,55.4,54.1,61.7,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,14,"7.10%","7.10%",3.6,8,0,"25.00%","12.50%",2,1,1,"100%",5,5,0,0,0,0,87.5,5,0,"100%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",5,2,"0.00%",45,1,"0.00%",1,0,0,"0.00%",0,0,0,0,0,"0.00%",1,1,1,0,0,"FCS",340,NA,340
"Raleigh Collins III","YNGTOWN ST",35,12.91,"F","ED",2026,"Missouri Valley",52,52,57.3,54.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,"0","0.00%",0,20,11.5,"10.00%","0",2,11,1,"100%",33,33,0,1,0,0,118.8,3,1,"9.10%",0,0,0,1,0,"9.10%","0.00%","100%","0.00%",33,23,"0.00%",7,3,"25.00%",0,0,0,"33.30%",2,0,1,0,0,"0.00%",4,4,0,1,0,"FCS",14,NA,14
"Eddie Conover","NC A&T",42,12.88,"F","ED",2026,"CAA",50.7,60.7,51.9,60,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,23,"0","0.00%",0,19,3,"5.30%","10.50%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,3,"0.00%",2,1,0,"0.00%",1,2,0,0,0,"0.00%",3,3,0,0,0,"FCS",238,NA,238
"Malaki Pegues","TENN TECH",21,12.71,"F","ED",2026,"Southern",57.4,58.3,55.1,60,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,"0","0.00%",0,13,0,"7.70%","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,2,"0.00%",2,0,0,"0.00%",0,1,0,0,0,"0.00%",2,2,1,0,0,"FCS",78,NA,78
"Lovell Vereen II","INDIANA ST",27,12.7,"F","ED",2026,"Missouri Valley",44,42.4,55.2,52.5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,4,6,"0","16.70%",8.3,10,9,"30.00%","0",3,11,1,"100%",19,19,0,1,0,0,118.8,1.73,1,"0.00%",0,0,0,1,0,"9.10%","0.00%","100%","0.00%",19,16,"0.00%",0,3,"40.00%",1,0,0,"66.70%",1,0,2,0,0,"0.00%",5,5,1,1,0,"FCS",317,NA,317
"Ethan Aghakhan","NEW HAMP",32,12.66,"F","ED",2026,"CAA",61.2,65.5,54.3,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,"0","0.00%",0,17,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,1,"0.00%",1,0,0,"0.00%",0,1,0,0,0,"0.00%",1,1,0,0,0,"FCS",163,NA,163
"Charlie Leota","INDIANA ST",15,12.57,"F","ED",2026,"Missouri Valley",59.8,60.4,57.9,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,"0","0.00%",0,9,2,"22.20%","22.20%",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,1,"0.00%",0,0,0,"0.00%",1,0,0,0,0,"0.00%",1,1,0,0,0,"FCS",92,NA,92
"Devin Murphy","N ARIZONA",33,12.37,"F","ED",2026,"Big Sky",57.4,59.2,53.8,61.5,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,2,15,"6.70%","13.30%",6.7,17,0,"5.90%","0",1,1,0,"0.00%",0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",35,1,"50.00%",1,0,0,"0.00%",0,0,0,0,0,"50.00%",2,2,1,0,1,"FCS",240,NA,240
"Larry Jones III","STF AUSTIN",16,12.34,"F","ED",2026,"Southland",60.7,61.7,56.9,60.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"0","0.00%",0,4,0,"0","0",0,3,0,"0.00%",0,0,0,0,0,0,0,0,0,"66.70%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FCS",13,NA,13
"Jaylen Pettus","N IOWA",49,12.33,"F","ED",2026,"Missouri Valley",59.2,66,52.3,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,"0","0.00%",0,19,0,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,"0.00%",1,0,0,"0.00%",0,1,0,0,0,"0.00%",2,2,0,1,0,"FCS",127,NA,127
"Jaheim Lowe","TXAMEA",16,12.28,"F","ED",2026,"Southland",47.3,46.5,59.1,60,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,"0","0.00%",0,14,3,"21.40%","0",3,1,0,"0.00%",0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",10,2,"0.00%",1,1,0,"0.00%",1,1,0,0,0,"0.00%",2,2,0,0,0,"FCS",3,NA,3
"CJ Wade","N IOWA",48,12.15,"F","ED",2026,"Missouri Valley",60.8,67,53.2,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,27,"0","0.00%",0,21,1.5,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,2,"0.00%",0,1,0,"0.00%",2,0,0,0,0,"0.00%",2,2,0,0,0,"FCS",154,NA,154
"Nasir Spruill","E KENTUCKY",35,12.08,"F","ED",2026,"United Athletic",47.3,61.1,54.6,39.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,16,"0","0.00%",0,18,0,"0","0",0,1,1,"100%",6,6,0,1,0,0,91.7,6,0,"0.00%",0,0,0,1,0,"0.00%","0.00%","100%","0.00%",6,3,"0.00%",5,2,"0.00%",0,0,0,"0.00%",0,0,0,0,0,"0.00%",2,2,0,2,0,"FCS",200,NA,200
"Tylan Cole","ARKAPB",48,12.07,"F","ED",2026,"SWAC",47.8,56.8,53.7,41.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,16,"0","0.00%",0,27,6,"7.40%","0",2,5,2,"100%",17,8.5,0,2,0,0,102.1,3.4,0,"0.00%",0,1,0,2,0,"0.00%","50.00%","100%","0.00%",8.5,7,"0.00%",11,2,"0.00%",0,0,0,"0.00%",1,0,0,0,0,"0.00%",2,2,0,1,0,"FCS",278,NA,278
"Damiano Mastroianni","MOREHEAD",21,11.94,"F","ED",2026,"Pioneer",57.2,62.2,54.4,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,"0","0.00%",0,5,4,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,1,"0.00%",0,1,0,"0.00%",1,0,0,0,0,"0.00%",1,1,0,0,0,"FCS",267,NA,267
"Isaiah Morrison","FL A&M",23,11.91,"F","ED",2026,"SWAC",58.4,59.9,55.8,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,"0","0.00%",0,17,0,"5.90%","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,"0.00%",1,0,0,"0.00%",0,1,0,0,0,"0.00%",1,1,0,0,0,"FCS",57,NA,57
"Joshua Lloyd","AUSTINPEAY",26,11.84,"F","ED",2026,"United Athletic",62,65.1,55,60.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"0","0.00%",0,13,0,"0","0",0,2,0,"0.00%",0,0,0,0,0,0,0,0,0,"50.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FCS",131,NA,131
"Adrian Rufo","MERRIMACK",24,11.61,"F","ED",2026,"IND (FCS)",46,60.6,52.1,60,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,18,"0","5.60%",2.8,5,0,"0","0",0,1,0,"0.00%",0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FCS",141,NA,141
