"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","Lined.up.in.Press.Coverage","row_id"
"Max Elkman","SE LA",37,17.99,"F","ED",2026,"Southland",54.6,50.9,60.8,60.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12,"0","0.00%",0,24,8,"16.70%","8.30%",4,1,0,"0.00%",0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,1,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",32,3,"25.00%",1,0,0,"33.30%",1,1,1,0,0,"0.00%",4,4,0,1,0,"FCS",39,NA,39
"Scott Walker","BRYANT",27,17.94,"F","ED",2026,"CAA",60.4,56.5,66.1,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,7,"14.30%","14.30%",7.1,20,0,"5.00%","5.00%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0,"100%",0,0,0,"100%",0,0,1,0,0,"0.00%",1,1,0,0,0,"FCS",288,NA,288
"Ezra Ekuban","N COLORADO",23,17.81,"F","ED",2026,"Big Sky",58.4,56.9,60.3,NA,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,10,"10.00%","10.00%",5,13,4,"7.70%","0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"0.00%",0,1,0,"0.00%",1,0,0,0,0,"0.00%",1,1,0,0,0,"FCS",18,NA,18
"Oliver Macy","PORTLAND",32,17.64,"F","ED",2026,"Big Sky",56.1,64.8,54.5,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,"0","0.00%",0,22,18,"4.50%","4.50%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,2,"0.00%",1,0,0,"0.00%",1,1,0,0,0,"0.00%",2,2,0,0,0,"FCS",270,NA,270
"Evan Aubrey","SE LA",38,17.54,"F","ED",2026,"Southland",55.6,55.4,57.3,NA,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,18,"5.60%","0.00%",0,20,3.5,"25.00%","20.00%",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,2,"33.30%",0,2,0,"33.30%",2,0,1,0,0,"0.00%",3,3,0,0,0,"FCS",191,NA,191
"James Harris","SE LA",23,17.44,"F","ED",2026,"Southland",62.9,62.9,58.7,NA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,"0","0.00%",0,17,4.33,"11.80%","11.80%",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,3,"0.00%",0,2,0,"0.00%",3,0,0,0,0,"0.00%",3,3,0,0,0,"FCS",192,NA,192
"Jackson Biser","MURRAY ST",31,17.24,"F","ED",2026,"Missouri Valley",49.1,42.2,66.1,55.8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,7,"14.30%","0.00%",0,12,2,"33.30%","16.70%",4,12,1,"100%",13,13,0,0,0,0,118.8,1.08,0,"41.70%",0,1,0,1,0,"0.00%","100%","0.00%","0.00%",13,3,"0.00%",59,2,"50.00%",1,0,0,"33.30%",1,1,1,0,0,"100%",4,4,0,0,1,"FCS",128,NA,128
"Kekama Cosma","PORTLAND",29,17.13,"F","ED",2026,"Big Sky",61.7,64.6,55.1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14,"0","0.00%",0,15,7,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,2,"0.00%",0,0,0,"0.00%",1,0,0,1,1,"0.00%",2,2,0,1,0,"FCS",328,NA,328
"Kade Millard","CAL POLY",39,17.05,"F","ED",2026,"Big Sky",64.7,70.9,54.4,NA,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,23,"0","0.00%",0,16,1,"6.30%","18.80%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,3,"0.00%",1,2,0,"0.00%",2,1,0,0,0,"0.00%",3,3,0,0,0,"FCS",134,NA,134
"Eli Hiscock","WAGNER",19,16.74,"F","ED",2026,"Northeast",68.9,63.4,57.3,70.7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8,"0","0.00%",0,8,4,"0","0",0,3,0,"0.00%",0,0,0,0,0,0,0,0,0,"33.30%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",12,1,"0.00%",0,1,0,"0.00%",1,0,0,0,0,"0.00%",1,1,0,0,0,"FCS",126,NA,126
