"Name","Team.Name","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"ELI FINLEY","LA TECH",149,49.6666666666667,3,79.93,"B+"
"HUNTER TIPTON","MEMPHIS",119,39.6666666666667,3,79.05,"B+"
"CADE KEITH","NEW MEXICO",166,55.3333333333333,3,71.6,"B"
"JEREMIAH SCOBY","BOWL GREEN",132,44,3,67.17,"B"
"KYLE FRENDT","WYOMING",67,22.3333333333333,3,63.93,"B-"
"LUKE GILBERT","JVILLE ST",87,29,3,62.81,"B-"
"DARRIN FUGITT","APP STATE",114,38,3,62.73,"B-"
"COLE KELLER","JAMES MAD",153,51,3,60.63,"B-"
"LAKELSEY JOHNSON JR.","LIBERTY",68,34,2,60.53,"B-"
"JAMEL HOWSE","APP STATE",93,31,3,60.22,"B-"
"KEYAN BURNETT","UNLV",76,38,2,59.57,"C+"
"ERIC OLSEN","OREGON ST",113,37.6666666666667,3,59.26,"C+"
"TOBY PAYNE","MARSHALL",168,56,3,57.02,"C+"
"MATT WAGNER","BOISE ST",160,53.3333333333333,3,56.96,"C+"
"RIVER HELMS","GA SOUTHRN",177,59,3,55.73,"C+"
"JAKE WILSON","WYOMING",116,38.6666666666667,3,55.61,"C+"
"FABIAN ROGOSCH","TROY",60,30,2,54.09,"C+"
"ELIJAH ALEXANDER","AKRON",98,32.6666666666667,3,53.07,"C"
"JOSHUA LONG","E MICHIGAN",190,63.3333333333333,3,51.77,"C"
"BRANDON YOUNG JR.","UTSA",34,17,2,50.08,"C"
"JAMES RESAR","FIU",155,51.6666666666667,3,49.53,"C"
"GRANT HOLLIER","GA STATE",57,28.5,2,48.75,"C"
"BLAKE SMITH","TEXAS ST",99,33,3,47.67,"C"
"LEON HAUGHTON JR.","DOMINION",169,56.3333333333333,3,46.35,"C-"
"KORAUN PERDUE","MIDDLE TN",39,19.5,2,46.18,"C-"
"BRODERICK PETERS","SO MISS",105,35,3,45.94,"C-"
"ROD GIBBS","S ALABAMA",189,63,3,45.55,"C-"
"CC EZIRIM","W KENTUCKY",102,34,3,45.17,"C-"
"ZEKE WIMBUSH","LIBERTY",97,32.3333333333333,3,43.73,"C-"
"ELIJAH SESSOMS","DELAWARE",101,33.6666666666667,3,43.17,"C-"
"AIDAN O'CALLAGHAN","MEMPHIS",69,23,3,42.89,"C-"
"BRYCE ANDERSON","LA MONROE",132,44,3,42.8,"C-"
"TATE HOOVER","BALL ST",130,43.3333333333333,3,42.45,"C-"
"ISMAEL SMITH FLORES","E CAROLINA",101,33.6666666666667,3,40.05,"C-"
"BREC LONG","N TEXAS",122,40.6666666666667,3,39.78,"D+"
"JORDAN CLARK","RICE",95,31.6666666666667,3,39.77,"D+"
"TEDDY GAWLIK","LA LAFAYET",105,35,3,38.64,"D+"
"SAM LEE","TOLEDO",114,38,3,38.24,"D+"
"ELI JACON-DUFFY","BOWL GREEN",166,55.3333333333333,3,37.47,"D+"
"JACKSON VERDUGO","FIU",137,45.6666666666667,3,37.25,"D+"
"MAX REESE","N TEXAS",162,54,3,36.08,"D+"
"DECORION TEMPLE","OREGON ST",132,44,3,35.66,"D+"
"CLINT WALKER","BUFFALO",228,76,3,35.41,"D+"
"JACOB NEWELL","TOLEDO",69,23,3,35.36,"D+"
"WYATT SULLIVAN","USF",87,29,3,35.14,"D+"
"AJ JOHNSON","FAU",212,70.6666666666667,3,34.53,"D+"
"MAX WHISNER","SM HOUSTON",85,28.3333333333333,3,34.31,"D+"
"DJ ASIASI","NEVADA",128,42.6666666666667,3,34.18,"D+"
"CASH CHEEKS","UTEP",104,34.6666666666667,3,33.79,"D+"
"LOFTON HOWARD","W KENTUCKY",98,32.6666666666667,3,33.45,"D+"
"SCOTT ISACKS","UAB",115,38.3333333333333,3,32.16,"D"
"AJ MILLER","OHIO",68,22.6666666666667,3,32.13,"D"
"JUICE VEREEN","COLO STATE",81,27,3,31.93,"D"
"JOSH BURRELL","ARK STATE",54,27,2,31.61,"D"
"TERIK MULDER","KENT STATE",66,22,3,31.2,"D"
"PETER CLARKE","TEMPLE",165,55,3,30.57,"D"
"MATT BURON","GA STATE",38,19,2,30.48,"D"
"LOGAN MAULDIN","CHARLOTTE",54,18,3,30.43,"D"
"GAVIN CORREIA","FRESNO ST",98,32.6666666666667,3,30.4,"D"
"CHRISTIAN ROSS","MIAMI OH",85,28.3333333333333,3,30.31,"D"
"JACK PEDERSEN","WASH STATE",166,55.3333333333333,3,30.24,"D"
"JEREMIAH BECK JR.","SO MISS",71,23.6666666666667,3,30.11,"D"
"JAKE APPLEGET","FRESNO ST",139,46.3333333333333,3,29.88,"D"
"ADAM PARKS","W MICHIGAN",149,49.6666666666667,3,29.77,"D"
"LUKE DOUGLAS","APP STATE",50,25,2,29.53,"D"
"HUNTER HOPPERTON","KENT STATE",67,22.3333333333333,3,29.5,"D"
"TANNER LEMASTER","E MICHIGAN",95,31.6666666666667,3,28.94,"D"
"KAMAEHU KOPA-KAAWALAUOLE","S JOSE ST",45,22.5,2,26.5,"D-"
"COLESON ARENDS","W KENTUCKY",28,14,2,26.43,"D-"
