"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"MANUEL SERNA","S JOSE ST",231,77,3,59.96,"C+"
"IBRAHIM TRAORE","TOLEDO",186,62,3,59.66,"C+"
"ASHTON TRIPP","WASH STATE",177,59,3,59.64,"C+"
"ALEX LOPEZ","W KENTUCKY",111,55.5,2,59.06,"C+"
"JIMMY LISTON","UTAH ST",148,74,2,58.85,"C+"
"KARSTEN UPCHURCH","W KENTUCKY",220,73.3333333333333,3,58.82,"C+"
"ARMOND OWENS","NEW MEX ST",76,38,2,58.63,"C+"
"AIDAN ANDREWS","GA STATE",126,42,3,53.05,"C"
"MYLES JOSEPH","SM HOUSTON",195,65,3,52.92,"C"
"TYLER BRUMFIELD","E MICHIGAN",188,62.6666666666667,3,52.54,"C"
"DARION REED","TULANE",146,48.6666666666667,3,52.11,"C"
"DAYLON METOYER","BOISE ST",201,67,3,51.83,"C"
"BEN GUSTAFSON","N ILLINOIS",133,44.3333333333333,3,51.82,"C"
"NETO UMEOZULU","N TEXAS",232,77.3333333333333,3,51.71,"C"
"JACK FOSTER","NEVADA",189,63,3,51.56,"C"
"JARIAN SHELBY","OHIO",194,64.6666666666667,3,51.1,"C"
"DANTE DEVINE","SO MISS",181,60.3333333333333,3,50.97,"C"
"JACK LAIRD","MARSHALL",173,57.6666666666667,3,50.8,"C"
"MARCUS MASCOLL","GA STATE",99,49.5,2,50.36,"C"
"JONATHAN GOULD","AKRON",91,45.5,2,49.93,"C"
"JOSIAH TIMOTEO","OREGON ST",129,64.5,2,49.48,"C"
"JOE CROCKER","BUFFALO",78,39,2,48,"C"
"CALEB PYFROM","NEW MEX ST",59,29.5,2,47.89,"C"
"JADARIOUS LEE","KENNESAW",182,60.6666666666667,3,47.28,"C"
"RYAN MICKOW","TULANE",160,53.3333333333333,3,45.9,"C-"
"DANIEL JONES","COAST CAR",171,57,3,44.66,"C-"
"NIKOLA MILOVAC","KENNESAW",182,60.6666666666667,3,44.39,"C-"
"GRAYSON JOHNSON","UTEP",131,43.6666666666667,3,44.36,"C-"
