"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","Lined.up.in.Press.Coverage","Negative.Rush.Grade.Percentage","Positive.Rush.Grade.Percentage","row_id"
"Malachi Williams","STF AUSTIN",48,57.87,"C","LB",2026,"Southland",61.3,72.7,56.2,51.1,0,2,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,5,3,"0","0.00%",0,22,2.88,"13.60%","27.30%",3,23,2,"100%",23,11.5,0,1,0,0,114.6,1,1,"69.60%",0,0,0,2,0,"4.30%","0.00%","50.00%","0.00%",11.5,9,"0.00%",0,10,"23.10%",2,6,3,"18.20%",8,1,2,0,0,"50.00%",13,12,1,0,1,"FCS",229,NA,NA,NA,229
"Ashtyn Williams","CENT ARK",63,57.84,"C","LB",2026,"United Athletic",76.5,72.7,NA,73.4,0,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,5,NA,NA,NA,NA,32,2.6,"9.40%","18.80%",3,31,2,"50.00%",36,18,0,1,0,2,81.3,1.16,1,"54.80%",0,0,1,2,3,"3.20%","0.00%","25.00%","0.00%",9,2.8,"50.00%",34,12,"14.30%",5,5,0,"10.00%",5,4,1,0,0,"25.00%",14,14,1,2,1,"FCS",143,NA,NA,NA,143
"Gabriel Hardman","S DAKOTA",34,57.34,"C","LB",2026,"Missouri Valley",80.5,91.8,58.6,55.8,0,1,3,0,0,0,1,1,0,0,0,1,0,2,0,0,0,6,4,2,"50.00%","50.00%",25,19,1.5,"10.50%","15.80%",2,13,0,"0.00%",0,0,0,0,0,0,0,0,0,"38.50%",0,0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",3,5,"28.60%",1,3,2,"20.00%",4,0,1,0,0,"50.00%",7,7,1,0,1,"FCS",93,NA,NA,NA,93
"Ronin Dangler","MERCER",56,57.01,"C","LB",2026,"Southern",56.2,70.1,75.3,37.4,0,2,5,1,0,0,1,2,0,0,0,0,0,2,0,0,0,9,8,3,"66.70%","66.70%",50,35,1.25,"11.40%","14.30%",4,18,4,"100%",46,11.5,1,3,0,0,154.2,2.56,1,"38.90%",0,0,0,4,0,"5.60%","0.00%","75.00%","0.00%",11.5,3.3,"0.00%",48,9,"18.20%",2,4,2,"16.70%",4,1,1,1,0,"20.00%",11,11,1,2,1,"FCS",289,NA,NA,NA,289
"Blake Houser","RICHMOND",56,56.67,"C","LB",2026,"Patriot",78.9,70,80.1,71.9,0,1,5,2,0,0,0,2,0,0,0,0,0,1,0,2,0,6,1,NA,NA,NA,NA,28,4.33,"3.60%","7.10%",1,28,1,"100%",-2,-2,0,0,0,0,79.2,-0.07,0,"64.30%",0,0,0,0,3,"0.00%","0.00%","0.00%","0.00%",-2,-2,"0.00%",11,8,"0.00%",1,2,0,"0.00%",3,1,0,3,1,"0.00%",8,8,0,2,0,"FCS",128,NA,NA,NA,128
"Zion Rutledge","CHATTNOOGA",41,56.32,"C","LB",2026,"Southern",76.9,70.6,72.8,71.2,0,3,4,1,0,0,0,1,0,0,0,0,0,1,0,0,1,3,1,NA,NA,NA,NA,16,4,"6.30%","18.80%",1,25,1,"100%",6,6,0,0,0,0,91.7,0.24,0,"68.00%",0,0,0,0,2,"0.00%","0.00%","0.00%","0.00%",6,-4,"0.00%",42,7,"12.50%",3,2,1,"20.00%",2,2,1,2,0,"0.00%",8,8,1,1,0,"FCS",111,NA,NA,NA,111
"Phoenix Grant","YALE",72,56.11,"C","LB",2026,"Ivy",66.2,61.9,65,65.8,0,5,3,0,0,0,3,3,1,0,0,0,0,1,0,0,2,6,5,11,"9.10%","27.30%",13.6,29,0.33,"17.20%","17.20%",5,32,1,"33.30%",6,6,0,0,0,0,42.4,0.19,0,"68.80%",0,0,2,0,1,"0.00%","0.00%","0.00%","0.00%",2,9.7,"0.00%",8,9,"10.00%",5,2,1,"11.10%",3,5,1,1,0,"0.00%",10,10,0,1,0,"FCS",105,NA,NA,NA,105
"Andrew Behm","S ILLINOIS",41,55.7,"C","LB",2026,"Missouri Valley",73.3,80.2,65.7,61.5,0,4,2,0,0,0,1,1,0,0,0,0,0,1,0,0,1,4,1,3,"0","0.00%",0,16,6.33,"0","12.50%",0,22,1,"100%",7,7,0,1,0,0,95.8,0.32,0,"31.80%",0,0,0,1,1,"0.00%","0.00%","100%","0.00%",7,6,"0.00%",46,8,"0.00%",4,2,1,"0.00%",3,3,0,0,0,"0.00%",8,8,1,1,0,"FCS",11,NA,NA,NA,11
"Myles Mayovsky","E WASHGTON",52,55.4,"C","LB",2026,"Big Sky",56.8,68.7,73.1,46.4,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,5,8,"12.50%","12.50%",6.3,16,7,"6.30%","12.50%",1,28,2,"100%",90,45,0,2,0,0,118.8,3.21,2,"32.10%",0,0,0,4,2,"7.10%","0.00%","100%","0.00%",45,20.5,"0.00%",9,8,"11.10%",5,0,0,"33.30%",1,1,1,0,0,"0.00%",9,9,4,2,0,"FCS",20,NA,NA,NA,20
"Alex Rose","INDIANA ST",29,55.31,"C","LB",2026,"Missouri Valley",76.9,68.1,76.5,69,0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,3,"33.30%","66.70%",66.7,8,0,"0","12.50%",0,18,1,"100%",9,9,0,0,0,0,104.2,0.5,0,"61.10%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",9,-2,"0.00%",36,6,"0.00%",2,0,0,"0.00%",0,0,0,1,0,"0.00%",6,6,2,2,0,"FCS",56,NA,NA,NA,56
"Max Malo","BROWN",72,54.87,"C","LB",2026,"Ivy",71.5,71.3,62.4,70,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,2,6,"16.70%","0.00%",0,21,3,"0","4.80%",0,45,3,"75.00%",21,7,0,1,0,0,86.5,0.47,1,"57.80%",0,0,1,3,2,"2.20%","0.00%","25.00%","0.00%",5.3,6.5,"0.00%",10,14,"0.00%",2,2,0,"0.00%",3,1,0,2,0,"0.00%",14,14,1,9,0,"FCS",99,NA,NA,NA,99
"Jeremiah Pruitt","ALBANY",41,54.71,"C","LB",2026,"CAA",86.3,83.8,56.3,76.6,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,4,"0","0.00%",0,28,2.2,"3.60%","21.40%",1,9,0,"0.00%",0,0,0,0,1,0,0,0,0,"55.60%",0,0,0,0,1,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",1,9,"0.00%",4,4,0,"0.00%",5,4,0,0,0,"0.00%",9,9,0,0,0,"FCS",202,NA,NA,NA,202
"Cooper Cameron","CORNELL",55,54.7,"C","LB",2026,"Ivy",79.3,82.1,67.5,64.4,0,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,3,"0","33.30%",33.3,34,5,"0","5.90%",0,18,0,"0.00%",0,0,0,0,0,0,0,0,0,"55.60%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",9,10,"0.00%",4,2,0,"0.00%",5,4,0,1,0,"0.00%",10,10,0,0,0,"FCS",173,NA,NA,NA,173
"Christian Caballero","VILLANOVA",56,54.39,"C","LB",2026,"Patriot",63.2,65.9,63.1,64.4,0,1,6,0,0,0,1,1,0,0,0,0,0,3,0,0,0,9,5,7,"14.30%","14.30%",7.1,33,-4,"12.10%","6.10%",4,16,2,"66.70%",19,9.5,0,0,0,0,84,1.19,0,"68.80%",0,0,1,1,1,"0.00%","0.00%","0.00%","0.00%",6.3,6.3,"0.00%",15,9,"18.20%",1,4,2,"22.20%",6,1,2,2,1,"0.00%",11,11,0,2,0,"FCS",53,NA,NA,NA,53
"Jackson Thorne","RICHMOND",55,54.35,"C","LB",2026,"Patriot",71.3,73.3,NA,64.5,0,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,NA,NA,NA,NA,28,1.25,"10.70%","14.30%",3,27,0,"0.00%",0,0,0,0,0,0,0,0,0,"66.70%",0,0,0,1,1,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",21,6,"25.00%",1,3,3,"16.70%",4,1,1,1,0,"50.00%",8,8,0,1,1,"FCS",228,NA,NA,NA,228
"Ma'Hkai Wilson","STHLSK",39,54.02,"C","LB",2026,"Northeast",79.8,84.6,74.5,59.3,0,1,7,1,0,0,1,2,0,0,0,0,0,0,0,0,0,6,2,5,"40.00%","40.00%",30,22,2.8,"4.50%","13.60%",1,12,0,"0.00%",0,0,0,0,0,0,0,0,0,"75.00%",0,0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",22,10,"9.10%",1,5,0,"14.30%",5,1,1,2,0,"0.00%",11,11,0,3,0,"FCS",112,NA,NA,NA,112
"Mike Devereaux","N DAKOTA",65,53.26,"C","LB",2026,"Missouri Valley",74.1,83.9,59.9,55.9,0,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,4,6,"0","0.00%",0,39,4.13,"5.10%","15.40%",2,20,2,"40.00%",16,8,0,1,0,0,48.8,0.8,0,"55.00%",0,0,3,1,1,"0.00%","0.00%","20.00%","0.00%",3.2,6.8,"0.00%",7,13,"13.30%",3,6,0,"8.30%",8,3,1,0,0,"33.30%",15,15,0,2,1,"FCS",165,NA,NA,NA,165
"Zach Darche","PENN",40,52.96,"C","LB",2026,"Ivy",74.3,71.2,NA,69.9,0,0,5,0,0,1,0,1,0,0,0,0,0,1,0,1,0,6,2,NA,NA,NA,NA,17,2.2,"11.80%","11.80%",2,23,3,"75.00%",9,3,0,0,0,0,77.1,0.39,0,"87.00%",0,0,1,0,1,"0.00%","0.00%","0.00%","0.00%",2.3,0.3,"0.00%",15,8,"0.00%",1,4,1,"0.00%",5,0,0,1,0,"0.00%",8,8,0,1,0,"FCS",102,NA,NA,NA,102
"Corey Cobb Jr.","MERCYHURST",39,52.16,"C","LB",2026,"Northeast",75.8,77.1,53.8,71.9,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,8,"0","0.00%",0,15,1,"0","13.30%",0,16,1,"50.00%",25,25,0,1,1,0,56.3,1.56,1,"81.30%",0,0,1,0,1,"6.30%","0.00%","50.00%","50.00%",12.5,5,"0.00%",10,4,"0.00%",1,2,0,"0.00%",2,0,0,1,1,"0.00%",4,4,1,1,0,"FCS",152,NA,NA,NA,152
"Frederick Borkey","NEWHVN",65,51.91,"C","LB",2026,"Northeast",67.6,86.1,65.2,49.1,0,4,4,0,0,0,1,1,1,0,0,0,1,0,0,0,1,10,4,8,"0","12.50%",6.3,23,6,"0","13.00%",0,34,5,"83.30%",39,7.8,0,2,0,0,93.8,1.15,0,"61.80%",0,0,0,5,2,"0.00%","0.00%","33.30%","0.00%",6.5,2.7,"0.00%",5,12,"7.70%",4,3,0,"0.00%",7,3,0,1,0,"33.30%",13,13,1,1,1,"FCS",249,NA,NA,NA,249
"Anthony Ferrelli","STNY BROOK",58,51.87,"C","LB",2026,"CAA",70.3,75.4,56.7,65.1,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,2,"0","0.00%",0,21,-1,"4.80%","9.50%",1,35,1,"33.30%",36,36,1,1,0,0,119.4,1.03,1,"65.70%",0,0,2,2,2,"2.90%","0.00%","33.30%","0.00%",12,6.3,"0.00%",42,5,"16.70%",2,1,1,"0.00%",1,2,0,2,0,"33.30%",6,6,0,2,1,"FCS",41,NA,NA,NA,41
"Jyarius Carter","MERCER",51,51.55,"C","LB",2026,"Southern",71.1,58.5,79.1,74.6,0,3,2,0,0,1,1,2,0,1,0,0,0,1,0,0,1,7,5,2,"0","0.00%",0,30,2.33,"16.70%","10.00%",5,19,0,"0.00%",0,0,0,0,0,1,39.6,0,0,"52.60%",0,0,0,0,3,"0.00%","0.00%","0.00%","0.00%",0,3,"100%",0,9,"18.20%",3,2,1,"18.20%",6,3,2,0,0,"0.00%",11,11,0,0,0,"FCS",244,NA,NA,NA,244
"Kenny Olson","CAL POLY",76,51.51,"C","LB",2026,"Big Sky",62.7,57.4,56.8,68,0,5,3,0,0,0,1,1,0,0,0,0,0,1,0,0,1,4,6,6,"0","16.70%",8.3,43,3.2,"14.00%","9.30%",6,27,1,"100%",2,2,0,0,0,0,79.2,0.07,0,"22.20%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",2,1,"0.00%",20,10,"0.00%",5,3,1,"0.00%",5,3,0,0,0,"0.00%",10,10,2,0,0,"FCS",19,NA,NA,NA,19
"Travell Wright","Argonauts",17,51.51,"C","LB",2026,"United Athletic",71.8,64.6,76.1,62.8,1,1,5,0,0,0,1,1,0,0,0,0,0,2,0,1,0,6,2,2,"0","0.00%",0,10,0.25,"20.00%","30.00%",2,5,0,"0.00%",0,0,0,0,0,0,0,0,0,"60.00%",0,0,0,0,1,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",3,6,"25.00%",1,4,2,"28.60%",4,1,2,1,0,"0.00%",8,8,0,1,0,"FCS",153,NA,NA,NA,153
"Kevin Martin Jr.","NICHOLLS",34,51.07,"C","LB",2026,"Southland",75.1,75.2,59.8,69.6,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,2,1,"0","0.00%",0,13,4,"7.70%","23.10%",1,20,1,"33.30%",3,3,0,0,0,1,42.4,0.15,0,"45.00%",0,2,1,1,1,"0.00%","66.70%","0.00%","0.00%",1,4.3,"33.30%",20,5,"0.00%",2,1,0,"0.00%",3,0,0,0,0,"0.00%",5,5,2,0,0,"FCS",279,NA,NA,NA,279
"Charles Chappelle","N ALABAMA",72,50.61,"C","LB",2026,"United Athletic",70.5,75.4,58.5,65,0,0,4,0,0,0,0,0,1,0,0,0,0,2,0,0,0,5,3,12,"8.30%","0.00%",0,28,1.5,"7.10%","25.00%",2,31,2,"100%",21,10.5,0,1,0,0,110.4,0.68,1,"64.50%",0,0,0,1,1,"3.20%","0.00%","50.00%","0.00%",10.5,2.5,"0.00%",35,5,"16.70%",0,3,2,"20.00%",4,0,1,1,0,"0.00%",6,6,0,1,0,"FCS",291,NA,NA,NA,291
"Jayven Anderson","HOUCHR",81,50.49,"C","LB",2026,"Southland",62,70.6,65.6,59.3,0,1,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,8,5,6,"16.70%","16.70%",8.3,32,0.75,"6.30%","9.40%",2,43,5,"71.40%",53,10.6,0,2,0,0,93.2,1.23,1,"55.80%",0,0,2,3,0,"2.30%","0.00%","28.60%","0.00%",7.6,0.3,"0.00%",7,7,"12.50%",1,3,1,"0.00%",4,0,0,1,0,"25.00%",8,8,1,2,1,"FCS",71,NA,NA,NA,71
"Jack Munro","SAN DIEGO",51,50.22,"C","LB",2026,"Pioneer",73.9,69.6,56.4,72.4,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,5,3,"0","0.00%",0,26,3.86,"19.20%","30.80%",5,22,2,"100%",9,4.5,0,0,0,0,85.4,0.41,0,"50.00%",0,0,0,0,1,"0.00%","0.00%","0.00%","0.00%",4.5,0,"0.00%",7,10,"9.10%",1,4,1,"12.50%",7,0,1,1,0,"0.00%",11,11,1,2,0,"FCS",199,NA,NA,NA,199
"Kalen Villanueva","CAMPBELL",34,50.08,"C","LB",2026,"CAA",65.9,70.9,64.2,60.1,0,3,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,4,2,5,"0","0.00%",0,6,5,"0","0",0,23,4,"80.00%",27,6.8,0,1,0,0,89.2,1.17,1,"60.90%",0,0,1,2,2,"4.30%","0.00%","20.00%","0.00%",5.4,1.8,"0.00%",3,8,"0.00%",3,1,0,"0.00%",2,2,0,2,0,"0.00%",8,8,1,2,0,"FCS",9,NA,NA,NA,9
"Walker Murray","VILLANOVA",64,49.48,"C","LB",2026,"Patriot",68.1,62.3,77.6,64.4,0,3,2,0,0,1,1,2,1,0,0,0,0,1,0,0,0,5,4,7,"42.90%","28.60%",14.3,40,2,"10.00%","7.50%",4,17,0,"0.00%",0,0,0,0,0,0,39.6,0,0,"70.60%",0,0,1,0,0,"0.00%","0.00%","0.00%","0.00%",0,3,"0.00%",44,6,"25.00%",3,2,1,"25.00%",3,3,2,0,0,"0.00%",8,8,0,0,0,"FCS",239,NA,NA,NA,239
"Ricky Encarnacion","NEWHVN",35,49.48,"C","LB",2026,"Northeast",73,68.1,72.2,65.8,0,1,3,1,0,1,0,2,2,0,0,0,0,0,0,0,1,3,0,9,"33.30%","11.10%",11.1,7,4,"0","0",0,19,1,"100%",6,6,0,0,0,0,91.7,0.32,0,"63.20%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",6,3,"0.00%",13,5,"0.00%",1,1,0,"0.00%",2,0,0,2,0,"0.00%",5,5,1,1,0,"FCS",248,NA,NA,NA,248
"Graydon Rollins","YNGTOWN ST",64,49.45,"C","LB",2026,"Missouri Valley",70.2,71.7,58.8,72.1,0,4,5,0,0,0,1,1,0,0,0,0,0,1,0,1,0,6,5,9,"0","0.00%",0,39,1.33,"10.30%","12.80%",4,16,1,"100%",3,3,0,0,0,0,79.2,0.19,0,"50.00%",0,0,0,1,2,"0.00%","0.00%","0.00%","0.00%",3,3,"0.00%",35,9,"0.00%",4,3,0,"0.00%",3,4,0,2,1,"0.00%",9,9,0,2,0,"FCS",132,NA,NA,NA,132
"Will Miller","HOLY CROSS",25,49.31,"C","LB",2026,"Patriot",78.4,82.9,NA,64.9,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,NA,NA,NA,NA,9,1,"0","33.30%",0,16,0,"0.00%",0,0,0,0,0,0,0,0,0,"50.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",53,4,"0.00%",2,2,1,"0.00%",2,1,0,0,0,"0.00%",4,4,1,0,0,"FCS",179,NA,NA,NA,179
"Trent Zappe","HOUCHR",82,49.14,"C","LB",2026,"Southland",71.2,64.3,55.6,75,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,"0","0.00%",0,34,4,"17.60%","14.70%",6,42,0,"0.00%",0,0,0,0,0,0,39.6,0,0,"45.20%",0,0,3,0,2,"0.00%","0.00%","0.00%","0.00%",0,1,"0.00%",4,12,"7.70%",3,5,0,"9.10%",7,3,1,0,0,"0.00%",13,13,0,2,0,"FCS",38,NA,NA,NA,38
"Cole Dutkovich","SE MO ST",22,48.6,"C","LB",2026,"Big South - OVC Football Association",87.9,91,NA,62.8,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,13,0,"0","46.20%",0,9,0,"0.00%",0,0,0,0,0,0,0,0,0,"66.70%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",25,5,"0.00%",5,0,0,"0.00%",0,5,0,0,0,"0.00%",5,5,0,0,0,"FCS",58,NA,NA,NA,58
"Jachai Pulley","INCAR WORD",55,48.39,"C","LB",2026,"Southland",75.6,77.4,66.9,66.8,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,"0","0.00%",0,26,7.75,"3.90%","11.50%",1,28,1,"100%",3,3,0,0,0,0,79.2,0.11,0,"60.70%",0,0,0,0,1,"0.00%","0.00%","0.00%","0.00%",3,-1,"0.00%",2,6,"0.00%",1,1,1,"0.00%",4,1,0,0,0,"0.00%",6,6,0,1,0,"FCS",242,NA,NA,NA,242
"Lucas Campizta","DELWARE ST",39,48.32,"C","LB",2026,"MEAC",56.2,76.4,NA,45,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,NA,NA,NA,NA,13,1,"7.70%","23.10%",1,26,4,"100%",73,18.3,0,3,0,0,118.8,2.81,3,"42.30%",0,0,0,3,0,"11.50%","0.00%","75.00%","0.00%",18.3,3,"0.00%",44,7,"0.00%",3,2,1,"0.00%",3,1,0,0,0,"0.00%",7,7,2,1,0,"FCS",243,NA,NA,NA,243
"Braxton Sampson","INDIANA ST",39,48.1,"C","LB",2026,"Missouri Valley",76.8,76,65.2,70.7,0,1,2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,3,0,4,"0","25.00%",12.5,10,-1,"0","20.00%",0,25,3,"100%",16,5.3,0,0,0,0,88.9,0.64,0,"72.00%",0,0,0,0,1,"0.00%","0.00%","0.00%","0.00%",5.3,-1,"0.00%",42,4,"0.00%",1,1,1,"0.00%",1,1,0,1,0,"0.00%",4,4,0,2,0,"FCS",42,NA,NA,NA,42
"Sir Hezekiah Ragland","NEWHVN",31,47.79,"C","LB",2026,"Northeast",66.5,76.3,70.1,50.8,0,3,3,1,0,1,0,2,0,0,0,0,0,0,0,1,0,5,2,1,"0","100%",100,15,3,"6.70%","13.30%",1,15,1,"100%",1,1,0,0,0,0,79.2,0.07,0,"53.30%",0,0,0,1,1,"0.00%","0.00%","0.00%","0.00%",1,-6,"0.00%",9,6,"0.00%",3,2,0,"0.00%",2,3,0,1,0,"0.00%",6,6,0,0,0,"FCS",247,NA,NA,NA,247
"Gabe Brown","ABILENE CH",30,47.78,"C","LB",2026,"United Athletic",56.8,77.6,56.2,42.3,0,3,2,0,0,0,1,1,0,0,0,0,0,1,0,0,1,4,3,3,"0","33.30%",16.7,14,0.5,"0","21.40%",0,13,2,"50.00%",29,14.5,0,2,0,0,74,2.23,1,"38.50%",0,0,2,3,0,"7.70%","0.00%","50.00%","0.00%",7.3,10.5,"0.00%",13,5,"0.00%",3,2,1,"0.00%",2,2,0,0,0,"0.00%",5,5,1,0,0,"FCS",17,NA,NA,NA,17
"Jamari Young","ALBANY",37,47.62,"C","LB",2026,"CAA",74.2,76.6,57,63.1,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,4,"0","0.00%",0,26,1,"7.70%","19.20%",2,7,0,"0.00%",0,0,0,0,0,0,0,0,0,"42.90%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",0,7,"0.00%",5,2,1,"0.00%",2,5,0,0,0,"0.00%",7,7,0,0,0,"FCS",34,NA,NA,NA,34
"Rohan Davy","RHODE ISLD",61,47.23,"C","LB",2026,"CAA",71.4,77,58.2,64.7,0,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,6,2,2,"0","0.00%",0,35,4.75,"2.90%","5.70%",1,24,3,"100%",56,18.7,0,2,0,0,118.8,2.33,2,"45.80%",0,0,0,1,1,"8.30%","0.00%","66.70%","0.00%",18.7,3.3,"0.00%",0,8,"0.00%",1,2,0,"0.00%",4,0,0,1,0,"0.00%",8,8,1,3,0,"FCS",190,NA,NA,NA,190
"Luke Hackett","SACR HEART",49,47.16,"C","LB",2026,"CAA",58.1,64.6,57,53.3,0,3,2,0,0,1,1,2,0,1,0,0,0,0,0,0,2,2,3,3,"0","66.70%",33.3,25,5.33,"4.00%","0",1,21,1,"33.30%",25,25,0,1,0,1,64.6,1.19,1,"61.90%",0,0,1,2,1,"4.80%","0.00%","33.30%","0.00%",8.3,10,"33.30%",8,6,"14.30%",3,2,0,"20.00%",3,1,1,0,0,"0.00%",7,7,2,0,0,"FCS",94,NA,NA,NA,94
"Drake Lusk","BRYANT",58,46.91,"C","LB",2026,"CAA",69,66.1,66.8,65.4,0,3,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,7,3,5,"0","20.00%",20,27,5,"11.10%","11.10%",3,26,1,"50.00%",13,13,0,1,0,0,70.8,0.5,0,"57.70%",0,0,1,0,0,"0.00%","0.00%","50.00%","0.00%",6.5,-3.5,"0.00%",41,10,"9.10%",3,2,0,"11.10%",5,3,1,1,0,"0.00%",11,11,0,1,0,"FCS",189,NA,NA,NA,189
"Jeff Leavell","MERCYHURST",58,46.87,"C","LB",2026,"Northeast",83.2,93.8,57.3,70.1,0,0,3,0,0,0,1,1,1,0,0,1,0,0,0,0,1,3,0,13,"7.70%","0.00%",0,15,3,"0","26.70%",0,30,1,"50.00%",3,3,0,0,0,0,56.3,0.1,0,"73.30%",0,0,0,0,1,"0.00%","0.00%","0.00%","0.00%",1.5,0,"0.00%",14,3,"0.00%",0,2,0,"0.00%",2,0,0,1,0,"0.00%",3,3,0,1,0,"FCS",146,NA,NA,NA,146
"Deuce Geter","BUCKNELL",48,46.79,"C","LB",2026,"Patriot",62.4,69.4,58.4,56.1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,"0","0.00%",0,32,0.5,"3.10%","6.30%",1,14,3,"75.00%",44,14.7,1,1,0,0,150,3.14,1,"71.40%",0,0,1,2,1,"7.10%","0.00%","25.00%","0.00%",11,8.3,"0.00%",4,4,"0.00%",1,2,1,"0.00%",2,0,0,1,0,"0.00%",4,4,1,1,0,"FCS",62,NA,NA,NA,62
"Aiden Morris","WOFFORD",25,46.44,"C","LB",2026,"Southern",61.6,69.3,NA,49.1,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,4,NA,NA,NA,NA,23,2.2,"13.00%","13.00%",3,2,1,"100%",16,16,0,1,0,0,118.8,8,1,"50.00%",0,0,0,1,0,"50.00%","0.00%","100%","0.00%",16,14,"0.00%",24,6,"14.30%",1,4,2,"0.00%",5,1,0,0,0,"100%",7,7,0,0,1,"FCS",120,NA,NA,NA,120
"Matthew Moore","PRVIEW A&M",30,46.43,"C","LB",2026,"SWAC",69.9,72.2,61.5,62.5,0,1,3,0,0,0,2,2,0,0,0,0,0,2,0,0,0,3,4,4,"50.00%","50.00%",25,16,0,"12.50%","25.00%",2,10,2,"66.70%",4,2,0,0,0,0,70.1,0.4,0,"90.00%",0,0,1,1,1,"0.00%","0.00%","0.00%","0.00%",1.3,3.3,"0.00%",10,4,"20.00%",1,2,1,"0.00%",2,1,0,1,1,"50.00%",5,5,0,1,1,"FCS",72,NA,NA,NA,72
