"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"Kehinde Akintunde","MERCER",32,38.48,"D"
"Isaiah Perez","E WASHGTON",38,38.43,"D"
"Thomas Jolly","YNGTOWN ST",54,38.31,"D"
"Tavales Curry","CAMPBELL",23,38.28,"D"
"Preston Hamilton","GARD-WEBB",23,38.25,"D"
"Anthony Chuman","MORGAN ST",31,38.24,"D"
"Julian Fernandez","UC DAVIS",27,38.22,"D"
"Liam Fitzgerald","BROWN",35,38.15,"D"
"Luke Reilly","LEHIGH",22,37.99,"D"
"Chris Brown","AUSTINPEAY",15,37.5,"D"
"Joe Kelly","COLGATE",48,37.43,"D"
"Ebenezer Bedada","CAMPBELL",30,37.18,"D"
"Jordan Jeudy","MORGAN ST",41,36.9,"D"
"Nicholas Mathious","WOFFORD",34,36.86,"D"
"Jace Sifore","S DAK ST",33,36.75,"D"
"Garrett Risley","VALPO",50,36.67,"D"
"Sidiq Cabaniss-Ali","NC A&T",59,36.45,"D"
"Preston Davis","LEHIGH",42,35.74,"D"
"Jamarion Stevenson","Argonauts",24,35.66,"D"
"Kezni Brown","LIUSHAR",46,35.57,"D"
"Isaac Saffold","GEORGETOWN",25,35.48,"D"
"Eddie Vega","PORTLAND",74,35.35,"D"
"Mi'Jai Mickles","HOUCHR",40,35.18,"D"
"Achilles Anderson","HARVARD",31,35.09,"D"
"Brendan Bigos","MONMOUTH",28,34.98,"D"
"Sean Scheck","SAN DIEGO",42,34.79,"D"
"Alex Goworowski","VALPO",52,34.75,"D"
"Tommy Ducker","CORNELL",51,34.54,"D"
"Lance Bassett","S ILLINOIS",26,34.52,"D"
"Dh'King Brown","WOFFORD",25,34.42,"D"
"Lloyd Johnson","INCAR WORD",16,34.29,"D"
"Thomas Gerke","BUCKNELL",32,34.24,"D"
"Ebony Curry Jr.","YNGTOWN ST",56,34.2,"D"
"Nathan Moorehead","WAGNER",29,34.19,"D"
"Quoy Rainey","DELWARE ST",29,34.13,"D"
"Christian Ware-Terry","Argonauts",36,34.04,"D"
"Naquan Johnson","LIUSHAR",24,33.92,"D"
"AJ Koukou","VILLANOVA",29,33.77,"D"
"Andre Morris Jr.","TENN MARTN",21,33.68,"D"
"Patrick Conserve","RHODE ISLD",45,33.58,"D"
"Reis Kirschenman","S DAK ST",35,33.53,"D"
"Ashton Nawrocki","BUTLER",41,33.52,"D"
"Tavarious Elliott","SE MO ST",24,33.13,"D"
"Marquan Saddler Jr.","STHLSK",33,33.13,"D"
"Nathaniel McDonald","WM & MARY",63,33.12,"D"
"Bryce Ricks","MERRIMACK",27,32.98,"D"
"Marius Landsfeld","TARLETON",20,32.79,"D"
"Amir Dwight","S ILLINOIS",34,32.69,"D"
"TrayVaughn Swanigan","NC CENT",51,32.58,"D"
"Rocco Marcelino","PRINCETON",40,32.54,"D"
"Kristopher Boyd","MORGAN ST",31,32.38,"D"
"Cole Sisson","ALBANY",26,32.2,"D"
"Travis Jones","ILL STATE",40,32.18,"D"
"Myles Mays","CHATTNOOGA",24,32.09,"D"
