"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"Tye Holsey","GARD-WEBB",16,54.26,"C"
"Xavier McIntyre","INDIANA ST",26,54.08,"C"
"Chaz Katoanga","PORTLAND",28,53.77,"C"
"Nic Yatsko","INDIANA ST",33,53.55,"C"
"Johnny Williamson","CORNELL",77,53.25,"C"
"Aundre Gibson","N ARIZONA",20,53.23,"C"
"Tanner Huff","MONTANA",44,53.2,"C"
"Jeremiah McGill","MAINE",57,53.14,"C"
"Unknown Brown D30","BROWN",15,53.01,"C"
"Alon Woodberry","TARLETON",16,52.9,"C"
"Mark Hawkins Jr.","MERCYHURST",51,52.88,"C"
"Braylon James","CORNELL",15,52.87,"C"
"Wyatt Little","VALPO",25,52.78,"C"
"Tim White","S DAKOTA",80,52.64,"C"
"Brooks Esplin","MURRAY ST",16,52,"C"
"Dana Johnson Jr.","ALBANY",49,51.96,"C"
"Khaled Rawls","IDAHO",19,51.88,"C"
"DJ Dixon","N ALABAMA",25,51.87,"C"
"Chance Sautter","STF AUSTIN",28,51.55,"C"
"Braylon Howard","CORNELL",69,51.5,"C"
"Ashton Paine","MONTANA",23,51.48,"C"
"Brandon Worsley","E ILLINOIS",32,51.46,"C"
"Corey Williams","WOFFORD",23,50.91,"C"
"Amari Mack","MAINE",18,50.5,"C"
"Saco Alofipo","STF AUSTIN",26,50.49,"C"
"Jahlani Clarke","STETSON",46,50.35,"C"
"Ja'Torian Mack","W CAROLINA",21,50.27,"C"
"Lucas Rost","BUCKNELL",56,50.26,"C"
"Boogie Owens","FORDHAM",59,49.84,"C"
"Joel Castleberry","TENN MARTN",76,49.78,"C"
"Luke Denny","LEHIGH",62,49.57,"C"
"Jack Donahoe","HARVARD",59,49.53,"C"
"Jaden Ratliff","WM & MARY",48,49.53,"C"
"Timothy Jasper","ALCORN ST",65,49.51,"C"
"Tremel States-Jones","RHODE ISLD",40,49.28,"C"
"Kenneth Ford","SE LA",59,49.27,"C"
"Martez Jones","PRESBYTERN",29,49.02,"C"
"Tyson Roberts","STNY BROOK",15,48.97,"C"
"Abu Kamara","YALE",72,48.88,"C"
"TJ Sands","TOWSON",52,48.7,"C"
"Zack Vicknair","SE LA",22,48.48,"C"
"Avian Rice","TARLETON",38,48.39,"C"
"Na'koma Simpson-Nealy","W CAROLINA",26,48.1,"C"
"Kymari Latney","SACR HEART",48,47.84,"C"
"Julian Quintero","W CAROLINA",18,47.65,"C"
"Devin Johnson","INDIANA ST",36,47.48,"C"
"Eric Jackson","CENT CT ST",53,47.36,"C"
"Caleb Merritt","AUSTINPEAY",18,47.26,"C"
"Josh Narcisse","PENN",27,47.2,"C"
"Justin Rodriguez","STETSON",61,47.08,"C"
"La'Shavion Brown","ILL STATE",38,46.98,"C"
"Jevean Brown","ELON",64,46.87,"C"
"Danny Simms","MERRIMACK",58,46.45,"C"
"No'Koi Maddox","DARTMOUTH",59,46.09,"C"
"Krystian Pothel","FORDHAM",62,46.07,"C"
"Leo Glover","N ALABAMA",59,45.81,"C"
"Kaiser Wilhelm","VALPO",29,45.79,"C"
"Marcus Washington","CENT ARK",22,45.64,"C"
"Kameron Brown","ALCORN ST",28,45.37,"C"
"Kalyl Lindsey","BROWN",40,44.49,"C"
"Freddie Camp","WAGNER",58,44.38,"C"
"Zamaryion Farmer-McCray","TENN MARTN",72,43.87,"C"
"Calvin Jaworski","N IOWA",43,43.85,"C"
"Shoes Brinkley","N ARIZONA",58,43.73,"C"
"Shyne Johnson","PRESBYTERN",58,43.73,"C"
"Ryan Maxwell","LIUSHAR",49,43.72,"C"
"Jeremy Richardson","MERCER",44,43.46,"C"
"Marcus Nixon","E WASHGTON",22,43.23,"C"
"Alejandro Bello","BROWN",77,43.09,"C"
"Justin Mcilwain","MORGAN ST",42,43.03,"C"
"Garrett Baldwin","HOLY CROSS",53,42.99,"C"
"Akiel Lomotey","HARVARD",38,42.94,"C"
"Grant Tylutki","N DAKOTA",45,42.9,"C"
"Joseph Garcia","STNY BROOK",58,42.74,"C"
"Eli Campbell","WOFFORD",54,42.65,"C"
"Raquane Matthews","MORGAN ST",49,42.08,"C"
"Shermar Carter","NICHOLLS",38,41.51,"C"
"Ross Smith","ELON",53,41.08,"C"
"RL Miller","CAL POLY",73,41.07,"C"
"Ian Harrison","SAN DIEGO",44,41.05,"C"
"Reece Allan","COLGATE",57,40.88,"C"
"Vinny Pierre Jr.","S ILLINOIS",53,40.62,"C"
"Shaun Niu Jr.","UTAHTC",64,40.48,"C"
"Madden Beriault","BUTLER",57,40.44,"C"
"Wade Harris","NC CENT",23,40.21,"C"
"Cade Ellis","WM & MARY",66,40.13,"C"
"Victor Holt","ALBANY",35,40.12,"C"
"Ravel Cato","CAMPBELL",39,40.09,"C"
"Kam Robinson","TARLETON",52,40.02,"C"
"Kasiem Cromwell","WAGNER",30,39.78,"D"
"Navon Mitchell","CENT CT ST",20,39.23,"D"
"Martez Cooksey Jr.","CHATTNOOGA",43,39.12,"D"
"Dylan Rowsey","MURRAY ST",42,38.62,"D"
"E'Sean Arnold","DELWARE ST",18,38.59,"D"
"Sam Martin Jr.","MERCER",43,38.56,"D"
"Josiah Blake","MORGAN ST",30,38.51,"D"
"Jayvont Williams","VILLANOVA",60,38.12,"D"
"Micah Henderson","HOUCHR",29,38,"D"
"Ty Cortes","PENN",28,37.39,"D"
"Jake Kucera","MAINE",57,37.38,"D"
"Devin Geronomi","RICHMOND",56,37.3,"D"
"Kah'mari Hill","STETSON",26,37.27,"D"
"Makhi Connor","DELWARE ST",44,37.21,"D"
"Ryan Moore","SACR HEART",21,36.89,"D"
"Torrion White","DELWARE ST",18,36.86,"D"
"Brayden Breedlove","CAL POLY",16,36.73,"D"
"Michael Farr III","S DAK ST",43,36.68,"D"
"Caleb Makovsky","PRESBYTERN",37,36.64,"D"
"Tayden Gray","MONTANA ST",47,36.4,"D"
"Tay Cline","MURRAY ST",42,36.01,"D"
"McKel Broussard","E WASHGTON",51,35.81,"D"
"Kareem Williams","CAMPBELL",56,35.59,"D"
"Gabe White","HOUCHR",39,35.39,"D"
"Brian Allen","GEORGETOWN",77,35.34,"D"
"Braden Haas","HOLY CROSS",67,35.07,"D"
"Orion Kupu","TXAMEA",49,34.84,"D"
"Breylon Wyatt","CHISTA",65,34.68,"D"
"Jordan McClom","N IOWA",35,34.54,"D"
"Brayden Humpherys","GEORGETOWN",15,34.31,"D"
"Javeon Wilcox","ABILENE CH",68,34.19,"D"
"Gavin Duplechin","NICHOLLS",32,34.17,"D"
"Chisom Onwuzurigbo","HOLY CROSS",52,33.75,"D"
"Braylon Carstarphen","PRESBYTERN",35,33.62,"D"
"Jason Salman","VALPO",46,32.91,"D"
"Matai Tomas","HOUCHR",59,32.87,"D"
"Amaje Parker","S DAK ST",27,31.83,"D"
"Bryson Logan","GEORGETOWN",57,31.52,"D"
"Tevin Tucker","NC CENT",64,31.37,"D"
"Duke Bradley","BRYANT",24,31.36,"D"
"Roman Hardin","CENT ARK",46,31.12,"D"
"Billy Eastep","YALE",72,31,"D"
"Wyatt Mueller","ILL STATE",18,30.99,"D"
"Nigel Lucas","GARD-WEBB",40,30.83,"D"
"Ta'Ron Haile","AUSTINPEAY",59,30.83,"D"
"D.J. Cureton","RHODE ISLD",40,30.79,"D"
"Alex Koulovatos","E ILLINOIS",32,30.15,"D"
"Aaron Woodard","PRVIEW A&M",23,29.92,"D"
"Elijah Ruffin","ALCORN ST",49,29.42,"D"
"Josh Brown","E ILLINOIS",56,29.34,"D"
