"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Total.Tackles","Assistant","Stops","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Average.Depth.of.Tackle","Pursuit.Pressure","Run.Tackle.for.Losss.or.No.Gain","Pass.Rush.Productivity","Passer.Rating.Allowed","Average.Depth.of.Target.per.Coverage","Yards.per.Reception.Allowed","Receiving.Yards.Allowed.per.Snap","Assist.on.Pass.Plays","Unblocked.Pass.Rush","Drops...Off.Targets.Receptions.Forced","Sacks","Missed.Tackles.on.Pass.Plays","Beaten.Defender","Plays.of.15..Yards.Allowed","Hits","Pass.Tackle.for.Loss.or.No.Gain","Lined.up.in.Press.Coverage","Batted.Passes","Pass.Break.Up","Forced.Fumble","Interceptions","Touchdowns.Allowed","Fumble.Recovery","Dropped.Int","Missed.Tackle.Percentage","Run.Stop","Pass.Stop","Tackle.for.Loss.or.No.Gain","Hurries","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact"
"CALEB WOODSON","ALABAMA",49,100,"A",80.5,81.5,75.4,65.6,14,4,8,3,0,5.29,1,1,16.7,83.3,1.7,4,0.55,1,1,0,2,1,1,0,0,0,NA,0,0,0,0,0,0,0,0.067,5,3,1,0,2,4,2,1,2,3,1,12,0,0,0.33,3,0,1,0,0,4,0,0,0.2,15,0,8
"COOPER CATALANO","WISCONSIN",57,96.33,"A",82.1,81.5,64.1,71.8,13,8,3,8,0,4,0,0,NA,82.3,1.3,3.8,0.63,1,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,2,0,0,1,9,1,1,4,4,1,15,0,0,0,3,0,0.75,0,0,3.8,0,0,0,13,0,3
"ELIJAH MELENDEZ","AUBURN",42,91.02,"A",84.2,78,74.2,73.8,7,2,5,0,0,1.75,0,2,25,56.3,2.3,6,0.57,2,3,1,1,0,0,0,2,0,NA,0,1,0,0,0,0,0,0,4,1,2,0,3,2,2,1,2,2,0.5,12,1,1,0,0,0,0,0.25,0,3,0.25,0,0,7,0,4
"MAVERICK BARANOWSKI","MINNESOTA",68,89.38,"A",77.4,72.8,78.6,66,8,2,2,2,0,4.6,1,1,16.7,0,0,0,0,0,2,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,1,1,1,4,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6
"ETHAN WESLOSKI","OKLA STATE",43,87.77,"A",80.3,78.7,64.9,74.7,11,5,4,2,0,3.67,2,0,0,78.5,4.3,7.5,0.63,3,0,0,1,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,2,2,0,1,2,5,2,1,3,2,0.667,15,1,1,0.5,1,0,0.333,0.333,0,5,0.333,0,0,11,0,3
"SAMMY OMOSIGHO","UCLA",48,85.15,"A",67,69.1,57.8,62.3,7,4,3,4,0,-1.67,1,3,11.1,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,3,0,3,3,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4
"TREY LATHAN","KANSAS",71,83.38,"A",79.3,80.4,57,71.4,9,4,5,4,0,3,1,1,25,87.5,3,5,0.17,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,3,2,1,0,1,4,0,0,1,1,1,5,0,0,0,1,0,1,0,0,5,0,0,0,9,0,4
"SULLIVAN SCHLIMGEN","IOWA STATE",60,82.62,"A",76.9,81.6,66.2,64.5,12,4,6,3,1,1.83,0,2,16.7,105.6,4,9.3,0.97,1,1,0,0,0,0,0,1,0,NA,0,1,0,0,0,0,0,0.077,6,0,2,0,1,4,4,2,0,3,1,28,2,0,0,0,0,0,0.667,0,9.3,0,0.1,0,13,0,12
"TJ DOTTERY","LSU",40,80.78,"A",95.1,79.2,76.4,94,8,2,4,1,0,3.4,0,0,33.3,87.5,0.5,5,0.42,1,1,0,0,0,0,0,0,0,NA,0,0,2,0,0,0,0,0,4,0,0,2,2,2,2,1,2,2,1,10,0,0,0,1,0,0.5,0,0,5,0,0,0,8,0,5
"TONY ROJAS","PENN STATE",34,80.55,"A",92.3,75.2,63.1,92.5,8,1,4,1,0,1,1,1,0,79.2,1,2,0.14,0,0,0,1,0,0,0,0,2,NA,0,0,0,0,0,0,0,0,1,3,3,0,1,1,0,0,3,1,1,2,0,0,1,0,0,0,0,0,2,0,0,0,7,0,3
