"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Passer.Rating.Allowed","Pass.Break.Up","Drops...Off.Targets.Receptions.Forced","Receiving.Yards.Allowed.per.Snap","Yards.per.Reception.Allowed","Average.Depth.of.Target.per.Coverage","Interceptions","Pass.Stop","Average.Depth.of.Tackle","Assist.Tackles.on.Run.Plays","Plays.of.15..Yards.Allowed","Pass.Tackle.for.Loss.or.No.Gain","Missed.Tackles.on.Pass.Plays","Touchdowns.Allowed","Missed.Tackles.on.Run.Plays","Assist.on.Pass.Plays","Pass.Rush.Productivity","Run.Tackle.for.Losss.or.No.Gain","Dropped.Int","Unblocked.Pass.Rush","Forced.Fumble","Beaten.Defender","Sacks","Fumble.Recovery","Pursuit.Pressure","Hits","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Hurries","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact","Batted.Passes","Interception"
"ASHTON HAMPTON","CLEMSON",69,100,"A",81.9,82.4,63.4,NA,3,0,2,39.6,4,4,0.22,4,11,0,2,0,0,0,0,0,0,0,0,NA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,3,0.3,12,1,4,0,0,0,0,0.1,0,1.2,0.4,0,0,3,0,3,0,0
"JALEN MAYO","HOUSTON",21,97.5,"A",91.6,75.5,69.9,95.7,3,0,3,39.6,1,0,0,0,-7,0,2,4,0,0,0,0,0,0,0,100,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,2,0,0
"DANIEL HARRIS","CAL",72,96.73,"A",76.6,72.1,76.4,77.4,7,0,3,46.5,2,2,0.56,12,10,0,2,17.75,0,1,0,0,0,0,0,NA,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2,2,3,2,0.333,24,1,2,1,0,0.023,0,0.167,0,4,0.333,0,0,7,0,6,0,0
"JYAIRE HILL","MICHIGAN",58,96.51,"A",81.1,82.4,77,NA,5,1,1,0,0,1,0,0,18.5,1,1,6,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,5,0,0,0,1
"ANDREW MARSHALL","NEBRASKA",44,94.37,"A",70.5,69.7,69.3,58.3,7,3,3,56.3,1,0,0.15,3,17,0,1,2.67,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.125,2,1,0,0,3,2,0,2,1,0.5,3,0,1,0,0,0,0,0,0,1.5,0.5,0.143,0,8,0,3,0,0
"DEMELLO JONES","GEORGIA",23,93.71,"A",79,83,70.4,NA,1,0,1,0,0,2,0,0,17.8,1,0,-1,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,2,0,0,0,0,1,0,0,0,0,0,0.2,0,0.2,0,0,1,0,0,0,1
"MARTEL HIGHT","VANDERBILT",47,92.74,"A",73.7,70.8,65.1,65.2,3,1,1,0,1,1,0.16,5,5.8,1,0,10,0,0,0,0,0,0,1,50,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,2,1,0.25,5,1,1,0,0,0,0,0.25,0.25,1.3,0.25,0,0,3,0,3,0,1
"KALEB PATTERSON","KANSAS ST",51,92.63,"A",83.8,81.6,77.7,NA,5,0,2,39.6,2,0,0.41,12,13.8,0,1,11,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,4,1,0.25,12,1,3,0,0,0,0,0.25,0,3,0.75,0,0,5,0,4,0,0
"JAYLON BRAXTON","OLE MISS",49,87.32,"A",79.8,80,70.2,59.3,4,0,3,42.4,1,2,0.68,8.5,12.3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,2,0.333,17,1,1,0,2,0,0.333,0.167,0,2.8,0.167,0,0,4,0,4,0,0
"JAIRE RAWLISON","W VIRGINIA",21,87.08,"A",75.8,72.2,73.1,NA,5,1,2,0,0,0,0,0,0,0,1,10.5,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0
"JARVIS LEE","SMU",16,86.89,"A",93,92.7,65.6,NA,1,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"CANNON DEVRIES","BYU",42,86.54,"A",79.3,76,79.1,NA,9,1,4,87.5,1,0,0.93,6.3,3.4,0,1,3,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,2,3,4,0.8,25,1,1,0,0,0,0,0.2,0,5,0.2,0,0,9,0,5,0,0
"VERNON GLOVER JR.","TCU",37,85.99,"A",78.2,78,64.2,NA,2,0,1,16.7,0,1,-0.05,-1,16.5,1,1,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0.5,-1,0,0,0,0,0,0,0,0.5,-0.5,0,0,0,2,0,2,0,1
"DAVID COFFEY","IOWA STATE",57,85.5,"A",77.1,77.3,66.6,NA,5,1,3,78.5,1,0,0.52,7.5,9.3,0,2,12,0,0,0,0,0,0,1,NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,3,2,0.667,15,1,1,0,0,0,0,0.333,0,5,0.333,0,0,5,0,4,0,0
"GRACESON LITTLETON","TEXAS",44,84.25,"A",79.5,80.2,65.8,NA,2,0,1,9.2,1,0,0.59,8,11.8,1,1,6,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,0.4,16,1,2,0,0,0,0,0.2,0.2,3.2,0.4,0,0,2,0,2,0,1
