"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"TAUSILI AKANA","BYU",27,100,"A"
"DAEDEN HOPKINS","MISSOURI",50,98.83,"A"
"DOM NICHOLS","MICHIGAN",50,95.42,"A"
"PRINCEWILL UMANMIELEN","LSU",35,92.28,"A"
"SIDNEY STEWART","MARYLAND",38,78.69,"B"
"JALEEL JOHNSON","OKLA STATE",25,75.08,"B"
"MATAYO UIAGALELEI","OREGON",63,73.95,"B"
"MARQUISE LIGHTFOOT","MIAMI FL",22,73.3,"B"
"JEREMY LEWIS","PURDUE",36,71.91,"B"
"GARRICK PONDER","BAYLOR",29,70.22,"B"
"MARCO JONES","TEXAS A&M",39,66.65,"B"
"BENJAMIN PERRY","LOUISVILLE",21,63.79,"B"
"TOBY ANENE","COLORADO",45,63.28,"B"
"KAMAR MOTHUDI","CAL",67,63.13,"B"
"SAM GREENE","KENTUCKY",39,63.1,"B"
"KENNY SOARES JR.","MICH STATE",34,62.65,"B"
"JORDAN ROSS","LSU",33,61.26,"B"
"SOLOMON WILLIAMS","CAL",67,60.8,"B"
"JAYLEN HARVEY","N CAROLINA",36,60.35,"B"
"JOHN HENRY DALEY","MICHIGAN",52,60.08,"B"
"DEVAN THOMPKINS","ALABAMA",56,58.35,"C"
"JALEN WOODS","UCLA",43,58.09,"C"
"TAYLOR WEIN","OKLAHOMA",52,58.03,"C"
"ZION ELEE","MARYLAND",22,57.18,"C"
"HUDSON HOOPER","TCU",30,56.86,"C"
"WILL HELDT","CLEMSON",32,56.07,"C"
"TEITUM TUIOTI","OREGON",61,55.95,"C"
"JOHN SCHOBEL","TCU",30,55.24,"C"
"NNANNA ANYANWU","VIRGINIA",22,54.62,"C"
"AAKIL WASHINGTON","SMU",19,54.55,"C"
"GABE KIRSCHKE","WAKE",64,54.1,"C"
"JULIAN WALKER","S CAROLINA",26,53.03,"C"
"ANTO SAKA","TEXAS A&M",30,52.71,"C"
"JAYDEN WOODS","FLORIDA",26,52.63,"C"
"ARMONDO BLOUNT","MIAMI FL",26,52.46,"C"
"IKENNA EZEOGU","PENN STATE",35,51.54,"C"
"WENDELL GREGORY","KANSAS ST",32,51.28,"C"
"LJ MCCRAY","FLORIDA",22,51.15,"C"
"LUKE WAFLE","USC",30,51.01,"C"
"TOBI OSUNSANMI","INDIANA",25,50.59,"C"
"DEMETRIUS BALLARD","BOSTON COL",48,50.27,"C"
"MATTHEW FOBBS-WHITE","VIRGINIA",29,50.25,"C"
"JORDAN NORMAN","TENNESSEE",34,49.98,"C"
"FISHER CAMAC","VIRGINIA",33,49.6,"C"
"MI'QUISE HUMPHREY-GRACE","KENTUCKY",51,49.13,"C"
"KAMERYN CRAWFORD","USC",29,47.99,"C"
"MALIK CHARLES","OKLA STATE",16,47.61,"C"
"MARIYON DYE","TENNESSEE",27,47.07,"C"
"SEBASTIAN CHEEKS","WISCONSIN",49,46.8,"C"
"TUNMISE ADELEYE","SYRACUSE",47,45.88,"C"
"SCOTT TAYLOR","UCLA",43,45.74,"C"
"LAMAR BROWN","LSU",15,45.54,"C"
"EMAR'RION WINSTON","ARIZONA ST",26,44.65,"C"
"COLIN SIMMONS","TEXAS",46,44.49,"C"
"JAMES WILLIAMS","OKLA STATE",24,44.25,"C"
"ISAIAH NEAL","PITTSBURGH",33,44.17,"C"
"JACOB LANE","WASHINGTON",35,43.68,"C"
"KEN TALLEY","UCF",36,43.53,"C"
"LAMONT LESTER JR.","COLORADO",43,43.25,"C"
"ANTHONY ADDISON","S CAROLINA",29,43.23,"C"
"NASIR WYATT","OREGON",25,42.76,"C"
"JALEN THOMPSON","ARIZONA ST",42,42.36,"C"
"ADAM TRICK","TEXAS TECH",51,42.35,"C"
"MILES CAPERS","VANDERBILT",50,42.18,"C"
"JASON HALL JR.","W VIRGINIA",24,41.89,"C"
"LOGAN GEORGE","WASHINGTON",23,41.84,"C"
"JALEN WIGGINS","FLORIDA",23,41.41,"C"
"TAVION ATKINSON","SMU",24,40.74,"C"
"JAYDEN WAYNE","CAL",59,40.49,"C"
"CADEN CRAWFORD","IOWA STATE",34,40.07,"C"
"KENYATTA JACKSON JR.","OHIO STATE",68,39.76,"D"
