"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Interception","Assist.Tackles.on.Run.Plays","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Average.Depth.of.Target.per.Coverage","Average.Depth.of.Tackle","Yards.per.Reception.Allowed","Pass.Stop","Lined.up.in.Press.Coverage","Drops...Off.Targets.Receptions.Forced","Missed.Tackles.on.Run.Plays","Assist.on.Pass.Plays","Pass.Break.Up","Run.Tackle.for.Losss.or.No.Gain","Plays.of.15..Yards.Allowed","Unblocked.Pass.Rush","Pass.Rush.Productivity","Missed.Tackles.on.Pass.Plays","Forced.Fumble","Touchdowns.Allowed","Pass.Tackle.for.Loss.or.No.Gain","Pursuit.Pressure","Hits","Dropped.Int","Sacks","Beaten.Defender","Fumble.Recovery","Batted.Passes","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Hurries","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage"
"KINGSTON LOPA","CAL",86,100,"A",86.6,89.3,64.2,59.2,6,0,4,3,0,0,0.22,15.3,4,12,1,NA,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,3,1,0,0,0,2,1,5,1,0.25,12,1,1,0,0,0,0,0.25,0.75,3,0.25,0,0
"JAH JAH BOYD","COLORADO",31,97.23,"A",92.6,91.1,81.5,NA,9,2,3,0,1,39.6,0,14,6.4,0,1,NA,1,0,1,0,1,0,0,NA,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALEX MCLAUGHLIN","WASHINGTON",59,89.74,"A",82.1,81.6,68.2,85.1,10,0,3,1,0,37.5,0.08,3.3,6.5,1,3,NA,1,0,0,0,0,0,1,66.7,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,3,0,2,2,3,3,0.75,3,0,0,0,0,0,0,0,0.25,0.8,0,0,0
"ISAIAH CROSBY","CAL",69,89.45,"A",86.5,88.3,82.4,63.2,5,1,3,0,1,42.4,0.05,11.3,0.67,2,1,NA,0,0,0,2,1,0,1,12.5,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,1,1,1,0,3,1,0.333,2,0,2,0,0,0,0,0,0,0.7,0.667,0,0
"DAVAUGHN PATTERSON","WAKE",78,85.23,"A",68.8,71.4,69,56.5,13,6,1,0,4,43.8,0.22,2.7,3,10,0,NA,0,3,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.278,1,1,0,0,6,4,2,2,1,0.333,10,1,2,0,0,0,0,0.333,0,3.3,0.667,0.273,0.286
"CJ HEARD","VANDERBILT",44,85,"A",86.3,89.1,56.9,77.7,7,0,5,0,0,56.3,0.22,5.5,8,4,4,NA,1,0,0,0,0,0,2,35.7,1,2,0,0,0,0,0,2,0,0,1,0.125,1,0,1,3,0,2,0,2,1,0.5,4,0,0,0,0,0,0,0,0,2,0,0,0.2
"LAGONZA HAYWARD","FLORIDA",25,82.37,"A",88.3,89.6,68.8,58.9,5,1,3,0,0,77.1,0.54,-0.8,-1,2.3,3,NA,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,4,3,0.75,7,0,1,0,0,0,0,0,0,1.8,0.25,0,0
"SANTANA BANNER","MISSOURI",64,79.97,"B",70.5,69.5,63.2,72.6,9,3,3,0,3,39.6,0,16.3,4.5,0,1,NA,2,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,3,2,0,1,0,0,0,0,0,0,1,0,0.333,0,0,0,0,0,0
"DEJUAN LANE","TENNESSEE",71,76.48,"B",85.4,89.3,47.8,74.3,3,0,1,1,0,0,0,6,5,0,1,NA,0,1,0,0,0,0,2,12.5,0,0,0,0,0,0,1,0,0,0,1,0.25,0,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.333,0
"ANDREW PELLICCIOTTA","DUKE",60,76.46,"B",76.5,68.2,89,NA,14,3,4,0,2,93.8,0.72,5.5,4.5,6.5,1,NA,0,0,1,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,3,2,2,1,4,1,26,0,0,0,0,0,0,0,0,6.5,0,0,0
