"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","Lined.up.in.Press.Coverage","row_id"
"TAUSILI AKANA","BYU",27,100,"A","ED",2026,"Big 12",85,76.1,75.7,71.5,0,2,4,3,0,0,0,3,2,0,0,0,0,0,0,2,1,5,0,13,0.154,0.231,23.1,9,-3.5,0,0.333,0,5,1,1,7,7,0,0,0,0,95.8,1.4,0,0.6,0,0,0,0,1,0,0,0,0,7,7,0,13,7,0,2,2,0,0,2,1,0,2,0,0,7,7,1,0,0,"P4",131,NA,131
"DAEDEN HOPKINS","MISSOURI",50,98.83,"A","ED",2026,"SEC",90,70.2,90.3,NA,0,2,3,2,0,1,6,9,1,0,0,1,0,0,0,2,0,4,2,29,0.276,0.31,19,21,2,0.048,0.095,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,5,0.286,2,1,0,0.25,1,2,1,2,0,0.333,7,7,0,0,1,"P4",213,NA,213
"DOM NICHOLS","MICHIGAN",50,95.42,"A","ED",2026,"Big Ten",89.2,63.8,91.8,60,1,1,1,3,0,0,4,7,2,0,0,0,0,0,0,1,0,2,4,29,0.276,0.241,17.2,20,0,0.1,0.25,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0.333,1,0,0,0.5,0,1,1,1,0,0.25,6,6,0,0,1,"P4",151,NA,151
"PRINCEWILL UMANMIELEN","LSU",35,92.28,"A","ED",2026,"SEC",60.5,55.6,75.9,50.7,0,1,4,3,0,1,3,7,0,0,0,0,0,1,0,2,1,5,4,19,0.211,0.368,26.3,12,-2,0.167,0.167,2,4,1,1,8,8,0,0,0,0,100,2,0,0.75,0,1,0,2,0,0,1,0,0,8,6,0,1,5,0.167,1,1,1,0.5,1,0,1,3,0,0,6,6,1,0,0,"P4",72,NA,72
"SIDNEY STEWART","MARYLAND",38,78.69,"B","ED",2026,"Big Ten",84,63.3,90.4,62.1,0,1,4,1,0,1,5,7,1,0,0,1,0,2,0,2,0,8,3,21,0.286,0.333,19.1,15,0.83,0.133,0.2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0.273,1,3,2,0.25,6,0,2,1,0,0.333,11,11,1,0,1,"P4",210,NA,210
"JALEEL JOHNSON","OKLA STATE",25,75.08,"B","ED",2026,"Big 12",82.9,66.4,82.5,60,0,0,1,1,0,2,2,5,3,0,0,0,0,0,0,0,1,1,0,15,0.467,0.333,20,9,0,0,0.111,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,95,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,"P4",34,NA,34
"MATAYO UIAGALELEI","OREGON",63,73.95,"B","ED",2026,"Big Ten",81.3,71.6,76,67.8,0,1,0,0,0,1,3,4,5,0,1,0,0,0,0,1,0,3,1,31,0.226,0.097,4.8,31,0,0.032,0.161,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0.333,1,0,0,0.5,0,1,1,0,0,0,3,3,0,1,0,"P4",111,NA,111
"MARQUISE LIGHTFOOT","MIAMI FL",22,73.3,"B","ED",2026,"ACC",79.2,58.8,87.9,61.4,0,1,2,1,0,0,0,1,5,0,0,0,0,0,0,1,0,3,1,11,0.455,0.091,9.1,7,1,0.143,0.286,1,4,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0.25,1,1,0,0.333,1,1,1,1,0,0,4,4,0,0,0,"P4",141,NA,141
"JEREMY LEWIS","PURDUE",36,71.91,"B","ED",2026,"Big Ten",56.4,70.2,67.1,60,0,1,4,2,0,1,0,3,1,0,0,0,0,2,0,1,1,4,4,15,0.133,0.2,16.7,21,-1.67,0.048,0.143,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,6,0,1,2,2,0,3,1,0,2,0,0,6,6,0,0,0,"P4",242,NA,242
"GARRICK PONDER","BAYLOR",29,70.22,"B","ED",2026,"Big 12",82.1,83,68.5,60.8,0,1,3,1,0,1,2,4,0,0,0,0,0,1,0,3,0,3,0,16,0.063,0.25,15.6,10,0.5,0,0.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0.667,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,1,2,1,0,2,1,0,1,0,0,4,4,0,0,0,"P4",60,NA,60
