"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"OWEN CHAMBLISS","NEBRASKA",35,43.43,"C"
"JOJO HAYDEN","PURDUE",58,43.4,"C"
"CHRISTIAN ALLIEGRO","OHIO STATE",51,43.1,"C"
"BRANDON MIYAZONO","SMU",26,43,"C"
"AUSTIN ROMAINE","TEXAS TECH",73,42.86,"C"
"MAX CARROLL","TCU",34,42.73,"C"
"KALEB BURNS","BAYLOR",16,42.55,"C"
"ALEXANDER KILGORE","SMU",26,42.5,"C"
"BRYCE DEAS","AUBURN",17,42.48,"C"
"JD MCKINLEY","CAL",65,42.47,"C"
"CHRIS D'APPOLONIA","SYRACUSE",64,42.3,"C"
"JAMES KREUTZ","ILLINOIS",44,42.24,"C"
"NATHANIEL OWUSU-BOATENG","MICHIGAN",18,41.88,"C"
"DESMAN STEPHENS II","USC",40,41.54,"C"
"TRAVION BARNES","BAYLOR",18,41.48,"C"
"TRENT HENDRICK","UCLA",18,41.43,"C"
"CARSON WILLICH","IOWA STATE",47,41.11,"C"
"JUSTIN WILLIAMS","GEORGIA",17,41.09,"C"
"NOAH MIKHAIL","TEXAS A&M",48,40.98,"C"
"TY MORRIS","RUTGERS",35,40.9,"C"
"JAYDEN JENNINGS","UCF",27,40.84,"C"
"TY JACKSON","FLORIDA",15,40.67,"C"
"JORDAN MORETA","NC STATE",19,40.39,"C"
"TREY REDDICK","MARYLAND",36,40.29,"C"
"ALEX SANFORD JR.","PITTSBURGH",45,39.04,"D"
"KEATON THOMAS","OLE MISS",32,38.9,"D"
"JAMES NESTA","OKLAHOMA",27,38.81,"D"
"PEYTON SEELMANN","N CAROLINA",31,38.71,"D"
"TREY REYNOLDS","UTAH",47,38.04,"D"
"POPO AGUIRRE","NC STATE",31,37.88,"D"
"MEKHI MASON","KANSAS ST",25,37.84,"D"
"BRADLEY SHAW","ARKANSAS",38,37.37,"D"
"KENDALL JOHNSON","DUKE",47,36.59,"D"
"BRANDON BOOKER","SMU",23,36.59,"D"
"JORDAN LOCKHART","TEXAS A&M",25,36.25,"D"
"LUKE MERGOTT","DUKE",45,36.12,"D"
"LUKE FERRELLI","OLE MISS",46,35.87,"D"
"LIONA LEFAU","COLORADO",38,35.8,"D"
"ZAYDRIUS RAINEY-SALE","WASHINGTON",31,35.1,"D"
"ALEX TATSCH","PENN STATE",24,35.1,"D"
"ISMAEL KANTE","ILLINOIS",49,34.68,"D"
"TYLER LOCKHART","MISS STATE",65,34.21,"D"
"CAEL BREZINA","PENN STATE",21,34.2,"D"
"KJ FORD","FLORIDA",19,34.04,"D"
"BEAU GOODWIN","IOWA STATE",21,33.79,"D"
"JAKE CLIFTON","BYU",19,33.5,"D"
"RAY CONEY","TEXAS A&M",48,33.4,"D"
"QB REESE","ALABAMA",20,32.62,"D"
"SEAN ALLISON","RUTGERS",19,32.28,"D"
"AISEA MOA","MICHIGAN",19,32.09,"D"
"ANTONIO WATTS","LOUISVILLE",34,31.81,"D"
"BEN BOGLE","ARKANSAS",24,31.49,"D"
"GRANT BEERMAN","ILLINOIS",16,31.37,"D"
"JALEN SMITH","MISS STATE",66,31.03,"D"
"MASON MURAGIN","ILLINOIS",39,30.96,"D"
"GRANT GODFREY","KENTUCKY",63,30.48,"D"
"RAYLEN WILSON","GEORGIA",20,30.41,"D"
"CHASE TAYLOR","MICHIGAN",45,30.41,"D"
"DEREK MCDONALD","N CAROLINA",35,30.37,"D"
"BRAXTON LINDSEY","BYU",23,29.66,"D"
"EAN RHEA","ILLINOIS",21,29.38,"D"
"TIMIR HICKMAN-COLLINS","N CAROLINA",18,29.28,"D"
"ELIJAH LITTLEJOHN","GEORGIA",17,28.45,"D"
"KELLEN WILEY JR.","MIAMI FL",15,28.1,"D"
"JEREMIAH ALEXANDER","CLEMSON",38,27.75,"D"
"OWEN HEINECKE","OKLAHOMA",56,27.69,"D"
"KEON WYLIE","VA TECH",24,27.31,"D"
"NICK MORRIS JR.","DUKE",45,27.21,"D"
"FILIP MACIOROWSKI","CINCINNATI",23,27.02,"D"
"FLETCHER COTHRAN","CLEMSON",16,26.95,"D"
"GAVIN NIX","OREGON",25,26.95,"D"
"EDWIN SPILLMAN","TENNESSEE",33,26.64,"D"
"MADDOX MARCELLUS","VIRGINIA",27,26.51,"D"
"JEREMIAH BEASLEY","MISSOURI",20,24.97,"D"
"RASHEEM BILES","TEXAS",65,22.73,"D"
"COLE SULLIVAN","OKLAHOMA",43,20.63,"D"
"ZAYDEN WALKER","GEORGIA",22,20.15,"D"
"MAX HARRIS","ARIZONA",28,20.04,"D"
"MATT KINGSBURY","MINNESOTA",56,19.61,"F"
"TAYE BROWN","ARIZONA",58,19.45,"F"
"XE'REE ALEXANDER","WASHINGTON",29,18.7,"F"
"VINCENT SHAVERS JR.","NEBRASKA",25,17.33,"F"
