"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"CAM ROBINSON","NAVY",94,47,2,68.94,"B"
"CHRISTIAN WHITE","W KENTUCKY",29,29,1,68.93,"B"
"JAMES JOHNSON","MIDDLE TN",34,34,1,68.78,"B"
"DEANDRE BOYKINS","FIU",109,54.5,2,68.68,"B"
"JORDON THOMAS","W MICHIGAN",57,28.5,2,68.42,"B"
"JOSIAH COX","S DIEGO ST",60,60,1,68.33,"B"
"JOEL BOAMAH","MO STATE",103,51.5,2,68.22,"B"
"KEONTEZ BRADLEY","BUFFALO",127,63.5,2,68.18,"B"
"DECORIAN THOMPSON","UTEP",56,28,2,68.04,"B"
"JAYVON HENDERSON","S ALABAMA",51,51,1,68,"B"
"TAY'VION LAWSON","KENNESAW",98,49,2,67.96,"B"
"JD DREW","TULSA",103,51.5,2,67.92,"B"
"AMARION FORTENBERRY","USF",83,41.5,2,67.79,"B"
"JAJUAN JONES","C MICHIGAN",26,26,1,67.4,"B"
"EDDIE PLEASANT III","MARSHALL",117,58.5,2,67.23,"B"
"DONTRAE HENDERSON","ARK STATE",114,57,2,67.22,"B"
"OLIVER BRIDGES","BUFFALO",25,25,1,67.21,"B"
"CJ BLOCKER","COLO STATE",108,54,2,67.05,"B"
"CHRIS TOOLEY III","FAU",41,20.5,2,67.03,"B"
"ZANE WOODHAM","TULSA",33,33,1,66.98,"B"
"DENZEL CHAVIS","TEMPLE",59,29.5,2,66.94,"B"
"ANTA'VEON MCKENZIE","UAB",57,57,1,66.92,"B"
"RAE'MON MOSBY","E CAROLINA",23,23,1,66.78,"B"
"TOBY BOLTON","GA STATE",69,34.5,2,66.56,"B-"
"KYLE WILLIAMS","ARK STATE",21,21,1,66.45,"B-"
"TEDDY FOSTER","USF",92,46,2,66.44,"B-"
"DEUCE WALKER","GA STATE",66,33,2,66.12,"B-"
"DRE WALKER","APP STATE",72,36,2,66.11,"B-"
"CALDRA WILLIFORD","TULSA",86,43,2,66.08,"B-"
"MATTHEW MCKENZIE","C MICHIGAN",104,52,2,65.8,"B-"
"JAMIR BENJAMIN","RICE",78,39,2,65.78,"B-"
"CALEB COLEY","E MICHIGAN",23,23,1,65.74,"B-"
"SHERROD SMITH","BOISE ST",100,50,2,65.62,"B-"
"LIAM LINDO","N ILLINOIS",105,52.5,2,65.5,"B-"
"DAVID KABONGO","UTAH ST",39,39,1,65.35,"B-"
"JUSTIN BROWN","W KENTUCKY",61,30.5,2,65.29,"B-"
"DE'VEION MCLILLEY-BULO","DOMINION",26,26,1,65.07,"B-"
"JALIL TUCKER","WASH STATE",40,40,1,64.97,"B-"
"THERMAN WILLIAMS","WYOMING",75,37.5,2,64.8,"B-"
"DONAVAN PHILORD","C MICHIGAN",103,51.5,2,64.77,"B-"
"PHILLIP GLADNEY","GA SOUTHRN",24,24,1,64.75,"B-"
"JAHEIM JENKINS","JVILLE ST",24,24,1,64.64,"B-"
"TJ TILLMAN","UTEP",17,17,1,64.49,"B-"
"KSHAWN COX JR.","DELAWARE",76,38,2,64.43,"B-"
"JAMAREY SMITH","WASH STATE",111,55.5,2,64.37,"B-"
"JACKSON LOWE","MIDDLE TN",97,48.5,2,63.87,"B-"
"KHAMARI TERRELL","WASH STATE",57,57,1,63.72,"B-"
"NAJEE NELSON","N DAK ST",46,46,1,63.69,"B-"
"ORMANIE ARNOLD","NEW MEXICO",31,15.5,2,63.61,"B-"
"DIONTE THORNTON","SACRAMENTO",77,38.5,2,63.45,"B-"
"AIDEN WALKER","NEVADA",128,64,2,63.33,"B-"
"IAN BELL","WYOMING",45,45,1,63.3,"B-"
"JOSIRA ANDREWS","BOWL GREEN",85,42.5,2,63.21,"B-"
"DREY BRAXTON","BOWL GREEN",116,58,2,63.2,"B-"
"MYLES WOODS","COAST CAR",26,26,1,63.19,"B-"
"FABO CHANEY","GA SOUTHRN",21,21,1,62.9,"B-"
"KAMERON CARTER","LA TECH",51,25.5,2,62.55,"B-"
"ELIJAH GIPSON","HAWAII",19,19,1,62.46,"B-"
"ROMELO WALKER","N ILLINOIS",33,33,1,62.43,"B-"
"NICK SAWYER","BOWL GREEN",20,20,1,62.4,"B-"
"HERLIN PERRY JR.","USF",27,27,1,62.2,"B-"
"TJ CRANDALL","OREGON ST",141,70.5,2,62.08,"B-"
"BLAKE THOMPSON","OREGON ST",88,44,2,59.08,"C+"
"TYLER HALLUM","KENNESAW",64,32,2,59.06,"C+"
"DA'VONTAE FLOYD","FIU",34,34,1,59.05,"C+"
"TYLER BIVENS","KENT STATE",23,23,1,58.99,"C+"
"AMARI BUTLER","LA TECH",80,40,2,58.84,"C+"
"DELVON GULLEY","UAB",101,50.5,2,58.79,"C+"
"IZAIAH GUY","LIBERTY",32,32,1,58.79,"C+"
"BRYSON SNELLING","NEVADA",55,55,1,58.76,"C+"
"BRYCE GRAYS","UTSA",99,49.5,2,58.51,"C+"
