"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade"
"JAMILL WILLIAMS","JVILLE ST",20,100,"A"
"CAM'RON LACY","MIDDLE TN",30,94.23,"A"
"JAYLEN HAMPTON","CHARLOTTE",69,89.47,"A"
"JESSE LEGREE","OREGON ST",46,82.68,"A"
"ORAN SINGLETON JR.","TULSA",47,81.09,"A"
"ADJATAY DABBS","TOLEDO",44,80.95,"A"
"RJ VICK","COLO STATE",52,80.05,"A"
"JALEN MICKENS","LA TECH",31,79.35,"B"
"CHANCE MORROW","BUFFALO",69,78.65,"B"
"SAM PICKETT III","APP STATE",55,74.71,"B"
"COOPER HOCH","S JOSE ST",69,74.62,"B"
"DJ ALLEN JR.","UTSA",34,70.44,"B"
"CLAYTON COPPOCK JR.","COAST CAR",46,70.43,"B"
"RILEY NEER","OHIO",51,67.11,"B"
"MAKAI JACKSON","LIBERTY",48,66.94,"B"
"MARIO SANDERS","SO MISS",54,66.88,"B"
"SEAN WILSON","DELAWARE",44,66.79,"B"
"DAMARION WITTEN","MIAMI OH",38,66.28,"B"
"KELBY VALSIN","FAU",87,65.56,"B"
"HUNTER SUMMERS","ARK STATE",53,65.04,"B"
"ELI WOOD","UTAH ST",78,64.35,"B"
"ASHTON HOLLINS","GA SOUTHRN",41,63.42,"B"
"BRENDAN JENKINS","S ALABAMA",75,60.21,"B"
"COLIN CHASE","TEMPLE",53,59.55,"C"
"TK KING","NEW MEX ST",23,59.35,"C"
"GRADY O'NEILL","SM HOUSTON",49,58.66,"C"
"BRYSON GRAVES","DELAWARE",23,58.56,"C"
"HAROLD MACK","E MICHIGAN",58,58.09,"C"
"COLTON HINTON","COAST CAR",16,57.41,"C"
"JEREMIAH MELVIN","E CAROLINA",37,56.45,"C"
"NATE BRANCH","APP STATE",29,56.02,"C"
"EASTON MESSER","FAU",90,55.17,"C"
"MAGUIRE ANDERSON","FIU",49,54.93,"C"
"GARY GIVENS III","NEVADA",51,54.19,"C"
"DYLAN GARY","KENNESAW",30,52.13,"C"
"AJ WILLIAMS III","NEW MEX ST",45,51.35,"C"
"JADEN BARNES","CHARLOTTE",55,51.01,"C"
"NATHAN ACEVEDO","S DIEGO ST",24,50.75,"C"
"RASEAN JONES","BOISE ST",66,50.64,"C"
"ARHMAD BRANCH","USF",51,47.18,"C"
"JAVON ROGERS","KENNESAW",22,47.12,"C"
"DA'WAIN LOFTON","DELAWARE",38,46.96,"C"
"CORRI MILLINER","N TEXAS",36,46.67,"C"
"NEO CLIFTON","MIDDLE TN",37,46.58,"C"
"JASE NIX","S JOSE ST",46,46.14,"C"
"BAILEN GEORGE","NEW MEXICO",37,46.13,"C"
"CJ SMITH","UAB",54,46.06,"C"
"LUKE WATKINS","LA TECH",32,45.99,"C"
"CAMERON FLOWERS","W KENTUCKY",64,45.84,"C"
"AVEION CHENAULT","W MICHIGAN",62,44.72,"C"
