"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"LUKE MILLER","RICE",61,100,"A"
"JACKSON NELSON","UTAH ST",70,98.51,"A"
"CHRISTIAN YOUNG","SO MISS",30,97.88,"A"
"REESE OSEI-WUSU","S ALABAMA",90,93.92,"A"
"GABRIEL ARENA","BUFFALO",84,93.25,"A"
"PHERLESKI MARTIN","GA STATE",25,90.51,"A"
"BRADEN CAIN","SO MISS",46,89.88,"A"
"JAMES THOMAS JR.","BOWL GREEN",69,89.25,"A"
"TADAN BINGHAM","LA TECH",30,89.05,"A"
"ETHAN HUBBARD","S ALABAMA",81,86.89,"A"
"HAYDEN CHRISTMAN","LA TECH",33,86.85,"A"
"JUSTIN MICHAELIS","RICE",47,86.64,"A"
"JOSEPH BORJON","S DIEGO ST",51,86.04,"A"
"SULLY BURNS","TEXAS ST",55,80.45,"A"
"ANTHONY CACCESE","DELAWARE",59,79.95,"B"
"DANTE DEVINE","SO MISS",54,79.45,"B"
"ZAMARIO WOODGETT","KENNESAW",27,78.87,"B"
"MANASSE ITETE","ARK STATE",58,78.3,"B"
"ROLAN FULLWOOD","FRESNO ST",46,78.08,"B"
"TYLER LAWRENCE","NEW MEXICO",64,77.9,"B"
"DEVON MANUEL","APP STATE",60,77.47,"B"
"CARLOS SLAYDEN","AKRON",34,76.84,"B"
"BRODY DUFFEL","TULSA",60,76.58,"B"
"TYRONE DAVIS","BUFFALO",78,76.5,"B"
"HENRY SELLARDS","NEVADA",55,75.91,"B"
"REX JOHNSEN","WYOMING",55,75.44,"B"
"JEREMIAH ORR","JVILLE ST",44,75.14,"B"
"TROY SMITH III","LA TECH",27,74.49,"B"
"DENNIS JONES","S DIEGO ST",51,74,"B"
"MARCUS MASCOLL","GA STATE",37,72.13,"B"
"DJ FOX","JAMES MAD",35,72.1,"B"
"KING LARGE","MO STATE",30,71.57,"B"
"LUKE DUSKA","KENNESAW",27,71.56,"B"
"LUKE NEEDHAM","RICE",40,70.98,"B"
"ETHAN GREEN","USF",46,70.51,"B"
"KEYON COX","UAB",52,70.27,"B"
"NOAH ROSAHAC","DELAWARE",58,70.14,"B"
"GABE FUNK","BOWL GREEN",63,69.74,"B"
"ALLEN JONES JR.","AKRON",48,69.3,"B"
"MA'KYI LEE","NEW MEX ST",51,68.82,"B"
"JOHNNY WILLIAMS IV","N TEXAS",71,68.54,"B"
"XAVIER ALLEN","MEMPHIS",41,67.98,"B"
"TEKO SHOATS","OREGON ST",78,67.15,"B"
"J'VEN WILLIAMS","CHARLOTTE",76,66.94,"B"
"STERLING WIGGINS","ARK STATE",63,66.38,"B"
"MATT HOFER","TOLEDO",45,65.75,"B"
"ZACH AAMLAND","TEMPLE",47,65.63,"B"
"ASHTON TRIPP","WASH STATE",58,65.33,"B"
"REESE TRIPP","MIDDLE TN",51,65.19,"B"
"JOHN HOLTHAUS","COLO STATE",70,65.07,"B"
"AARON KARAS","MEMPHIS",64,64.1,"B"
"NIKOLA MILOVAC","KENNESAW",58,64.09,"B"
"SIMEON AFALAVA","S JOSE ST",78,63.74,"B"
